2200
0/1 9406912075/16777216 1100/1 9406912075/16777216
107221114825/268435456 0/1 107221114825/268435456 1100/1
405046822675/536870912 0/1 405046822675/536870912 1100/1
0/1 129646275/536870912 1100/1 129646275/536870912
0/1 14754479575/33554432 1100/1 14754479575/33554432
252850575175/536870912 0/1 252850575175/536870912 1100/1
90975419425/134217728 0/1 90975419425/134217728 1100/1
0/1 3972971475/8388608 1100/1 3972971475/8388608
0/1 277949653025/268435456 1100/1 277949653025/268435456
0/1 11474740475/33554432 1100/1 11474740475/33554432
177223515975/268435456 0/1 177223515975/268435456 1100/1
44899233225/134217728 0/1 44899233225/134217728 1100/1
138203080675/268435456 0/1 138203080675/268435456 1100/1
72458937925/67108864 0/1 72458937925/67108864 1100/1
491023984825/536870912 0/1 491023984825/536870912 1100/1
253345192925/536870912 0/1 253345192925/536870912 1100/1
66530556125/536870912 0/1 66530556125/536870912 1100/1
144485498575/536870912 0/1 144485498575/536870912 1100/1
95817363675/536870912 0/1 95817363675/536870912 1100/1
57919399725/67108864 0/1 57919399725/67108864 1100/1
124030405125/134217728 0/1 124030405125/134217728 1100/1
484558250275/536870912 0/1 484558250275/536870912 1100/1
281569266825/268435456 0/1 281569266825/268435456 1100/1
0/1 6224164925/67108864 1100/1 6224164925/67108864
0/1 467754157475/536870912 1100/1 467754157475/536870912
0/1 506448577525/536870912 1100/1 506448577525/536870912
78294182725/536870912 0/1 78294182725/536870912 1100/1
528103758875/536870912 0/1 528103758875/536870912 1100/1
0/1 214199348825/536870912 1100/1 214199348825/536870912
6026382175/16777216 0/1 6026382175/16777216 1100/1
0/1 68519944625/67108864 1100/1 68519944625/67108864
0/1 218802266925/268435456 1100/1 218802266925/268435456
0/1 518838941225/536870912 1100/1 518838941225/536870912
103363924675/134217728 0/1 103363924675/134217728 1100/1
511011563425/536870912 0/1 511011563425/536870912 1100/1
0/1 379487716575/536870912 1100/1 379487716575/536870912
198068657325/268435456 0/1 198068657325/268435456 1100/1
15566590875/134217728 0/1 15566590875/134217728 1100/1
0/1 505766309675/536870912 1100/1 505766309675/536870912
239446343125/536870912 0/1 239446343125/536870912 1100/1
0/1 131268155975/134217728 1100/1 131268155975/134217728
70726953825/268435456 0/1 70726953825/268435456 1100/1
0/1 60962489225/536870912 1100/1 60962489225/536870912
227062874775/536870912 0/1 227062874775/536870912 1100/1
0/1 236452825125/536870912 1100/1 236452825125/536870912
0/1 380884458625/536870912 1100/1 380884458625/536870912
0/1 19991944225/268435456 1100/1 19991944225/268435456
262662855675/268435456 0/1 262662855675/268435456 1100/1
486840542925/536870912 0/1 486840542925/536870912 1100/1
147236532025/536870912 0/1 147236532025/536870912 1100/1
580865215975/536870912 0/1 580865215975/536870912 1100/1
0/1 285774841825/268435456 1100/1 285774841825/268435456
381212354875/536870912 0/1 381212354875/536870912 1100/1
0/1 50281044825/134217728 1100/1 50281044825/134217728
111502326925/536870912 0/1 111502326925/536870912 1100/1
0/1 247503095125/536870912 1100/1 247503095125/536870912
0/1 23310242725/134217728 1100/1 23310242725/134217728
388496265025/536870912 0/1 388496265025/536870912 1100/1
0/1 94793277425/536870912 1100/1 94793277425/536870912
0/1 154123474175/536870912 1100/1 154123474175/536870912
0/1 367353113325/536870912 1100/1 367353113325/536870912
0/1 159623998875/268435456 1100/1 159623998875/268435456
0/1 180494182825/268435456 1100/1 180494182825/268435456
47039366825/67108864 0/1 47039366825/67108864 1100/1
0/1 9915467925/16777216 1100/1 9915467925/16777216
0/1 299100421675/536870912 1100/1 299100421675/536870912
0/1 285032021175/268435456 1100/1 285032021175/268435456
0/1 60740410225/134217728 1100/1 60740410225/134217728
144469722375/134217728 0/1 144469722375/134217728 1100/1
561915059475/536870912 0/1 561915059475/536870912 1100/1
465679254425/536870912 0/1 465679254425/536870912 1100/1
425668096975/536870912 0/1 425668096975/536870912 1100/1
0/1 338556500975/536870912 1100/1 338556500975/536870912
9860029575/16777216 0/1 9860029575/16777216 1100/1
37864173325/67108864 0/1 37864173325/67108864 1100/1
266719411475/536870912 0/1 266719411475/536870912 1100/1
213439364875/268435456 0/1 213439364875/268435456 1100/1
173318534125/268435456 0/1 173318534125/268435456 1100/1
0/1 338811359425/536870912 1100/1 338811359425/536870912
97802745425/536870912 0/1 97802745425/536870912 1100/1
136725909925/268435456 0/1 136725909925/268435456 1100/1
0/1 81512860825/268435456 1100/1 81512860825/268435456
85897913475/268435456 0/1 85897913475/268435456 1100/1
0/1 107817588725/134217728 1100/1 107817588725/134217728
336317326675/536870912 0/1 336317326675/536870912 1100/1
98898056675/134217728 0/1 98898056675/134217728 1100/1
0/1 280100772325/536870912 1100/1 280100772325/536870912
0/1 128533794675/134217728 1100/1 128533794675/134217728
249774947675/536870912 0/1 249774947675/536870912 1100/1
112846204625/536870912 0/1 112846204625/536870912 1100/1
0/1 8175818475/8388608 1100/1 8175818475/8388608
65306305625/134217728 0/1 65306305625/134217728 1100/1
91868141475/134217728 0/1 91868141475/134217728 1100/1
32772826625/33554432 0/1 32772826625/33554432 1100/1
0/1 116097634125/268435456 1100/1 116097634125/268435456
340660527075/536870912 0/1 340660527075/536870912 1100/1
0/1 50332967025/67108864 1100/1 50332967025/67108864
0/1 283496873275/536870912 1100/1 283496873275/536870912
408381924225/536870912 0/1 408381924225/536870912 1100/1
0/1 214071967175/268435456 1100/1 214071967175/268435456
99079293225/536870912 0/1 99079293225/536870912 1100/1
442166900175/536870912 0/1 442166900175/536870912 1100/1
0/1 71354938325/536870912 1100/1 71354938325/536870912
0/1 390427610375/536870912 1100/1 390427610375/536870912
40344331775/268435456 0/1 40344331775/268435456 1100/1
0/1 285663479475/536870912 1100/1 285663479475/536870912
136288536175/134217728 0/1 136288536175/134217728 1100/1
0/1 111947055825/268435456 1100/1 111947055825/268435456
9768005775/33554432 0/1 9768005775/33554432 1100/1
222243324325/536870912 0/1 222243324325/536870912 1100/1
0/1 267658562875/268435456 1100/1 267658562875/268435456
21697131775/33554432 0/1 21697131775/33554432 1100/1
91348403025/536870912 0/1 91348403025/536870912 1100/1
0/1 394814795925/536870912 1100/1 394814795925/536870912
0/1 254932893875/536870912 1100/1 254932893875/536870912
287304196575/536870912 0/1 287304196575/536870912 1100/1
0/1 225625183025/268435456 1100/1 225625183025/268435456
0/1 491866984125/536870912 1100/1 491866984125/536870912
0/1 559882702225/536870912 1100/1 559882702225/536870912
0/1 59035435525/268435456 1100/1 59035435525/268435456
40938286125/134217728 0/1 40938286125/134217728 1100/1
255480081175/536870912 0/1 255480081175/536870912 1100/1
119808534725/268435456 0/1 119808534725/268435456 1100/1
0/1 92820506625/134217728 1100/1 92820506625/134217728
0/1 46196002875/134217728 1100/1 46196002875/134217728
0/1 15321115975/33554432 1100/1 15321115975/33554432
58700132425/536870912 0/1 58700132425/536870912 1100/1
0/1 560408724425/536870912 1100/1 560408724425/536870912
0/1 355851722875/536870912 1100/1 355851722875/536870912
586763440725/536870912 0/1 586763440725/536870912 1100/1
488183811775/536870912 0/1 488183811775/536870912 1100/1
0/1 587719005225/536870912 1100/1 587719005225/536870912
438873667925/536870912 0/1 438873667925/536870912 1100/1
432939138775/536870912 0/1 432939138775/536870912 1100/1
262827111525/268435456 0/1 262827111525/268435456 1100/1
269307066325/268435456 0/1 269307066325/268435456 1100/1
0/1 400834977125/536870912 1100/1 400834977125/536870912
0/1 138756990075/536870912 1100/1 138756990075/536870912
166894100175/268435456 0/1 166894100175/268435456 1100/1
415617201725/536870912 0/1 415617201725/536870912 1100/1
0/1 524469684475/536870912 1100/1 524469684475/536870912
37388216525/268435456 0/1 37388216525/268435456 1100/1
235549478725/268435456 0/1 235549478725/268435456 1100/1
334842274525/536870912 0/1 334842274525/536870912 1100/1
329768027875/536870912 0/1 329768027875/536870912 1100/1
194169836575/268435456 0/1 194169836575/268435456 1100/1
0/1 199841857325/268435456 1100/1 199841857325/268435456
0/1 585337869325/536870912 1100/1 585337869325/536870912
119693774475/268435456 0/1 119693774475/268435456 1100/1
0/1 5868823675/134217728 1100/1 5868823675/134217728
0/1 165191349125/536870912 1100/1 165191349125/536870912
140490021925/536870912 0/1 140490021925/536870912 1100/1
190297230475/536870912 0/1 190297230475/536870912 1100/1
69349705425/536870912 0/1 69349705425/536870912 1100/1
0/1 6931231175/67108864 1100/1 6931231175/67108864
0/1 575090972225/536870912 1100/1 575090972225/536870912
266975155975/536870912 0/1 266975155975/536870912 1100/1
0/1 163029542225/268435456 1100/1 163029542225/268435456
0/1 63932831325/67108864 1100/1 63932831325/67108864
0/1 319551753675/536870912 1100/1 319551753675/536870912
447767515525/536870912 0/1 447767515525/536870912 1100/1
0/1 170824231875/536870912 1100/1 170824231875/536870912
49007626525/67108864 0/1 49007626525/67108864 1100/1
0/1 79424064225/268435456 1100/1 79424064225/268435456
56240586875/134217728 0/1 56240586875/134217728 1100/1
0/1 522662855275/536870912 1100/1 522662855275/536870912
479864901175/536870912 0/1 479864901175/536870912 1100/1
0/1 20395809775/33554432 1100/1 20395809775/33554432
531402025/134217728 0/1 531402025/134217728 1100/1
34220922175/268435456 0/1 34220922175/268435456 1100/1
284182411975/268435456 0/1 284182411975/268435456 1100/1
0/1 461909338825/536870912 1100/1 461909338825/536870912
0/1 118054569325/268435456 1100/1 118054569325/268435456
0/1 250360560725/268435456 1100/1 250360560725/268435456
0/1 37104661275/536870912 1100/1 37104661275/536870912
0/1 155945630775/536870912 1100/1 155945630775/536870912
0/1 88324502475/268435456 1100/1 88324502475/268435456
9253933975/33554432 0/1 9253933975/33554432 1100/1
0/1 502693515775/536870912 1100/1 502693515775/536870912
0/1 4456080475/8388608 1100/1 4456080475/8388608
0/1 13781789725/67108864 1100/1 13781789725/67108864
0/1 327038784325/536870912 1100/1 327038784325/536870912
0/1 42102583325/536870912 1100/1 42102583325/536870912
0/1 431272065125/536870912 1100/1 431272065125/536870912
137237114575/536870912 0/1 137237114575/536870912 1100/1
0/1 431173172925/536870912 1100/1 431173172925/536870912
252788395475/268435456 0/1 252788395475/268435456 1100/1
335245507025/536870912 0/1 335245507025/536870912 1100/1
0/1 116698098275/268435456 1100/1 116698098275/268435456
54590313525/134217728 0/1 54590313525/134217728 1100/1
140791496725/536870912 0/1 140791496725/536870912 1100/1
0/1 242085232125/536870912 1100/1 242085232125/536870912
0/1 36270548875/268435456 1100/1 36270548875/268435456
10191515675/33554432 0/1 10191515675/33554432 1100/1
0/1 68374010925/67108864 1100/1 68374010925/67108864
792328625/268435456 0/1 792328625/268435456 1100/1
0/1 127072953425/536870912 1100/1 127072953425/536870912
0/1 140696610175/268435456 1100/1 140696610175/268435456
276189134925/536870912 0/1 276189134925/536870912 1100/1
0/1 58663169675/268435456 1100/1 58663169675/268435456
0/1 88352933075/268435456 1100/1 88352933075/268435456
