200
367606741875/33554432 22816294375/16777216 -480582710625/33554432 -298199161875/16777216
91597850625/16777216 137148933125/33554432 -71835421875/4194304 -474805145625/33554432
203658806875/16777216 343175333125/33554432 139943545625/8388608 -574394118125/33554432
-152735548125/33554432 156936023125/33554432 35677898125/4194304 595157840625/33554432
-281181978125/16777216 -84522123125/8388608 -271311861875/33554432 78960561875/33554432
183182788125/33554432 -121696661875/8388608 630277378125/33554432 -288069084375/33554432
-165039351875/33554432 -40142079375/8388608 -16505765625/33554432 -284654788125/33554432
-204742759375/33554432 -476917086875/33554432 51189666875/33554432 -136140661875/8388608
-179636943125/16777216 153214428125/8388608 -567558928125/33554432 300100813125/16777216
1435176875/4194304 -340185910625/33554432 123883179375/16777216 3095815625/1048576
54648643125/33554432 -7771740625/1048576 -60645135625/16777216 -210475335625/16777216
343434080625/33554432 571777466875/33554432 319609225625/16777216 76837013125/33554432
-131283149375/16777216 -55688355625/16777216 -47678905625/33554432 88389171875/16777216
231538806875/33554432 382445305625/33554432 -529796871875/33554432 292673264375/16777216
-618536219375/33554432 -118785900625/16777216 -27921990625/4194304 7709450625/4194304
-117107051875/8388608 -278961708125/33554432 161326638125/8388608 77362135625/8388608
34804121875/16777216 -118518673125/8388608 20483831875/4194304 103317639375/33554432
-23986359375/4194304 -25156749375/33554432 117331575625/8388608 273683961875/16777216
162149270625/33554432 -3836270625/16777216 -34389405625/2097152 37545690625/4194304
181053808125/33554432 -61537210625/4194304 99368301875/8388608 135614473125/33554432
-67050064375/4194304 39882119375/33554432 -138926188125/33554432 624295165625/33554432
277089091875/16777216 169287156875/16777216 -405481306875/33554432 -216815301875/16777216
-243751950625/16777216 -26006213125/33554432 93672228125/16777216 -529923288125/33554432
60432110625/4194304 112241596875/16777216 -430808680625/33554432 16040965625/16777216
480180345625/33554432 587078890625/33554432 -512077488125/33554432 2566458125/1048576
-2062608125/524288 -85625041875/33554432 38025893125/2097152 -403272344375/33554432
-557682648125/33554432 162076616875/16777216 633380359375/33554432 49302993125/8388608
-170697513125/33554432 150390743125/8388608 3150905625/33554432 626426346875/33554432
-13512718125/2097152 115272129375/16777216 161361498125/16777216 45884718125/33554432
-579245990625/33554432 131914485625/16777216 -27995993125/4194304 433577391875/33554432
-587176584375/33554432 -27535353125/2097152 -282537339375/33554432 -59657718125/16777216
449642753125/33554432 -609528313125/33554432 -327763125/16777216 -37358884375/16777216
162102554375/33554432 117850813125/16777216 -326425394375/16777216 -282089411875/33554432
431290026875/33554432 -93755651875/8388608 319257059375/16777216 402048554375/33554432
-439423125/524288 227939448125/16777216 -309842589375/33554432 53109428125/33554432
-659663745625/33554432 -52485586875/8388608 250101365625/33554432 -319608278125/33554432
-84273771875/33554432 -143238614375/16777216 -16675471875/8388608 -605689423125/33554432
-43490350625/8388608 -530830241875/33554432 666106953125/33554432 -48741273125/4194304
-304136089375/33554432 484496393125/33554432 -38422703125/33554432 -266118751875/16777216
-442118143125/33554432 -283597010625/33554432 289022973125/16777216 80960496875/16777216
285579958125/16777216 -240975583125/33554432 75592271875/8388608 163690198125/33554432
47465186875/16777216 300274571875/16777216 212999710625/16777216 -2997368125/524288
-387774110625/33554432 201186829375/33554432 52042928125/8388608 -144681880625/33554432
-386770905625/33554432 56626095625/8388608 -30209964375/4194304 -210075636875/33554432
129994494375/33554432 -44600761875/16777216 11605679375/8388608 208122469375/16777216
-522280796875/33554432 -486371874375/33554432 -214460838125/33554432 492446908125/33554432
-1657001875/262144 262073763125/16777216 -69114964375/33554432 -395593914375/33554432
-178872873125/33554432 26226820625/16777216 -1975879375/33554432 -226226195625/16777216
82494770625/33554432 665756936875/33554432 -100169213125/16777216 406625075625/33554432
-113230041875/16777216 51267509375/16777216 670337539375/33554432 295827936875/33554432
-126032599375/16777216 39680479375/33554432 -511604400625/33554432 -278689073125/33554432
269683484375/33554432 178354308125/16777216 -66462605625/4194304 -64610023125/16777216
328078270625/33554432 3479260625/1048576 102291474375/33554432 68452000625/16777216
664535990625/33554432 156757749375/33554432 -60996839375/33554432 -306106031875/16777216
-353439086875/33554432 498858898125/33554432 113607510625/16777216 39944995625/2097152
-23330256875/16777216 -350263128125/33554432 556868713125/33554432 -399210258125/33554432
156072576875/33554432 4983163125/1048576 269816228125/16777216 32270378125/16777216
35421709375/8388608 -159749314375/16777216 -197970820625/16777216 418709270625/33554432
154358363125/33554432 -45421128125/16777216 352988868125/33554432 538694080625/33554432
95190476875/33554432 168452439375/33554432 584806693125/33554432 -96309373125/16777216
249670088125/33554432 7158343125/1048576 423991005625/33554432 -183374888125/16777216
289679995625/33554432 -238850793125/16777216 -172643431875/33554432 -2717281875/4194304
-233378198125/16777216 12608265625/8388608 21091370625/4194304 4127373125/16777216
-138721475625/8388608 43549166875/33554432 617704601875/33554432 136074888125/16777216
217786875/16777216 -108844496875/16777216 360732728125/33554432 -290399668125/16777216
608940715625/33554432 38198454375/2097152 -198179418125/33554432 -457966054375/33554432
-441196043125/33554432 151013779375/16777216 17261009375/2097152 571206418125/33554432
-118254194375/8388608 162204741875/33554432 -269217241875/33554432 213647548125/16777216
-41284403125/2097152 139248816875/33554432 -271125865625/16777216 42539290625/16777216
33037649375/33554432 -272772736875/33554432 -480796060625/33554432 -204569400625/33554432
-107092113125/33554432 176410243125/16777216 -293006819375/16777216 -232584810625/33554432
-202363316875/33554432 667000039375/33554432 -73786288125/16777216 -656255553125/33554432
151311983125/16777216 493313653125/33554432 655193601875/33554432 596835491875/33554432
-261242476875/16777216 427267826875/33554432 122672020625/8388608 -514160051875/33554432
-7228895625/1048576 23805885625/16777216 213091343125/16777216 122947941875/8388608
546602816875/33554432 67914650625/16777216 -154383334375/8388608 -19070173125/2097152
-317334100625/16777216 166456301875/33554432 -379355634375/33554432 -623027571875/33554432
256428420625/33554432 17838369375/33554432 225268075625/33554432 -127558136875/33554432
327506874375/16777216 -261440849375/16777216 -551130859375/33554432 -155332324375/16777216
615045450625/33554432 90399769375/8388608 -206943296875/16777216 -272463516875/33554432
549965749375/33554432 129488010625/8388608 5933690625/4194304 235247779375/33554432
-191610958125/16777216 91046166875/33554432 11166324375/8388608 292094189375/16777216
-391319489375/33554432 318217341875/16777216 -106145910625/16777216 -7147958125/524288
122267510625/16777216 -247631400625/16777216 -33727068125/8388608 -75479135625/4194304
158394536875/33554432 67748598125/4194304 -311590518125/33554432 -238717123125/16777216
140903103125/33554432 304391101875/33554432 -286176530625/16777216 135008636875/33554432
221162005625/33554432 227014969375/33554432 -27648499375/8388608 -6979339375/33554432
405648535625/33554432 -333661943125/16777216 204069080625/16777216 293202563125/16777216
-168131709375/33554432 891985625/2097152 -91984461875/8388608 -269370388125/33554432
9510180625/2097152 -427827244375/33554432 429118544375/33554432 217602576875/33554432
-5092256875/2097152 59240375625/4194304 24146406875/33554432 -151025425625/33554432
399840108125/33554432 540764180625/33554432 -97982483125/16777216 18268860625/8388608
-658275426875/33554432 -5907456875/4194304 -353383304375/33554432 -91699799375/8388608
65922281875/4194304 326970368125/16777216 -337511991875/33554432 111641559375/8388608
24352610625/2097152 -534698326875/33554432 -87586371875/33554432 -548633580625/33554432
-200957035625/16777216 -381895726875/33554432 -63564840625/33554432 26073241875/8388608
-50538521875/8388608 -53569424375/33554432 304603600625/16777216 623097596875/33554432
71731943125/8388608 -32043075625/16777216 293466610625/33554432 6956036875/33554432
93590546875/8388608 71224359375/33554432 -481240439375/33554432 115419231875/33554432
156745155625/8388608 475393471875/33554432 -403908179375/33554432 138629166875/16777216
233374281875/33554432 640981458125/33554432 39461894375/4194304 509701053125/33554432
-144397396875/16777216 -337238139375/33554432 398834629375/33554432 -39404475625/4194304
-411578726875/33554432 37649223125/4194304 621556458125/33554432 98959965625/8388608
-6139486875/33554432 -44863856875/33554432 -312307298125/16777216 -627864971875/33554432
-415070919375/33554432 231891804375/16777216 498366583125/33554432 -157723673125/33554432
-145232216875/8388608 265638981875/33554432 -384768169375/33554432 75513043125/16777216
551191304375/33554432 -19255663125/16777216 88705531875/33554432 295209175625/33554432
258681630625/33554432 176681531875/16777216 669857554375/33554432 251885529375/16777216
-102586201875/8388608 -190119826875/16777216 33515683125/2097152 -21875165625/33554432
-17516169375/1048576 -423567571875/33554432 639259733125/33554432 302354894375/33554432
-158631214375/16777216 -67436198125/4194304 13454275625/8388608 -140978101875/33554432
81586899375/4194304 -114204060625/33554432 -628085695625/33554432 -231304163125/33554432
-432245616875/33554432 180253979375/33554432 324902459375/33554432 -76895070625/4194304
-151477373125/33554432 -29276823125/33554432 -494221321875/33554432 -200572114375/33554432
643293235625/33554432 -658264671875/33554432 632551771875/33554432 -81571206875/8388608
146688398125/33554432 -267862619375/16777216 568210965625/33554432 18163214375/4194304
2030843125/2097152 69166980625/4194304 38878653125/16777216 -309666845625/16777216
149519524375/8388608 -58329549375/8388608 -263722694375/33554432 75144673125/8388608
115054723125/16777216 -659837719375/33554432 38192784375/4194304 -618184435625/33554432
-326807098125/33554432 -207422960625/16777216 285244070625/33554432 -235132985625/16777216
-224379243125/33554432 55188986875/8388608 -276147953125/16777216 27387591875/4194304
-98312228125/33554432 -266064375/16777216 215558759375/33554432 -655735573125/33554432
56948415625/33554432 -211236975625/33554432 382041781875/33554432 -59831308125/8388608
162913676875/33554432 213102273125/33554432 209598200625/33554432 -154127026875/16777216
-60319980625/8388608 -58691965625/33554432 -65540625/16777216 -627363713125/33554432
-228843539375/33554432 -653715910625/33554432 -177201498125/33554432 -181964403125/33554432
152831875625/16777216 125770573125/8388608 -123910791875/33554432 -491183111875/33554432
164546295625/16777216 22669318125/4194304 -110367815625/33554432 124599745625/33554432
-89423385625/16777216 247429789375/33554432 252601193125/16777216 3077920625/262144
45981296875/8388608 36528315625/2097152 -664030590625/33554432 -3270306875/8388608
-20034944375/8388608 -353600988125/33554432 630654409375/33554432 -332824775625/33554432
501613308125/33554432 320290370625/16777216 160928084375/8388608 -343677339375/33554432
-300236558125/16777216 -18677691875/4194304 -103636628125/8388608 -57715918125/8388608
-155801660625/16777216 88870341875/33554432 318954281875/16777216 262484951875/16777216
57718316875/16777216 17250634375/16777216 -384111453125/33554432 294620625625/33554432
315311344375/16777216 441719538125/33554432 -318458581875/16777216 68547711875/33554432
-335695896875/33554432 -361432291875/33554432 -89452835625/16777216 67436260625/33554432
-156071679375/16777216 -197830115625/16777216 213918043125/33554432 442670134375/33554432
3584711875/524288 623948160625/33554432 -56955740625/33554432 -69482734375/33554432
22285505625/33554432 227882533125/16777216 -281914623125/33554432 11567879375/2097152
-87537058125/16777216 409132949375/33554432 45261788125/33554432 -587092281875/33554432
-61614413125/8388608 99620353125/8388608 -131671268125/8388608 242018299375/16777216
-71030041875/33554432 145954269375/8388608 -206509339375/16777216 -449602800625/33554432
-526132181875/33554432 628356684375/33554432 279102678125/33554432 -84714580625/8388608
-152536944375/8388608 -82996704375/8388608 -144197664375/33554432 -85915455625/33554432
-591290110625/33554432 425027408125/33554432 -19878505625/16777216 92617775625/16777216
258524320625/33554432 537730506875/33554432 -248417249375/33554432 -353187590625/33554432
546578941875/33554432 -535781839375/33554432 -187383160625/16777216 -2006430625/33554432
284581083125/33554432 393003069375/33554432 -74836873125/8388608 -114646814375/16777216
-56021735625/8388608 -156012799375/33554432 -147865288125/16777216 67099769375/4194304
91407546875/16777216 562334350625/33554432 -14345959375/16777216 291656038125/33554432
521346875/65536 -1445278125/16777216 534203615625/33554432 -231671548125/33554432
16039118125/8388608 -45484380625/4194304 8444919375/1048576 361237093125/33554432
285127003125/16777216 -423262201875/33554432 -452275435625/33554432 -174254055625/16777216
53229053125/8388608 94776521875/16777216 -242994113125/33554432 -611962890625/33554432
-61738873125/8388608 491556474375/33554432 278790754375/33554432 -254451825625/33554432
-70122536875/33554432 37902720625/4194304 -20070525625/8388608 274433021875/16777216
-75238983125/16777216 234051430625/16777216 296839106875/33554432 20943703125/2097152
511708213125/33554432 598755069375/33554432 -187782025625/16777216 530522034375/33554432
-158054175625/8388608 -147719560625/8388608 274552961875/16777216 139750185625/33554432
68944080625/4194304 -15994528125/1048576 -494000674375/33554432 28683363125/4194304
328953510625/16777216 -133209289375/33554432 -392573769375/33554432 -620681043125/33554432
569109740625/33554432 70369189375/33554432 -28163811875/8388608 516805625/16777216
-78016540625/16777216 5330900625/4194304 325301340625/33554432 -509823359375/33554432
422217603125/33554432 135878981875/16777216 153613429375/33554432 32949429375/8388608
