3200
26921559375/2097152 600577188125/2097152 -66228039375/1048576 100323426875/1048576
309672570625/2097152 -208510595625/2097152 -254505608125/1048576 -267067699375/2097152
369587676875/2097152 -218075414375/1048576 116263949375/524288 -18202753125/65536
50276165625/524288 -2268504375/262144 119847786875/1048576 -222456563125/1048576
16172639375/1048576 -25539935625/524288 -65929984375/2097152 -171401440625/1048576
-263012184375/2097152 27728721875/524288 -577887019375/2097152 250723103125/1048576
298710630625/1048576 -42979214375/2097152 -179125069375/2097152 96996305625/524288
-102362285625/524288 19601055625/65536 8644964375/131072 542780625/2048
-309604376875/2097152 126287108125/524288 29867533125/1048576 168032435625/2097152
-33891791875/524288 -366977945625/2097152 113094998125/524288 -133291150625/524288
-17250386875/524288 -110459675625/1048576 -189504971875/2097152 566117510625/2097152
62868238125/524288 -453631719375/2097152 129714731875/2097152 4813215625/131072
72417685625/262144 -230196818125/1048576 -311452745625/2097152 322879134375/2097152
15669414375/65536 148028015625/524288 651199273125/2097152 -293302259375/1048576
-39076719375/262144 -4341291875/16384 236130198125/2097152 330740530625/1048576
-636145736875/2097152 -28806001875/524288 548331258125/2097152 -36530696875/1048576
-48951569375/2097152 16599253125/131072 397871479375/2097152 48232559375/262144
-137646366875/2097152 438447843125/2097152 -117756723125/524288 -103582334375/1048576
-252343165625/1048576 257537215625/1048576 -321601875/16384 203596546875/1048576
-22543006875/524288 -164169683125/2097152 -376449396875/2097152 5067310625/262144
56928328125/262144 -650575430625/2097152 -459150129375/2097152 -446891959375/2097152
358950566875/2097152 -408420371875/2097152 -61911020625/2097152 -65110469375/262144
486851389375/2097152 -428123746875/2097152 181783074375/1048576 2506646875/8192
5044351875/65536 -27537709375/262144 -113461558125/2097152 -265883004375/2097152
-61378799375/2097152 167584886875/1048576 -3728015625/32768 42943474375/1048576
-36139713125/131072 -65132898125/262144 -59886231875/2097152 74693334375/524288
-119707520625/2097152 47334819375/1048576 -173022540625/1048576 -245387381875/1048576
-202992564375/2097152 83103273125/524288 90861098125/2097152 40187291875/131072
-86859426875/1048576 -16945019375/1048576 -92086555625/1048576 -166887045625/524288
-60558015625/2097152 -24571076875/1048576 -75304418125/262144 42677236875/262144
-608769326875/2097152 280237264375/2097152 66627424375/2097152 -600139153125/2097152
-55435636875/1048576 -510733153125/2097152 185196011875/1048576 80618199375/524288
121832330625/2097152 -353193518125/2097152 -233353023125/1048576 6738023125/131072
-217678684375/1048576 3208101875/131072 250549051875/2097152 -83975029375/524288
-94246823125/1048576 503122845625/2097152 -63443756875/2097152 323785349375/2097152
-26954356875/262144 -615381143125/2097152 -171810626875/1048576 -138859585625/1048576
7988375625/131072 -210623635625/1048576 43767025625/2097152 -283683179375/1048576
435501548125/2097152 -456853906875/2097152 74253375625/262144 2648853125/524288
516508420625/2097152 -281690984375/2097152 140203985625/2097152 -489478584375/2097152
544886649375/2097152 -177404731875/1048576 76605209375/524288 152863773125/1048576
-141161338125/2097152 209378190625/1048576 107524198125/2097152 631151094375/2097152
146589708125/2097152 3528344375/32768 -282328370625/1048576 90436929375/2097152
-8195706875/524288 -332822823125/2097152 136435255625/2097152 475730791875/2097152
11685381875/131072 606820086875/2097152 -220377579375/1048576 -161913855625/2097152
559993229375/2097152 574335384375/2097152 427413214375/2097152 -331204390625/1048576
637525671875/2097152 32951854375/524288 -433208288125/2097152 19352491875/131072
60052128125/524288 -236533254375/1048576 -28375280625/262144 -158913545625/2097152
486176360625/2097152 -170455660625/1048576 164966946875/1048576 -285666208125/2097152
-162587834375/1048576 -167117288125/2097152 -196436589375/2097152 527309128125/2097152
-497709974375/2097152 -641559110625/2097152 163808464375/524288 -665130993125/2097152
-327914758125/2097152 -362888910625/2097152 -28914980625/2097152 166075721875/1048576
251787550625/1048576 187630923125/1048576 42598145625/2097152 354458069375/2097152
186895239375/1048576 -461850180625/2097152 -316447034375/2097152 -17516263125/131072
-281899728125/1048576 -70108180625/2097152 -25161618125/262144 -239087769375/1048576
-459279438125/2097152 -161143505625/2097152 35760229375/1048576 307179415625/2097152
73253783125/1048576 -601945254375/2097152 -3387499375/1048576 25339503125/1048576
437778903125/2097152 -144753759375/524288 1456955625/131072 204356179375/2097152
372485841875/2097152 -592406125625/2097152 478657985625/2097152 -290734299375/1048576
-114588628125/1048576 218477868125/2097152 -166097606875/1048576 -206142264375/1048576
-372040398125/2097152 90744304375/2097152 -125820501875/524288 498418873125/2097152
68546668125/2097152 26709415625/262144 7242551875/262144 591534823125/2097152
147155139375/524288 -194801355625/1048576 -320248141875/2097152 284319170625/2097152
-47392079375/262144 -161797793125/524288 54912134375/262144 670286703125/2097152
26295865625/2097152 107407336875/1048576 579092434375/2097152 323627546875/1048576
30753994375/1048576 -288353114375/1048576 305643039375/2097152 -24816826875/1048576
-90063165625/524288 6745608125/65536 56933339375/524288 556635621875/2097152
-14468803125/1048576 215169126875/2097152 9985625/128 -143870610625/1048576
499202523125/2097152 25036576875/262144 373755711875/2097152 140716348125/524288
-174133359375/2097152 39437528125/131072 217877103125/1048576 -286962903125/2097152
25249371875/131072 -174101376875/1048576 384784309375/2097152 77286880625/2097152
146737159375/2097152 -164509969375/2097152 2306078125/524288 -13461959375/524288
200286740625/2097152 -304681188125/1048576 90938896875/1048576 409915740625/2097152
-554253585625/2097152 430840221875/2097152 321342225625/1048576 61438041875/1048576
267527450625/2097152 606035625/4096 -216838898125/1048576 -302592964375/1048576
85881443125/524288 48544176875/524288 118701414375/524288 -32035853125/262144
-304243181875/1048576 307050634375/2097152 87327971875/2097152 624735739375/2097152
-278414619375/2097152 -584140900625/2097152 -606904788125/2097152 -48116495625/262144
375403629375/2097152 601974218125/2097152 1120834375/1048576 -8168938125/32768
-68112071875/524288 -9250140625/32768 -105815690625/1048576 305436368125/2097152
399341630625/2097152 73793324375/524288 10407430625/2097152 281003280625/1048576
-39197950625/524288 -295196626875/1048576 55370670625/2097152 -620717025625/2097152
-293241324375/1048576 -6744013125/1048576 508753616875/2097152 220942836875/1048576
149882380625/2097152 281347055625/2097152 136437515625/2097152 -417379698125/2097152
78134664375/1048576 62255760625/2097152 577803125/2097152 -36362071875/2097152
57642551875/2097152 4962269375/262144 -16019131875/65536 -197902648125/2097152
179689935625/2097152 102014919375/1048576 16330648125/131072 317777068125/1048576
-303955019375/2097152 2958751875/524288 203203130625/1048576 219505993125/2097152
-58016791875/2097152 -3307465625/65536 -93973931875/524288 -200743815625/1048576
179636580625/1048576 106060259375/2097152 42074239375/2097152 -528390864375/2097152
54859619375/262144 199316354375/1048576 -89729645625/524288 67839311875/1048576
-156647149375/2097152 131186900625/524288 -208594513125/1048576 279349405625/2097152
497496675625/2097152 229418966875/1048576 -634858295625/2097152 -181747571875/2097152
331338629375/2097152 345924130625/2097152 11227284375/524288 13775909375/65536
294257014375/1048576 -204493136875/1048576 -90702569375/524288 -323054260625/1048576
-74282401875/2097152 -35417840625/524288 -3649974375/1048576 -36587605625/524288
-642513269375/2097152 262253406875/1048576 224934701875/1048576 471612923125/2097152
-399746134375/2097152 236969770625/1048576 529460820625/2097152 -28676170625/131072
-639244484375/2097152 -264705544375/2097152 78584983125/524288 -513139984375/2097152
267036803125/2097152 -447322538125/2097152 67792538125/1048576 -320552128125/1048576
-30894650625/262144 341086310625/2097152 165353465625/524288 124244276875/524288
568247193125/2097152 63453269375/262144 62907338125/524288 636499563125/2097152
165834404375/2097152 183129941875/1048576 -256643100625/2097152 -669482048125/2097152
171569286875/1048576 -259613315625/1048576 636545828125/2097152 217721609375/1048576
-279913885625/2097152 320913800625/1048576 381837731875/2097152 10304046875/32768
57610758125/262144 311155731875/2097152 268586999375/2097152 1922838125/524288
3512676875/65536 -46245210625/2097152 1263113125/262144 118431230625/2097152
-290189540625/2097152 609591570625/2097152 4738344375/32768 -237026823125/1048576
-72202219375/1048576 310598534375/1048576 642192621875/2097152 44309053125/1048576
98271051875/1048576 -164920423125/524288 3591138125/65536 326311010625/1048576
127259409375/2097152 31566776875/2097152 5493299375/524288 19268963125/2097152
-298070748125/1048576 115220989375/2097152 582506784375/2097152 -543972543125/2097152
18344940625/131072 -163503956875/2097152 547000370625/2097152 149925580625/2097152
-99688610625/524288 -499102525625/2097152 1037650625/131072 492896520625/2097152
182998070625/1048576 -7583884375/262144 74576118125/524288 -540836351875/2097152
-194508705625/2097152 12211883125/262144 -69287788125/2097152 604124221875/2097152
98871239375/524288 3127451875/16384 149329150625/1048576 232208111875/1048576
-113269991875/524288 -588985401875/2097152 607870944375/2097152 199208880625/1048576
80802915625/1048576 -63755366875/524288 37385935625/524288 -159251970625/2097152
-317301053125/2097152 -589850820625/2097152 -452591573125/2097152 -334990876875/1048576
-167688291875/524288 -68516058125/262144 50039023125/2097152 250835278125/2097152
549237361875/2097152 -226016694375/1048576 -95722915625/524288 156861140625/524288
-117521331875/524288 129472460625/1048576 22717549375/262144 -142917144375/1048576
-356220828125/2097152 62102030625/1048576 655775039375/2097152 428829733125/2097152
77154295625/1048576 -381273605625/2097152 -307856568125/1048576 26681143125/262144
-157305641875/2097152 299120745625/2097152 268415861875/2097152 5605061875/1048576
132170494375/524288 282051418125/2097152 -176899765625/2097152 154675528125/2097152
-384684765625/2097152 320316143125/1048576 492267781875/2097152 -510139996875/2097152
927581875/32768 -84932238125/524288 86790503125/1048576 159550644375/1048576
117878331875/2097152 -4892929375/524288 -156770959375/524288 423208365625/2097152
-535679798125/2097152 -308967205625/2097152 -165519761875/1048576 -526705681875/2097152
335339458125/1048576 -417245885625/2097152 -4720918125/131072 10928969375/524288
107367981875/524288 606488993125/2097152 -310960371875/1048576 61557338125/524288
69083140625/2097152 -45983110625/524288 -29717395625/1048576 6714379375/262144
211870584375/2097152 528035625/8192 -201680313125/2097152 237187443125/1048576
-245424435625/1048576 -640095414375/2097152 240339059375/1048576 -31512671875/1048576
654699883125/2097152 -47902774375/262144 280233954375/2097152 -103890510625/1048576
175476245625/2097152 -2254366875/1048576 19185825625/262144 497992684375/2097152
-100990408125/1048576 4136035625/32768 48377254375/1048576 -281769614375/1048576
36764830625/131072 13089464375/262144 191194098125/1048576 662920741875/2097152
34908010625/524288 -208392126875/2097152 41953155625/2097152 -49232105625/262144
-647320026875/2097152 12087433125/1048576 -1425355625/16384 -200742634375/1048576
667123093125/2097152 108618145625/524288 446034695625/2097152 274036846875/2097152
-633538206875/2097152 -7137324375/65536 403596714375/2097152 -22411068125/2097152
-91691379375/1048576 82549145625/262144 574938441875/2097152 -280401023125/1048576
177908584375/2097152 323695038125/1048576 131245801875/524288 339703151875/2097152
75106511875/262144 -3960053125/131072 -587452984375/2097152 147607100625/524288
-314111238125/2097152 -267236289375/2097152 79425869375/1048576 -88276801875/1048576
606619616875/2097152 -361390638125/2097152 89575831875/2097152 423535313125/2097152
285752258125/1048576 -176840744375/1048576 14062234375/262144 284051333125/2097152
-154381595625/2097152 -36556929375/262144 -13279944375/65536 297254619375/2097152
-145868015625/1048576 -25718348125/262144 -62491363125/262144 -307852594375/2097152
228102735625/2097152 177190255625/2097152 407011329375/2097152 -302775255625/1048576
-635725416875/2097152 -462052779375/2097152 -588131941875/2097152 -30376169375/262144
-268721386875/1048576 -6717186875/2097152 33480398125/2097152 222338365625/2097152
-661078873125/2097152 29878520625/524288 431019811875/2097152 178510891875/1048576
-18401951875/131072 654058238125/2097152 -70159309375/2097152 67022195625/1048576
354247753125/2097152 306833458125/1048576 281501571875/1048576 348550488125/2097152
24496621875/131072 -54165618125/1048576 220766463125/1048576 341176148125/2097152
29768868125/262144 -86370914375/524288 -25556359375/524288 276090510625/2097152
24756081875/2097152 -631881025625/2097152 -48678701875/262144 217732034375/2097152
615183285625/2097152 -36927854375/524288 -33148940625/524288 523812936875/2097152
361761039375/2097152 -57850444375/1048576 25408919375/262144 105497615625/524288
-487359845625/2097152 -363041354375/2097152 36048515625/262144 -664722550625/2097152
-123806873125/1048576 -374107751875/2097152 -194183370625/1048576 68035323125/262144
127978521875/2097152 156715153125/1048576 338409625625/2097152 -25030495625/2097152
-485851553125/2097152 -71190335625/1048576 41790331875/2097152 -410362019375/2097152
812656875/2097152 364395655625/2097152 333128498125/1048576 -277300414375/2097152
-213095556875/1048576 241567308125/2097152 -662095970625/2097152 92464568125/2097152
65821319375/524288 285633238125/1048576 72463364375/524288 -141351354375/524288
-166931803125/2097152 -518761598125/2097152 110850828125/2097152 311238054375/2097152
-324781916875/1048576 -126919646875/1048576 326933668125/2097152 -132715413125/524288
-139592314375/2097152 179422394375/1048576 57090446875/2097152 368829310625/2097152
-99447390625/2097152 4943849375/2097152 576296538125/2097152 -58225190625/524288
129909773125/2097152 -175231378125/2097152 -315776784375/1048576 -431830941875/2097152
54130171875/262144 -94196465625/1048576 -633691543125/2097152 448748803125/2097152
399656636875/2097152 -288334114375/1048576 -7183210625/32768 20634981875/2097152
249217010625/1048576 141637426875/2097152 -494403570625/2097152 -266071795625/1048576
631086478125/2097152 136544288125/524288 -42888051875/2097152 76469964375/1048576
121464371875/524288 572857761875/2097152 29285039375/262144 -626398546875/2097152
-416202695625/2097152 111075741875/2097152 -574506745625/2097152 -152418481875/524288
28739323125/1048576 331639273125/2097152 4437534375/524288 95126298125/2097152
157595979375/1048576 -409606463125/2097152 -52868630625/262144 -568799578125/2097152
-156254729375/524288 334497656875/2097152 -479590728125/2097152 -254244729375/1048576
4860074375/65536 -476828635625/2097152 10264013125/2097152 19168689375/131072
151545908125/2097152 -401724370625/2097152 8242053125/1048576 238536043125/2097152
-459279665625/2097152 178069301875/2097152 -15616425625/2097152 16244561875/524288
-107910178125/2097152 -2794784375/32768 -478351094375/2097152 475941046875/2097152
-221351959375/2097152 49181629375/262144 67321735625/1048576 59770873125/524288
389844958125/2097152 -41252959375/262144 -300860476875/2097152 -265014176875/2097152
127952490625/1048576 -187239141875/2097152 65889159375/1048576 174684041875/2097152
26092811875/524288 483107953125/2097152 -149334443125/2097152 -317008051875/2097152
-248749964375/1048576 236350445625/1048576 -150986730625/2097152 435112399375/2097152
-491359366875/2097152 -115084718125/524288 -432353634375/2097152 -15945378125/1048576
135499478125/2097152 522138739375/2097152 -164507919375/524288 95592178125/2097152
-392918454375/2097152 32091114375/2097152 562809413125/2097152 98759581875/524288
209931596875/1048576 88482040625/2097152 -350945696875/2097152 -383927500625/2097152
173953783125/2097152 505109429375/2097152 97244601875/2097152 6154760625/524288
102427599375/2097152 -19419850625/1048576 -80802049375/524288 516669249375/2097152
-178602843125/2097152 141676649375/2097152 44746090625/1048576 4783276875/1048576
4058120625/131072 -147024089375/524288 81551564375/262144 -26831781875/2097152
120683648125/2097152 35045478125/524288 134895386875/1048576 514251545625/2097152
-250526599375/2097152 283791301875/2097152 159333125/262144 -196839375/4096
198555559375/2097152 -99746148125/524288 84803184375/2097152 249152869375/1048576
265208731875/1048576 104670526875/1048576 10130964375/262144 -170479521875/2097152
-28248739375/1048576 -327128665625/1048576 141964745625/1048576 18883344375/1048576
-330930866875/1048576 112005859375/2097152 -514130021875/2097152 55525100625/1048576
17833495625/131072 -90951636875/524288 22128530625/2097152 -33337930625/524288
3465944375/262144 -105971583125/524288 619746549375/2097152 -571574876875/2097152
-156700325625/524288 -178088949375/1048576 -95364729375/2097152 -466702809375/2097152
-308492576875/1048576 -334190773125/1048576 68641676875/2097152 -65122368125/262144
-549149256875/2097152 69767661875/524288 -47770951875/262144 71507169375/1048576
-274850975625/2097152 -74278654375/1048576 376519135625/2097152 20950086875/262144
-151138471875/524288 -369830760625/2097152 -213124598125/1048576 -437184314375/2097152
-485115876875/2097152 156988226875/2097152 3773860625/131072 39574714375/131072
90473185625/1048576 -34337626875/262144 -135752768125/2097152 577152798125/2097152
-472422803125/2097152 174343820625/2097152 -317534476875/1048576 -24381111875/131072
-615402371875/2097152 -55894675625/262144 661090771875/2097152 -134091691875/1048576
125963940625/524288 338722724375/2097152 191567249375/1048576 -1870328125/262144
-109969746875/524288 66603365625/2097152 -309869198125/1048576 151407811875/524288
1952758125/16384 13440765625/1048576 74668119375/1048576 -220302254375/1048576
-265958056875/1048576 88908728125/524288 -34348219375/131072 -22016100625/524288
430186153125/2097152 199769734375/2097152 13356080625/2097152 -328988023125/1048576
-78961813125/524288 415370123125/2097152 -210475601875/1048576 290553960625/2097152
-19611755625/131072 94798768125/524288 -157559571875/1048576 5459310625/1048576
-521608993125/2097152 -422413300625/2097152 -95376865625/2097152 81577103125/262144
485666135625/2097152 56077174375/1048576 248700600625/2097152 -299063064375/1048576
-229801536875/1048576 -67263820625/524288 -63827793125/1048576 148993394375/524288
-612642263125/2097152 423483190625/2097152 29290038125/131072 -514607251875/2097152
181939529375/1048576 147702613125/524288 525100843125/2097152 192262658125/1048576
-80440944375/2097152 -313449481875/2097152 225158026875/1048576 296947144375/2097152
35257379375/524288 669397175625/2097152 9950981875/2097152 187102265625/2097152
77665334375/1048576 -7289570625/262144 285906314375/2097152 -36651258125/262144
-117131316875/524288 328502541875/2097152 214461998125/2097152 -241428008125/2097152
118950573125/1048576 -23626691875/262144 -297477633125/2097152 156459021875/1048576
469729706875/2097152 3541436875/65536 -190087829375/1048576 4917894375/32768
-269764644375/2097152 -140396356875/2097152 521701888125/2097152 248514678125/2097152
26979958125/262144 -516241725625/2097152 -333746169375/1048576 -75309501875/524288
178407479375/1048576 -329099883125/2097152 -284667621875/2097152 333732258125/1048576
-87576643125/524288 -496226136875/2097152 219380399375/2097152 -356167360625/2097152
595826361875/2097152 479450396875/2097152 -164836829375/1048576 94748596875/1048576
-98943510625/2097152 544202450625/2097152 290258495625/1048576 634372634375/2097152
520983125/8192 36907778125/524288 -170561363125/2097152 494454886875/2097152
-13041576875/131072 542874851875/2097152 396352303125/2097152 -27448001875/2097152
115153909375/2097152 180465150625/1048576 -326544089375/2097152 -389531308125/2097152
-392529466875/2097152 420712384375/2097152 -255538173125/1048576 42257641875/2097152
90861695625/2097152 171144055625/1048576 -69435371875/524288 -63027363125/1048576
95204923125/1048576 -259554144375/2097152 -289978981875/1048576 630495880625/2097152
-348017416875/2097152 474153361875/2097152 -462387414375/2097152 -213905345625/2097152
-588766758125/2097152 249004606875/1048576 -35671673125/1048576 -468227140625/2097152
201730381875/1048576 -347225086875/2097152 -10191836875/524288 382507883125/2097152
-201899140625/2097152 -114028410625/2097152 14852466875/262144 -21413208125/131072
130247553125/524288 -105359266875/524288 547604935625/2097152 -108506353125/524288
-58181131875/1048576 81733579375/524288 -311178479375/1048576 -605502003125/2097152
-81036425625/262144 184788043125/2097152 576438066875/2097152 37247385625/524288
24482654375/524288 3379188125/524288 10999474375/524288 664519711875/2097152
-372717571875/2097152 562228089375/2097152 109746531875/2097152 -537953345625/2097152
270070328125/2097152 -289928750625/1048576 341364479375/2097152 73233401875/262144
39669199375/524288 -32141093125/2097152 129659439375/1048576 -413382571875/2097152
659084940625/2097152 -327551105625/1048576 -7199183125/1048576 -57388109375/1048576
-405492121875/2097152 -54766235625/524288 -108930611875/2097152 642628700625/2097152
478083770625/2097152 316298516875/2097152 51978883125/2097152 234565715625/1048576
231877338125/1048576 -207189734375/1048576 -25218433125/524288 45871559375/262144
120010951875/2097152 -10787885625/65536 86207253125/524288 -189472128125/1048576
56971540625/262144 -139733986875/2097152 -5993403125/32768 -40913639375/524288
-396458806875/2097152 146208554375/1048576 179806003125/2097152 -450660144375/2097152
398890469375/2097152 -94008841875/524288 -38135685625/131072 -6412423125/65536
615505175625/2097152 -656711798125/2097152 489113041875/2097152 -175448453125/1048576
-246802129375/2097152 140046870625/2097152 -92891959375/1048576 -523840109375/2097152
-6060238125/1048576 -72911888125/2097152 -142560160625/2097152 -390157626875/2097152
625293004375/2097152 -222214806875/2097152 146680430625/1048576 463734763125/2097152
-611566315625/2097152 584079971875/2097152 -607773284375/2097152 3594983125/131072
335239895625/1048576 182664499375/1048576 138233333125/2097152 60774768125/2097152
-354534958125/2097152 158521244375/2097152 -327641899375/1048576 -21740183125/1048576
202584154375/1048576 -325064376875/1048576 656694091875/2097152 -127832795625/1048576
60809894375/2097152 -29219920625/524288 -35998755625/1048576 -650781908125/2097152
-366667021875/2097152 665156559375/2097152 -308610779375/1048576 -85106754375/1048576
-474606466875/2097152 -110576090625/1048576 310807254375/2097152 -39505324375/1048576
309365921875/2097152 -55369318125/1048576 9906776875/65536 147204245625/524288
335146283125/1048576 62344588125/262144 311490654375/2097152 31657868125/131072
470949745625/2097152 -10878414375/524288 -446649663125/2097152 -279832866875/1048576
-78070791875/1048576 -188349880625/2097152 -526048303125/2097152 -71638203125/524288
-479721279375/2097152 -56970625/8192 224519573125/1048576 352301065625/2097152
25895243125/524288 -400421021875/2097152 -153925120625/524288 -625679765625/2097152
6111088125/2097152 60026019375/2097152 -117345989375/2097152 -9303200625/65536
343109076875/2097152 53230424375/262144 -557653839375/2097152 385220164375/2097152
-180082578125/1048576 -286942708125/2097152 477402880625/2097152 323396653125/1048576
-67089470625/524288 280361121875/2097152 543316548125/2097152 650065241875/2097152
531821943125/2097152 -226454594375/1048576 364764746875/2097152 614009291875/2097152
73719545625/262144 -33699296875/2097152 -186933836875/2097152 27180346875/524288
-79644055625/524288 225150559375/2097152 136565873125/2097152 24407723125/131072
-106674640625/2097152 -252440120625/2097152 20554751875/524288 721693125/4096
4777230625/1048576 -32168315625/524288 -102706206875/2097152 -249475998125/1048576
-353692651875/2097152 132749423125/2097152 -538531076875/2097152 -292479830625/2097152
-645700189375/2097152 185983660625/2097152 87060826875/1048576 219328248125/2097152
43786830625/524288 320145426875/2097152 -295120421875/1048576 19868444375/1048576
478281206875/2097152 -10462323125/32768 111783770625/2097152 -7861068125/1048576
9362045625/65536 -642234504375/2097152 96837631875/524288 14633761875/131072
255727988125/1048576 48384145625/262144 -667443981875/2097152 206358680625/2097152
