400
-641722254375/16777216 40407789375/16777216 -341415251875/16777216 359096698125/16777216
500808734375/16777216 92777156875/4194304 -241242390625/16777216 -34861900625/8388608
-537276753125/16777216 -69344511875/2097152 -275477355625/8388608 251071319375/8388608
-424291516875/16777216 132765058125/4194304 69025384375/4194304 -21923090625/8388608
-105114454375/4194304 49669599375/4194304 -361829156875/16777216 -326106951875/8388608
-151503286875/4194304 -56371215625/16777216 8761441875/16777216 -44243968125/2097152
-424679550625/16777216 -69470955625/2097152 51749724375/2097152 521611728125/16777216
309139340625/16777216 -23908586875/2097152 -46962870625/16777216 81398276875/16777216
604097341875/16777216 -132362091875/8388608 512536135625/16777216 -2729131875/4194304
93463905625/8388608 -200505318125/16777216 480478263125/16777216 62019324375/16777216
-50772975625/16777216 -276232198125/16777216 -72515593125/4194304 -203838313125/16777216
-294973329375/8388608 -51847874375/8388608 201256875/262144 554997828125/16777216
143993715625/16777216 136950996875/8388608 407485829375/16777216 -246538540625/8388608
243972586875/16777216 471360110625/16777216 133386384375/8388608 232648530625/16777216
-35785219375/16777216 -547562861875/16777216 -87939551875/16777216 150866224375/8388608
-51734635625/16777216 -402593259375/16777216 -33254300625/2097152 148739015625/8388608
313041889375/16777216 108066113125/4194304 186840121875/8388608 62033920625/8388608
456737571875/16777216 486605156875/16777216 57218503125/4194304 399853233125/16777216
144866055625/8388608 -65054605625/16777216 6820989375/16777216 237698649375/8388608
24247328125/4194304 -140089311875/16777216 -249590338125/8388608 111440898125/4194304
330278229375/8388608 194197518125/8388608 -43614730625/16777216 -189986365625/8388608
-628897005625/16777216 -139840919375/8388608 -214311029375/8388608 143340521875/8388608
-116350859375/4194304 583660631875/16777216 547532215625/16777216 152676199375/4194304
492144371875/16777216 644169828125/16777216 408256923125/16777216 47927543125/2097152
-297594830625/8388608 -117380964375/8388608 -616698501875/16777216 -497409884375/16777216
-496695968125/16777216 -4532488125/524288 -511832845625/16777216 101972750625/4194304
115554626875/8388608 79376371875/4194304 -614992421875/16777216 296743790625/8388608
-531614028125/16777216 526265020625/16777216 -208694866875/16777216 90723951875/8388608
-20866771875/1048576 17982275625/4194304 -118810290625/8388608 -327017280625/16777216
-3411528125/4194304 -104932258125/16777216 -24625536875/1048576 22575978125/4194304
519754819375/16777216 -634117735625/16777216 23266489375/1048576 -42095805625/2097152
476736141875/16777216 -282419340625/16777216 596413518125/16777216 55855628125/4194304
451411963125/16777216 -188030513125/16777216 -144536920625/16777216 -81699571875/8388608
220223976875/8388608 256769383125/16777216 210789683125/16777216 -313211166875/8388608
-502334396875/16777216 247139231875/16777216 -36153409375/8388608 -216947068125/16777216
-445969274375/16777216 -619625908125/16777216 -25114045625/2097152 230042809375/8388608
-147301681875/8388608 -14283496875/1048576 -72832499375/16777216 1949238125/8388608
6085014375/8388608 183568598125/8388608 401176644375/16777216 -161779143125/16777216
44651844375/4194304 -148555005625/8388608 -651859196875/16777216 -638543696875/16777216
140459113125/16777216 -622985298125/16777216 23917589375/16777216 -133244725625/16777216
-2637960625/262144 76610751875/16777216 14528434375/8388608 187023695625/8388608
-633272384375/16777216 -107780359375/4194304 -238885466875/16777216 -107713578125/16777216
-33414918125/1048576 -104505569375/4194304 6393999375/8388608 163264548125/16777216
529148348125/16777216 -286240953125/16777216 290824540625/16777216 -82543131875/2097152
122905353125/8388608 -156489623125/16777216 -124120438125/4194304 363621846875/16777216
-505649131875/16777216 117614464375/4194304 -452199665625/16777216 481318605625/16777216
187621379375/16777216 -145128229375/4194304 50006645625/16777216 330975220625/16777216
440657358125/16777216 -62782223125/2097152 -282455806875/16777216 303071226875/16777216
81213541875/4194304 59718499375/4194304 125829296875/4194304 -53567284375/2097152
-40055200625/1048576 -454851344375/16777216 -522090136875/16777216 350624440625/16777216
-48563910625/4194304 144849039375/4194304 299095780625/16777216 -35391803125/2097152
-25838223125/8388608 -29505365625/2097152 -40181643125/8388608 -450431189375/16777216
173073244375/16777216 401911578125/16777216 107203088125/16777216 310922074375/8388608
-14321863125/8388608 -40417081875/4194304 -230894523125/16777216 -305249208125/8388608
142472209375/4194304 78834948125/2097152 648767055625/16777216 86830913125/8388608
116983458125/8388608 324961109375/16777216 -579036920625/16777216 -465787728125/16777216
-354795103125/16777216 -261012823125/8388608 -67063361875/2097152 -38688344375/2097152
-643161285625/16777216 24342610625/4194304 -9260690625/8388608 -102322925625/16777216
299675736875/8388608 -536467281875/16777216 26624656875/16777216 60546333125/16777216
-179027149375/16777216 -103082936875/16777216 -31249489375/1048576 -94975688125/16777216
340946526875/16777216 -569284373125/16777216 356960526875/16777216 105883229375/8388608
507725385625/16777216 -263690941875/16777216 -50932180625/16777216 63668981875/8388608
178401705625/16777216 -6736423125/16777216 -450855821875/16777216 -106134269375/16777216
25842744375/8388608 -298480753125/16777216 112688531875/16777216 351890824375/16777216
302122845625/16777216 42356708125/2097152 -555713661875/16777216 106392633125/16777216
260273233125/8388608 -315997539375/8388608 469049458125/16777216 -622862333125/16777216
41906444375/8388608 327811643125/8388608 -587184764375/16777216 -16441738125/1048576
519387756875/16777216 440220625/16777216 -417477276875/16777216 -80773399375/2097152
27303015625/8388608 -28090366875/1048576 26452773125/1048576 -430702959375/16777216
160661828125/4194304 -28215320625/16777216 -134719289375/8388608 -654049968125/16777216
550668236875/16777216 270667980625/16777216 -9087441875/4194304 -83151376875/2097152
524796373125/16777216 -235902624375/16777216 -384671745625/16777216 -77118099375/16777216
94225065625/8388608 169108585625/8388608 89115559375/16777216 319793406875/8388608
-488757303125/16777216 -20045691875/1048576 -400464805625/16777216 198622280625/8388608
481517246875/16777216 21306400625/4194304 23887315625/8388608 199718913125/8388608
-153482434375/8388608 -51964146875/4194304 -26594805625/8388608 -263784729375/16777216
271257376875/8388608 -31628246875/1048576 129937095625/8388608 71327236875/2097152
212155340625/16777216 -26936633125/1048576 236001389375/8388608 -280175960625/8388608
522492694375/16777216 282231718125/8388608 -538371506875/16777216 -63367813125/4194304
382263913125/16777216 -418281045625/16777216 58166494375/16777216 67327369375/16777216
332035983125/8388608 537780266875/16777216 -625058503125/16777216 273678060625/16777216
216895204375/16777216 670955321875/16777216 -125014140625/8388608 266863228125/16777216
-18919630625/4194304 -130198046875/8388608 63157990625/2097152 113083216875/4194304
-119292863125/4194304 -21015774375/4194304 642158905625/16777216 214644725625/16777216
167951240625/8388608 260115341875/16777216 -275747264375/8388608 410810986875/16777216
271914273125/16777216 -73205314375/8388608 -284551404375/8388608 -134301935625/8388608
-510805094375/16777216 139102315625/4194304 -44870595625/2097152 13180814375/2097152
-626487523125/16777216 -181147856875/8388608 -111448514375/16777216 609027238125/16777216
-324041909375/16777216 -6390505625/4194304 -371233878125/16777216 -604350331875/16777216
300641466875/16777216 -227338145625/8388608 138943646875/16777216 -98885525625/16777216
-46347435625/2097152 157706054375/16777216 101719391875/16777216 -430616011875/16777216
-16490610625/1048576 -42249430625/16777216 62373195625/4194304 318494870625/16777216
-299275626875/8388608 -139767231875/4194304 -263985855625/16777216 -2556323125/16777216
463510319375/16777216 13096996875/4194304 -16294375/2048 -12669551875/2097152
-173083411875/8388608 226454173125/16777216 11990579375/4194304 -19952725625/1048576
-130461043125/4194304 537660979375/16777216 73098411875/16777216 -105354504375/4194304
-590498033125/16777216 -408912919375/16777216 262349268125/16777216 -53910510625/8388608
-115149700625/16777216 118177278125/8388608 541653125/262144 441490814375/16777216
247772365625/16777216 215509599375/8388608 96217580625/8388608 17571068125/2097152
32497466875/16777216 -243981856875/8388608 97714810625/8388608 -142006620625/16777216
32882009375/8388608 453758419375/16777216 33247845625/4194304 408927106875/16777216
26399061875/1048576 195854369375/16777216 -328573801875/8388608 -228237838125/16777216
587814244375/16777216 72194019375/8388608 322027643125/8388608 37066534375/1048576
6456388125/524288 119359843125/8388608 -330499174375/8388608 279763038125/8388608
33731833125/4194304 -111052928125/8388608 -277079850625/8388608 -297669994375/8388608
-83187528125/8388608 120121841875/16777216 100583464375/8388608 487682115625/16777216
-302180013125/16777216 -79425193125/4194304 -307292259375/8388608 -189516058125/8388608
-409636579375/16777216 647518779375/16777216 531799958125/16777216 283840313125/8388608
-66749109375/8388608 -444030890625/16777216 237532548125/8388608 21834651875/1048576
586051073125/16777216 -547934250625/16777216 18576291875/8388608 -242146513125/8388608
-236072783125/8388608 -35124549375/4194304 5075446875/262144 -213162484375/16777216
664144531875/16777216 -433830636875/16777216 184961581875/16777216 -385207121875/16777216
-222595325625/16777216 47207810625/4194304 -209231669375/16777216 247854405625/8388608
389413524375/16777216 -148626370625/4194304 558453125/32768 47570688125/16777216
-28354990625/4194304 -5096411875/262144 473190985625/16777216 -495791671875/16777216
40422426875/16777216 164972581875/4194304 -156114329375/16777216 -64666175625/4194304
-149767818125/8388608 -89154235625/4194304 8736240625/8388608 -388994375/16384
-24934418125/8388608 -326282059375/8388608 -191009249375/8388608 -12838599375/524288
-273785111875/16777216 109855561875/16777216 -427194989375/16777216 -16489744375/524288
885349375/4194304 6121225625/2097152 -8755589375/8388608 -152460679375/4194304
251081050625/8388608 -349265625/32768 390986214375/16777216 101522919375/4194304
47459715625/4194304 180900525625/16777216 408866235625/16777216 56016556875/2097152
169980936875/8388608 60104454375/8388608 -241953003125/8388608 -132041778125/4194304
53777390625/2097152 -163149100625/16777216 -58184660625/16777216 -123948320625/4194304
-81176023125/2097152 406259204375/16777216 311385361875/16777216 -598010625/65536
-6744401875/262144 -630886459375/16777216 -287265966875/8388608 73065419375/4194304
140121761875/8388608 -382560395625/16777216 -331999644375/8388608 -299332241875/16777216
31282211875/8388608 353780509375/16777216 -223932805625/16777216 -162902336875/8388608
-335736419375/16777216 219565253125/8388608 -457960678125/16777216 260329016875/8388608
-610288513125/16777216 90822424375/4194304 -67817638125/16777216 436435879375/16777216
-249598889375/8388608 -603635441875/16777216 75512426875/2097152 506348968125/16777216
72086635625/8388608 -47055693125/8388608 -381337826875/16777216 -83396330625/8388608
42705974375/4194304 -127207881875/16777216 -84706756875/4194304 23766336875/1048576
158913839375/4194304 -5958028125/524288 -108892354375/4194304 -273505625625/8388608
112261131875/8388608 -474382471875/16777216 9881369375/2097152 -71257213125/8388608
79316460625/4194304 -622897349375/16777216 273437786875/8388608 262113079375/16777216
68385729375/16777216 -294209204375/16777216 276011288125/16777216 126456174375/16777216
554724411875/16777216 114460886875/8388608 302570568125/16777216 -649158945625/16777216
-14867829375/1048576 8706485625/262144 -279232053125/8388608 2827565625/131072
500866315625/16777216 -24718843125/16777216 81621450625/16777216 307859629375/16777216
196567680625/16777216 -15994450625/16777216 68546393125/2097152 67608788125/8388608
149363165625/4194304 13657838125/4194304 -41755665625/4194304 -30000450625/16777216
-25719965625/16777216 -512936079375/16777216 184686161875/8388608 667586609375/16777216
101937121875/8388608 -606582938125/16777216 -442551554375/16777216 -20596954375/8388608
105332424375/8388608 -293322874375/16777216 -24403480625/2097152 -33104053125/2097152
-2720205625/8388608 75203685625/4194304 221473753125/16777216 372144870625/16777216
-651081431875/16777216 80338415625/16777216 -180061603125/8388608 561527785625/16777216
-299914106875/16777216 -150595659375/4194304 -565059873125/16777216 -249422118125/8388608
552742575625/16777216 -80810381875/4194304 601998208125/16777216 50994360625/8388608
-185904518125/8388608 63225230625/2097152 141448603125/4194304 -583534603125/16777216
287413593125/16777216 106166429375/4194304 44433286875/4194304 355804255625/16777216
130268110625/16777216 -65115406875/4194304 304294714375/16777216 -71729929375/4194304
-113109970625/4194304 59220664375/4194304 -306252683125/16777216 137144920625/8388608
-208035880625/16777216 -39714051875/8388608 -596089870625/16777216 -75508046875/2097152
-70068825625/16777216 -198255085625/16777216 12210594375/524288 339985009375/16777216
-115067660625/4194304 477930470625/16777216 80031864375/2097152 -460423169375/16777216
69071004375/8388608 56449470625/2097152 79781721875/2097152 14024930625/16777216
-268469165625/8388608 -69018934375/4194304 239061940625/8388608 93172340625/16777216
-112632948125/4194304 305384179375/8388608 -289312274375/8388608 458848098125/16777216
321404275625/8388608 237226573125/8388608 259515131875/8388608 88494751875/16777216
91791796875/4194304 -364261868125/16777216 132955420625/16777216 177516935625/16777216
663455749375/16777216 -189141665625/16777216 -21696501875/2097152 172862855625/8388608
-417240908125/16777216 282901329375/16777216 -502916078125/16777216 135946306875/16777216
-31938604375/16777216 527555384375/16777216 -598393309375/16777216 602603125/262144
577597174375/16777216 640770241875/16777216 -264176234375/16777216 19225160625/4194304
-440314643125/16777216 393609401875/16777216 165730984375/4194304 154024970625/16777216
-117363271875/16777216 -157759671875/4194304 -124171495625/4194304 291750814375/8388608
312693795625/16777216 -347096218125/16777216 -299382099375/8388608 50881544375/16777216
-199952865625/16777216 -79636844375/8388608 -292738863125/8388608 -16114006875/1048576
-56424714375/2097152 104548249375/8388608 565841088125/16777216 -319017933125/16777216
596803205625/16777216 261334820625/16777216 -5474018125/262144 -473936108125/16777216
-596160996875/16777216 615794410625/16777216 -305096624375/16777216 -40639758125/2097152
-236535125625/8388608 -552777379375/16777216 95040634375/8388608 182096856875/16777216
-141736461875/4194304 300318714375/16777216 -614140104375/16777216 -3703368125/8388608
333502179375/16777216 182653634375/8388608 279121369375/16777216 16721575625/8388608
379723446875/16777216 165470809375/16777216 -298714248125/8388608 89747115625/4194304
-50264105625/16777216 648621855625/16777216 78585923125/2097152 -404454730625/16777216
15525210625/4194304 -406926766875/16777216 -16658296875/4194304 135930715625/4194304
20448598125/1048576 152775834375/8388608 411990488125/16777216 -467722413125/16777216
-54843293125/8388608 296158459375/8388608 378098821875/16777216 -168399200625/8388608
63023583125/8388608 -158883485625/16777216 -247946670625/16777216 -91161756875/16777216
-594516140625/16777216 -601816238125/16777216 561720318125/16777216 -225108403125/16777216
658653475625/16777216 -110787859375/16777216 47361898125/8388608 -140998726875/4194304
459464174375/16777216 257102390625/16777216 266156139375/16777216 78119471875/16777216
251713695625/16777216 111095040625/4194304 104521389375/16777216 24996925625/2097152
-42637881875/2097152 44133883125/16777216 -362572221875/16777216 -539670609375/16777216
555498488125/16777216 -623828480625/16777216 -405969504375/16777216 -357027229375/16777216
-92143710625/4194304 554874678125/16777216 -131607673125/8388608 137406765625/4194304
-157356175625/8388608 317611916875/8388608 -578175950625/16777216 -17471769375/1048576
288783126875/8388608 -127226643125/16777216 62489294375/16777216 659174550625/16777216
-200502311875/8388608 362036343125/16777216 -59430944375/16777216 -49207664375/8388608
581636370625/16777216 322987658125/16777216 -147279464375/8388608 -25037541875/4194304
-530474305625/16777216 31298535625/2097152 -405183248125/16777216 -448619379375/16777216
124947408125/8388608 481709353125/16777216 -176754983125/16777216 20621644375/2097152
-523846258125/16777216 -520413743125/16777216 125092954375/16777216 228559926875/16777216
172712755625/8388608 14567118125/16777216 130617155625/16777216 -332550821875/8388608
599477723125/16777216 -85156346875/8388608 -437704708125/16777216 66184666875/2097152
-91740175625/4194304 -139518384375/4194304 -53227675625/8388608 -123053739375/4194304
20762275625/16777216 200937911875/16777216 465108478125/16777216 -3488119375/2097152
106139080625/4194304 -9337326875/4194304 581410503125/16777216 -112092666875/8388608
-277829073125/16777216 627009133125/16777216 -161859324375/8388608 68492665625/4194304
-60278641875/4194304 -377865153125/16777216 -171071744375/16777216 77047739375/4194304
-317514731875/16777216 -324330476875/8388608 13227979375/8388608 -71408245625/2097152
-582942844375/16777216 -37166016875/2097152 -325599369375/16777216 -95223921875/8388608
-372006586875/16777216 -331958288125/16777216 290525773125/8388608 37918274375/1048576
-568046484375/16777216 -201272353125/16777216 151170395625/4194304 49060653125/4194304
-70133125/4096 228862020625/16777216 10301791875/1048576 -8941740625/524288
-68387121875/2097152 -359303498125/16777216 90377500625/8388608 181329045625/16777216
456835741875/16777216 141669508125/16777216 -19502658125/16777216 24104528125/16777216
301009776875/16777216 -42126044375/2097152 -480225319375/16777216 -130130245625/8388608
14366849375/1048576 25866090625/16777216 -299690663125/8388608 -15888621875/8388608
-164262775625/16777216 160101684375/16777216 -98532431875/16777216 -512159325625/16777216
156312076875/8388608 47908884375/16777216 465492470625/16777216 -165082993125/8388608
-520385155625/16777216 -98408523125/4194304 -535252321875/16777216 -389573725625/16777216
-416986875/131072 -143093339375/16777216 -127549395625/4194304 8530678125/262144
-295490541875/8388608 -405504279375/16777216 -38135025625/4194304 215848883125/16777216
362071879375/16777216 19687978125/2097152 358777461875/16777216 -132609246875/4194304
219897774375/16777216 34831764375/16777216 -91859978125/16777216 450982676875/16777216
42174094375/16777216 -31773550625/1048576 124937916875/8388608 146487391875/8388608
-159943989375/4194304 30588696875/2097152 -628025514375/16777216 -428172334375/16777216
409069184375/16777216 376734469375/16777216 53971118125/8388608 -357188383125/16777216
663183649375/16777216 25451565625/16777216 -141475364375/4194304 -275126199375/8388608
120104104375/16777216 182889680625/8388608 -389677048125/16777216 63403546875/2097152
-37714029375/16777216 139837789375/16777216 -12702431875/8388608 5408319375/524288
-67269461875/16777216 17790934375/1048576 132785651875/16777216 -4863689375/8388608
-24724455625/16777216 -281346531875/8388608 -92355166875/16777216 -77352658125/2097152
-269551029375/8388608 247686700625/16777216 -143933474375/8388608 -344898049375/16777216
133775218125/16777216 639393711875/16777216 318794966875/8388608 328074299375/8388608
-57621936875/2097152 -7989076875/16777216 19709275625/8388608 52944876875/2097152
-58088565625/4194304 68323971875/4194304 25096510625/1048576 -259112501875/16777216
-551697205625/16777216 -15763041875/2097152 236745345625/8388608 -33217893125/1048576
-111959711875/4194304 -44850414375/8388608 630912635625/16777216 -283202463125/8388608
-17823213125/8388608 219396399375/8388608 664688401875/16777216 111824195625/16777216
103436326875/8388608 285713353125/8388608 -17539058125/16777216 -635281510625/16777216
-11853624375/524288 538322973125/16777216 399390116875/16777216 -164883329375/8388608
-37163683125/2097152 265657581875/16777216 -169940830625/8388608 -270469016875/16777216
22199628125/2097152 -5710228125/1048576 -433557836875/16777216 97423526875/8388608
125700010625/16777216 -88039289375/8388608 87625174375/8388608 -494391031875/16777216
-103983341875/8388608 -43997110625/16777216 -464099695625/16777216 78692073125/4194304
-33790988125/1048576 -148568106875/4194304 -185858909375/16777216 -343391190625/16777216
196454771875/16777216 172940228125/8388608 8470921875/2097152 -25890536875/16777216
85884926875/8388608 -5098436875/1048576 -552103073125/16777216 -2004706875/4194304
-195873896875/16777216 -295113984375/8388608 -270885615625/16777216 64134014375/2097152
-522960991875/16777216 35661285625/2097152 -334500313125/16777216 5243429375/524288
160489560625/4194304 -511116895625/16777216 106634684375/16777216 540344079375/16777216
-2560221875/262144 -112760515625/4194304 -89695569375/8388608 -91565959375/16777216
328476538125/8388608 -33932294375/2097152 -70567855625/4194304 -228589038125/8388608
171604389375/16777216 -456369679375/16777216 -319187540625/16777216 53394348125/2097152
96446719375/8388608 -527893786875/16777216 448425789375/16777216 275820465625/16777216
-608517030625/16777216 -93052790625/4194304 -250504756875/8388608 66784330625/2097152
-885253125/65536 37935385625/8388608 34846069375/2097152 -4536724375/524288
494116658125/16777216 221925735625/8388608 217348888125/16777216 608591368125/16777216
-31875363125/8388608 156726473125/8388608 -192016911875/8388608 154873803125/8388608
424539375/262144 81374711875/4194304 103731845625/8388608 129036431875/8388608
-490223925625/16777216 2797273125/16777216 84909048125/4194304 2347178125/2097152
-664797193125/16777216 111132485625/4194304 -535704994375/16777216 -80231349375/4194304
-603587039375/16777216 41324364375/8388608 29129780625/4194304 545929948125/16777216
-175655241875/8388608 77981765625/16777216 -631799201875/16777216 356158491875/16777216
226212714375/8388608 -990095625/65536 297402110625/8388608 84456069375/8388608
-110078598125/16777216 -644630625/262144 613133700625/16777216 71239484375/2097152
132035809375/16777216 -219413979375/8388608 -577357430625/16777216 552070708125/16777216
327323540625/8388608 -499163179375/16777216 -283506508125/8388608 134771348125/16777216
30416554375/4194304 328421403125/8388608 -194828681875/8388608 -255117265625/8388608
339052184375/16777216 -590755934375/16777216 -167356829375/8388608 -98835021875/8388608
-56330724375/8388608 -291990186875/8388608 -398777703125/16777216 -464559611875/16777216
-216251565625/16777216 239165430625/8388608 86762221875/4194304 -199877168125/8388608
-44225906875/4194304 177323496875/8388608 -12322991875/16777216 375019319375/16777216
401276749375/16777216 660712759375/16777216 -66416356875/4194304 -282657208125/8388608
100506726875/4194304 30169459375/8388608 -319252188125/16777216 86311420625/4194304
-515975255625/16777216 554069644375/16777216 109461753125/4194304 16525153125/524288
-597381366875/16777216 44795860625/2097152 217790070625/8388608 -291674218125/8388608
-265899596875/16777216 570055713125/16777216 98632738125/4194304 543797761875/16777216
9935578125/1048576 306238250625/16777216 171188830625/8388608 -264254048125/8388608
243763019375/16777216 2286218125/16777216 348964228125/16777216 -44207006875/4194304
157448551875/16777216 -58273905625/4194304 -213347718125/16777216 -327536438125/16777216
-244406651875/8388608 318420601875/8388608 97405321875/4194304 242894971875/8388608
-154203666875/8388608 -5426411875/4194304 118682010625/16777216 -35974774375/2097152
13703974375/16777216 71204321875/8388608 -32962324375/4194304 156026793125/8388608
166823405625/4194304 -34601100625/4194304 -312196689375/16777216 216235368125/16777216
-35999824375/16777216 18256230625/2097152 237090060625/8388608 73295204375/16777216
-354599525625/16777216 -147832126875/16777216 -213616384375/16777216 -234772558125/16777216
-275903910625/8388608 -321868144375/16777216 54107198125/2097152 -522705305625/16777216
-53305430625/8388608 -227636378125/8388608 146470111875/4194304 87249511875/4194304
-199817091875/8388608 -111775653125/8388608 -582685431875/16777216 158816104375/4194304
567687820625/16777216 170230756875/16777216 -24814153125/2097152 24967248125/4194304
-35955328125/2097152 -549953061875/16777216 -648701048125/16777216 -113661713125/4194304
-95695463125/16777216 257455559375/8388608 244553299375/16777216 47385629375/2097152
5617125625/4194304 147479314375/4194304 451775691875/16777216 -126469366875/8388608
400660973125/16777216 15260041875/16777216 50229584375/2097152 281314129375/16777216
-6734789375/2097152 291978149375/8388608 -101333818125/16777216 -242811208125/8388608
-23136255625/1048576 537637309375/16777216 -86052215625/4194304 584797889375/16777216
532318638125/16777216 37966054375/2097152 -211048080625/8388608 -327465188125/16777216
-136844846875/4194304 -343628651875/16777216 -110913439375/16777216 201370978125/8388608
-88486179375/16777216 37588181875/16777216 -189851001875/16777216 -134627799375/8388608
638786128125/16777216 -10857573125/1048576 80846100625/4194304 -239916858125/8388608
-94015789375/4194304 -11437480625/8388608 -251191324375/8388608 -625852460625/16777216
263146900625/16777216 100583474375/8388608 124604063125/4194304 6934538125/16777216
17396776875/4194304 -383705324375/16777216 5999500625/16777216 -148899310625/4194304
