2600
-2200425508125/16777216 7239065835625/33554432 975637788125/8388608 -4545988695625/33554432
-635200093125/8388608 -1116001583125/16777216 2911861704375/16777216 7184671430625/33554432
-1169663129375/8388608 -493204976875/8388608 2106663186875/16777216 -1230730499375/16777216
1758106260625/8388608 178243771875/4194304 -4137616348125/16777216 -604694585625/33554432
-2911499459375/33554432 3407631605625/33554432 7434726024375/33554432 2338099586875/33554432
-1062180364375/8388608 -6153128759375/33554432 4113372843125/16777216 3708174088125/33554432
6505861415625/33554432 -558325438125/8388608 8080612158125/33554432 737758133125/4194304
7929700293125/33554432 430638804375/33554432 2476927496875/33554432 3540075605625/33554432
-2491064233125/33554432 1652375944375/33554432 1084353668125/16777216 -8258463175625/33554432
1662081256875/8388608 3716835695625/33554432 -1660162066875/16777216 3565988131875/33554432
-1375066606875/16777216 4978050309375/33554432 1615946434375/8388608 1744068031875/16777216
-7468838219375/33554432 -1699089754375/33554432 29505896875/16777216 -930752200625/16777216
2676370880625/16777216 -5167828144375/33554432 1264681965625/8388608 556105444375/33554432
501403118125/2097152 -2948790365625/16777216 -765922828125/33554432 8115837104375/33554432
-7870729839375/33554432 -670415955625/8388608 -1909922259375/8388608 3633158238125/16777216
3378842179375/33554432 -1413110521875/33554432 -1222258074375/8388608 6808456663125/33554432
-1999959349375/33554432 2984878121875/16777216 1360026549375/8388608 -4541453548125/33554432
2523932165625/33554432 -8033183559375/33554432 2856952060625/33554432 5016272259375/33554432
3283570103125/16777216 -2944920054375/33554432 999649275625/16777216 7821599573125/33554432
-6536018100625/33554432 -1428240458125/16777216 -267192420625/16777216 -1082962180625/33554432
2460690334375/16777216 7683895139375/33554432 892888075625/33554432 -636672359375/16777216
3209412204375/16777216 -2039848435625/33554432 -4162951739375/16777216 -3999020975625/33554432
2172344273125/33554432 -1622742298125/16777216 481305800625/33554432 -889750038125/4194304
1705282060625/33554432 -557183550625/8388608 -1555612768125/16777216 3390233380625/33554432
-3051406223125/16777216 8082377216875/33554432 -1047316521875/8388608 -5849457843125/33554432
4968066943125/33554432 -7421792990625/33554432 6762411085625/33554432 -2471706534375/16777216
-7672726400625/33554432 -3768301184375/33554432 -737922940625/33554432 -558195811875/16777216
-284346034375/16777216 6283449355625/33554432 -594275069375/8388608 1825099420625/8388608
-3097982590625/33554432 6619124110625/33554432 -3519654961875/16777216 -3421027764375/33554432
-8633137800625/33554432 1489682244375/8388608 -991660206875/8388608 409431985625/33554432
1877512121875/16777216 7709922536875/33554432 -2153950361875/33554432 -812068863125/16777216
-1491860930625/8388608 -431725896875/4194304 4026535654375/16777216 -26135159375/8388608
4192671949375/33554432 -628415344375/8388608 4318086426875/33554432 -1603209749375/8388608
-319037444375/4194304 2848285058125/33554432 -837848139375/8388608 1615179548125/8388608
-1397298459375/8388608 -5140930965625/33554432 -3851576405625/33554432 -1875116433125/16777216
-8059563679375/33554432 -1411941984375/8388608 -1642806676875/16777216 1742177474375/16777216
781241589375/33554432 1610909990625/8388608 4115885986875/33554432 4204248904375/16777216
-7604894903125/33554432 -8250468240625/33554432 -3314493723125/33554432 -204788601875/8388608
1425776633125/8388608 4905089531875/33554432 5053434936875/33554432 -3441515601875/16777216
7171852845625/33554432 6784689055625/33554432 -226765183125/33554432 -5656893376875/33554432
5025911466875/33554432 -1506540676875/16777216 -2851876048125/16777216 -140728193125/2097152
1597408905625/33554432 -8657926558125/33554432 -713752333125/8388608 -4760519456875/33554432
-3342942110625/16777216 -1467034001875/8388608 3180844265625/33554432 3477867518125/16777216
-6906992698125/33554432 -5429374071875/33554432 -1432097476875/8388608 1914403294375/16777216
4577998628125/33554432 1602463809375/16777216 -5446086920625/33554432 536446421875/4194304
599174038125/16777216 -7192994826875/33554432 7780816606875/33554432 3204325970625/16777216
-2611660374375/33554432 3679867286875/33554432 -5445368280625/33554432 -3524176394375/16777216
-4048479378125/33554432 2483699538125/16777216 7677991254375/33554432 -160323434375/1048576
-305397876875/16777216 -254453980625/33554432 -3782184404375/33554432 -2414827520625/33554432
2839445009375/16777216 4515371160625/33554432 -8275533215625/33554432 5565195195625/33554432
-566029530625/16777216 224754294375/4194304 795950195625/8388608 2100066044375/8388608
3449173300625/16777216 -1775934086875/33554432 -513478395625/33554432 940818068125/4194304
13400781875/131072 -40883253125/1048576 1158541759375/16777216 -2787800039375/16777216
2535480325625/16777216 -2458144479375/33554432 45089533125/524288 1009161213125/8388608
-609047424375/8388608 2063327849375/33554432 -79918450625/524288 -6192905899375/33554432
-4973456986875/33554432 3013371911875/33554432 3984907330625/33554432 5939422214375/33554432
3419727683125/33554432 1580316034375/8388608 -7690823148125/33554432 3540292721875/33554432
4147220959375/16777216 1077206690625/8388608 6957399499375/33554432 156386449375/4194304
-3332982176875/16777216 5967416771875/33554432 -1146711889375/33554432 6059138206875/33554432
-234236526875/16777216 5238720865625/33554432 117996799375/2097152 -3626442324375/33554432
-4262090925625/16777216 -8181886269375/33554432 -1259250630625/16777216 -1256674176875/8388608
1205670366875/33554432 3216770984375/16777216 -920815926875/16777216 -44902105625/262144
-4698592315625/33554432 4668942695625/33554432 -681873619375/16777216 6223358724375/33554432
1400824059375/16777216 -7899245843125/33554432 255330440625/16777216 1086241511875/33554432
8231567166875/33554432 -2660570420625/33554432 947617571875/4194304 6532070065625/33554432
-663489994375/16777216 -115572786875/16777216 1595232413125/33554432 -5582595451875/33554432
-1602030925625/16777216 5771641013125/33554432 8135133183125/33554432 48758506875/2097152
-288870798125/8388608 -1613914956875/8388608 3998169621875/33554432 587310595625/33554432
-6780211351875/33554432 2100131304375/8388608 2057795293125/16777216 -1514865665625/16777216
5908624678125/33554432 -1777044806875/33554432 -15234269375/65536 4965087391875/33554432
3492728500625/33554432 -326839101875/4194304 765069053125/4194304 2325104169375/33554432
-1768213711875/16777216 -619347681875/4194304 -4615032215625/33554432 -373612338125/4194304
1735230729375/16777216 258317255625/2097152 -6625577164375/33554432 1104997895625/16777216
351999236875/16777216 -1398063476875/8388608 3114920680625/33554432 -1445121071875/16777216
-361691906875/16777216 -2556474984375/16777216 7697157820625/33554432 6149343078125/33554432
-8451561275625/33554432 2609960656875/16777216 -1365821559375/33554432 -3008244874375/33554432
1372045780625/33554432 -212700466875/4194304 -3104795711875/33554432 1182602484375/16777216
-7405681196875/33554432 -509990073125/8388608 1373279375/32768 927458000625/8388608
3476026929375/16777216 -157489353125/33554432 -5604174379375/33554432 3697683201875/33554432
3253394990625/33554432 -206865741875/4194304 -1874554995625/33554432 -228426501875/8388608
-355284239375/4194304 -1418104179375/8388608 -5650818623125/33554432 2687437390625/16777216
-325615704375/8388608 5036882865625/33554432 1100066215625/16777216 -7865758444375/33554432
5620431545625/33554432 6140537008125/33554432 -4314870356875/33554432 -284248631875/16777216
6924035519375/33554432 282618318125/4194304 913610416875/4194304 -3791659925625/16777216
5420967946875/33554432 1029218490625/16777216 -162125023125/8388608 115991191875/524288
-4131312339375/16777216 -69341683125/1048576 1304797560625/33554432 3403922998125/33554432
-657853714375/33554432 488671259375/33554432 -3142057319375/33554432 -8433625663125/33554432
6400965260625/33554432 8389502850625/33554432 8097957603125/33554432 6905264591875/33554432
1171432949375/16777216 539927041875/2097152 1191883038125/33554432 -1995601245625/16777216
-215374469375/16777216 3326621569375/33554432 -1564610393125/8388608 336620838125/33554432
-2894490356875/16777216 -7633127198125/33554432 1373573719375/8388608 4031454691875/33554432
-138931528125/4194304 1075031595625/4194304 2083461420625/16777216 2972227269375/16777216
-1258429014375/16777216 5111886869375/33554432 -231231398125/8388608 -8213557665625/33554432
8494250594375/33554432 8113191490625/33554432 6639104931875/33554432 7428044073125/33554432
-4416832086875/33554432 44983095625/524288 -2607923751875/33554432 8079484538125/33554432
-3221814431875/16777216 3143342271875/33554432 -1710366815625/33554432 2260447271875/33554432
-457789921875/2097152 7606949943125/33554432 -1596806826875/16777216 -7174258381875/33554432
-6256545888125/33554432 7677736893125/33554432 -2039004833125/16777216 6222718636875/33554432
-941079660625/8388608 -6725640406875/33554432 -5324303050625/33554432 -8564343555625/33554432
-3003128448125/33554432 -2433836153125/16777216 1892130865625/16777216 -2834349350625/33554432
-3246390688125/16777216 182319548125/2097152 -351592515625/4194304 2847405396875/16777216
918367669375/33554432 -3716738000625/16777216 -1347853300625/33554432 5140954706875/33554432
-4206496799375/33554432 -1582828186875/8388608 -8378462746875/33554432 -9194404375/16777216
874790678125/8388608 -2163127110625/33554432 6724153856875/33554432 3759919905625/16777216
-1044638343125/8388608 -1125869541875/33554432 7687065595625/33554432 2425183921875/33554432
1265973596875/8388608 99191389375/16777216 -971523028125/16777216 2097429676875/16777216
-3828018943125/33554432 -1632021795625/33554432 2492260249375/16777216 -297000949375/4194304
227770294375/4194304 -5956964300625/33554432 -96955584375/524288 -5366740396875/33554432
-3312872493125/16777216 -13875281875/1048576 3082010368125/33554432 6587020334375/33554432
-5736576340625/33554432 -7230701830625/33554432 -1971854178125/16777216 1512281818125/16777216
-1632857451875/16777216 2750947606875/16777216 8051163631875/33554432 263865493125/8388608
6697374523125/33554432 -3821497054375/33554432 -2331621540625/16777216 -7504730601875/33554432
-6930617484375/33554432 -2776900286875/16777216 2293132668125/16777216 -5092504763125/33554432
6114842134375/33554432 1952217011875/8388608 28494383125/131072 -1065114626875/33554432
-2318329284375/16777216 602617754375/33554432 -8553929531875/33554432 -1287912201875/33554432
2531478194375/33554432 -34151186875/4194304 -4487368770625/33554432 -8492179044375/33554432
-21791111875/524288 4317268125625/16777216 3800482798125/16777216 -1460072583125/8388608
4125416010625/16777216 1715133948125/8388608 -437140721875/8388608 427776318125/4194304
141448425625/8388608 3700841308125/33554432 -859526500625/16777216 4712753605625/33554432
1627920230625/8388608 1101260395625/16777216 -1062516105625/16777216 967267461875/33554432
-7544652610625/33554432 -1558058263125/16777216 -4262214003125/33554432 98017846875/2097152
-684286841875/33554432 1421669673125/16777216 3555000661875/33554432 371567291875/2097152
-1000458298125/8388608 1076639273125/33554432 1549197365625/33554432 -1728947878125/33554432
-3383965528125/33554432 1893322331875/8388608 -9053484375/524288 1828828064375/33554432
-4116724064375/33554432 -946507420625/8388608 -1582492998125/8388608 2068146104375/33554432
-2021728986875/16777216 -4324812399375/16777216 3968595791875/33554432 -7936443848125/33554432
-5318763441875/33554432 -1572580579375/8388608 84064816875/2097152 1724187538125/33554432
3526696883125/33554432 2030357671875/16777216 -492104786875/16777216 4266037189375/16777216
-3075415614375/16777216 886772631875/8388608 -900868986875/33554432 4270787958125/33554432
488941383125/8388608 1907431215625/16777216 -1359083269375/16777216 -7692436236875/33554432
-168401016875/4194304 -1646719611875/33554432 -5041504414375/33554432 7058962600625/33554432
208208674375/33554432 5472791488125/33554432 -6259214056875/33554432 -476591626875/2097152
519479959375/16777216 1027461540625/4194304 -4863756226875/33554432 -3858757995625/16777216
4388848676875/33554432 762984454375/4194304 -3202733096875/16777216 425841381875/16777216
668511504375/33554432 -3386297370625/33554432 -4357252160625/33554432 -2401171589375/33554432
3995290056875/16777216 -8339471733125/33554432 -3050737616875/33554432 -8353191624375/33554432
-3510491619375/16777216 -4237908569375/33554432 354443285625/16777216 3651660780625/16777216
-3359775241875/33554432 -5160180374375/33554432 -2318396965625/33554432 1542329676875/8388608
458664155625/8388608 99625573125/1048576 8233087679375/33554432 6308423038125/33554432
970742881875/16777216 -5284269680625/33554432 3555499991875/33554432 -1009197856875/8388608
4029707361875/33554432 -3157583284375/16777216 2428706873125/16777216 7107157841875/33554432
769712198125/4194304 -3297697463125/16777216 2495291914375/33554432 -761350971875/33554432
-8385742698125/33554432 7446377160625/33554432 2119068258125/33554432 -3199914826875/33554432
1705419844375/16777216 3452266634375/16777216 -319808393125/4194304 -5991669604375/33554432
577413305625/8388608 -905943374375/4194304 1883929311875/16777216 3510377203125/33554432
366986091875/16777216 -604606364375/16777216 2901303250625/16777216 161487291875/8388608
5014254919375/33554432 130409508125/33554432 2246890221875/16777216 493736254375/2097152
149735763125/16777216 8012779295625/33554432 -2882039054375/33554432 3701602328125/16777216
7638313369375/33554432 1597427251875/33554432 -467698505625/33554432 -164598484375/16777216
5916314145625/33554432 -396740605625/8388608 1769294336875/33554432 -486702555625/2097152
-6163556303125/33554432 4011349655625/16777216 509877980625/8388608 288154075625/2097152
1508069021875/33554432 741352080625/33554432 4120885526875/16777216 -3160376350625/16777216
-1023974144375/16777216 -7630944254375/33554432 4478199513125/33554432 -2754900468125/33554432
3794552978125/16777216 7938768410625/33554432 -4539870538125/33554432 -615189306875/4194304
1969043334375/8388608 690835510625/8388608 -920507371875/8388608 -3196671635625/16777216
-828494850625/4194304 -109435811875/1048576 -4151455059375/16777216 2500705650625/33554432
2532571851875/33554432 -8626890276875/33554432 4105328085625/16777216 3085075215625/16777216
-5863844569375/33554432 391985758125/8388608 4303043671875/33554432 -2815406059375/33554432
-2291397736875/33554432 1589328544375/8388608 7756469345625/33554432 -39322001875/4194304
793827198125/8388608 62128421875/1048576 426973194375/33554432 -2019006721875/33554432
-4902253809375/33554432 4074208035625/33554432 -682134058125/16777216 -4844093466875/33554432
1073854396875/16777216 -8236601465625/33554432 1689616491875/16777216 -6064886043125/33554432
711883680625/8388608 -2759536853125/16777216 5837590468125/33554432 165782768125/33554432
1549541979375/16777216 2939887803125/33554432 -6393721546875/33554432 3785361246875/33554432
-4989635096875/33554432 453693995625/4194304 -778552978125/16777216 -3635465624375/33554432
-4771869285625/33554432 -1851740678125/33554432 -864985720625/4194304 -3899634805625/33554432
1158972205625/16777216 5580015228125/33554432 -309892090625/33554432 7375583109375/33554432
-4238071313125/33554432 -1399770279375/16777216 -1683099803125/8388608 -111790664375/4194304
-107068219375/524288 8415371729375/33554432 2706874649375/33554432 3785581174375/33554432
1021920664375/33554432 -2215082520625/33554432 -1690684490625/8388608 348370579375/4194304
-7175308749375/33554432 7552778731875/33554432 2593249985625/33554432 -2116847451875/33554432
1530827618125/8388608 -8412423654375/33554432 -476822376875/4194304 -7875547249375/33554432
1975564930625/33554432 -2133110208125/8388608 -690154099375/33554432 3733081909375/16777216
-3513446828125/16777216 -599272171875/4194304 -3691093176875/33554432 -5072112686875/33554432
-6964642953125/33554432 -6521937329375/33554432 -152307228125/16777216 779411026875/33554432
-246799743125/1048576 -4070926266875/16777216 -2933446010625/16777216 1692049506875/16777216
4113850040625/16777216 -212686800625/16777216 420305380625/16777216 289583523125/2097152
1116726235625/16777216 -3949941344375/33554432 5860088836875/33554432 -75556138125/8388608
-4085180929375/16777216 1404315436875/16777216 8464374888125/33554432 399192031875/33554432
2423286539375/16777216 -4001404769375/16777216 6743450049375/33554432 -302479230625/4194304
90082468125/4194304 5704078518125/33554432 3488960499375/33554432 2771697118125/16777216
7469459375625/33554432 2563103781875/16777216 -1890229713125/16777216 1287257196875/8388608
-204244811875/1048576 821478978125/33554432 4329996783125/33554432 -511564535625/4194304
4898116429375/33554432 -3705722694375/16777216 710576628125/8388608 -1989077585625/33554432
-6918740668125/33554432 -239806929375/1048576 1588987895625/33554432 -3428204398125/33554432
-3984786186875/16777216 4598222305625/33554432 -3174246245625/33554432 2641287715625/33554432
-7534002100625/33554432 -2041319515625/16777216 -7290943213125/33554432 380741229375/2097152
-8123567034375/33554432 1624619319375/33554432 2069011741875/8388608 -6143218826875/33554432
-1387385065625/8388608 7203545415625/33554432 776405979375/16777216 3995548789375/33554432
2893229470625/33554432 -3689410050625/33554432 3738818760625/16777216 -1635258226875/33554432
8225805046875/33554432 2464179160625/33554432 -2582475650625/33554432 -140383416875/4194304
-2194798295625/16777216 -2962041850625/33554432 -2169036488125/16777216 -3165872669375/16777216
-632575344375/33554432 -3570671235625/33554432 -6964957650625/33554432 -114977711875/1048576
-2343099451875/16777216 -3747071501875/33554432 360983260625/4194304 2942460746875/16777216
-3468875109375/16777216 -2076303929375/33554432 2681765344375/16777216 -4251637154375/33554432
1040062148125/33554432 3750160431875/33554432 786001815625/4194304 3934468939375/16777216
14239753125/16777216 -566617813125/16777216 -249708281875/33554432 4142714493125/16777216
-1366664674375/16777216 4759526793125/33554432 -2724789071875/33554432 -2454600598125/16777216
3352637608125/16777216 -5792962573125/33554432 1270174368125/16777216 813504436875/4194304
-4340241741875/33554432 883074196875/16777216 -5854400638125/33554432 -411147481875/2097152
2483826385625/16777216 -2106043070625/8388608 2830338688125/16777216 -450863148125/8388608
8406196800625/33554432 -49781444375/33554432 116992630625/2097152 788901189375/4194304
89773571875/1048576 7932017819375/33554432 3481644148125/33554432 -6592770640625/33554432
1355614154375/33554432 3745288015625/33554432 -7143209328125/33554432 -1356216444375/33554432
-286224745625/8388608 2538124363125/33554432 -5647710046875/33554432 -1687401356875/16777216
2208199946875/33554432 -5701473090625/33554432 -2785647239375/16777216 -3913430048125/33554432
8422640078125/33554432 -17181896875/524288 -4886796663125/33554432 -229479680625/4194304
1723053873125/33554432 -223735094375/1048576 3631427954375/33554432 4178586758125/33554432
1678572715625/16777216 -3363421546875/33554432 1246750561875/33554432 128052884375/8388608
3367677064375/16777216 8386414976875/33554432 -1915323401875/8388608 -213596118125/8388608
-2086029603125/8388608 508515158125/8388608 3800565689375/16777216 -3685120099375/16777216
-3899554953125/33554432 -59651938125/16777216 34629586875/2097152 -2367627559375/16777216
-4469814375/524288 -1644877430625/16777216 -3443490448125/16777216 -2714928263125/33554432
-219246941875/8388608 1564802646875/16777216 -3795338844375/16777216 503666759375/8388608
-7398179465625/33554432 -8537169444375/33554432 -1517551563125/8388608 3771393169375/16777216
7523850806875/33554432 8226818933125/33554432 -784823609375/8388608 -2550238738125/33554432
-1625607644375/8388608 -323036195625/16777216 -2820011975625/33554432 -6275017246875/33554432
-6312405181875/33554432 -1469485184375/33554432 2465445506875/16777216 71786495625/16777216
2914890931875/33554432 630185375625/33554432 -437270104375/4194304 1122668373125/8388608
-83975604375/4194304 2816226131875/16777216 4683842856875/33554432 -4615972879375/33554432
-2558111603125/16777216 -3143884176875/16777216 4166264756875/16777216 -4677092509375/33554432
-102742225625/8388608 1075311046875/33554432 5017968580625/33554432 -3494571445625/16777216
3302130268125/16777216 -771824243125/33554432 -3633751753125/33554432 1814421756875/16777216
-211467758125/16777216 -3709134316875/16777216 -1538234563125/33554432 793382256875/33554432
-3022773479375/16777216 735278188125/33554432 2129562930625/16777216 3775717570625/16777216
345456011875/16777216 -1199651594375/16777216 1461020608125/16777216 -7006074473125/33554432
-8620369964375/33554432 -6222885686875/33554432 91304175625/8388608 4243162356875/16777216
2177095545625/33554432 631144856875/33554432 2081917784375/8388608 128409003125/16777216
4086278113125/33554432 4960188796875/33554432 601562235625/8388608 -2970277643125/16777216
2416486158125/16777216 -2415067728125/33554432 553279796875/4194304 6750418666875/33554432
-2462466573125/16777216 6539248373125/33554432 92034174375/16777216 -3469238085625/16777216
7675569549375/33554432 -484020460625/4194304 -3708651643125/16777216 1938127969375/16777216
5343553141875/33554432 4839353959375/33554432 1777140486875/16777216 6026242080625/33554432
-1820193496875/8388608 -6927183128125/33554432 -7128571084375/33554432 -8305859371875/33554432
-7828677926875/33554432 -7730880625/4194304 -217341954375/4194304 -2031108730625/33554432
5835915938125/33554432 785313628125/16777216 -2511293581875/16777216 776497125625/16777216
7127828719375/33554432 -402952736875/2097152 -6731370546875/33554432 -6799475369375/33554432
315074573125/33554432 -436639230625/2097152 6988228723125/33554432 861318810625/33554432
3573910981875/33554432 2087616659375/16777216 4511927753125/33554432 4082289095625/33554432
1524759851875/33554432 2213566996875/33554432 -552237099375/8388608 -1146110606875/8388608
7663745643125/33554432 288403496875/4194304 -1636386139375/8388608 -3258869209375/33554432
4697005048125/33554432 -7517643859375/33554432 -518105534375/4194304 -3643403440625/33554432
3315229084375/33554432 -2278492848125/16777216 7484579984375/33554432 2382395949375/33554432
1161205329375/33554432 1962752683125/16777216 26369435625/1048576 3830747383125/16777216
5539455406875/33554432 -1888115571875/33554432 -979938724375/33554432 310270943125/4194304
997569454375/16777216 1561227679375/33554432 2153063924375/16777216 2162957005625/33554432
8021416934375/33554432 -7328192308125/33554432 -64718931875/2097152 7374683233125/33554432
-24989518125/131072 -1743578273125/16777216 -2895238003125/33554432 -6560856875625/33554432
-3555545443125/16777216 -90719630625/33554432 -1049772628125/4194304 2223090504375/33554432
-2723991570625/33554432 -2642739360625/16777216 3270289546875/16777216 3934553845625/16777216
175753443125/4194304 -4335868785625/16777216 -5956300293125/33554432 480987040625/4194304
-7536053890625/33554432 3904412354375/16777216 5184519006875/33554432 -2902205158125/16777216
-631073909375/16777216 -5907726004375/33554432 -250476598125/4194304 3981173844375/33554432
-5300385634375/33554432 -6235510506875/33554432 -277907914375/8388608 1988805073125/8388608
777107605625/4194304 -265004764375/4194304 -7919994200625/33554432 -3470391591875/16777216
-1093343103125/33554432 -1122094845625/33554432 3340215051875/16777216 -3437074216875/33554432
-5010973881875/33554432 8349790694375/33554432 4785952185625/33554432 5256393553125/33554432
-800049648125/16777216 -6639803275625/33554432 -1093433111875/33554432 3847371750625/33554432
2139473691875/8388608 2442317320625/16777216 3239610668125/16777216 -426515204375/2097152
-1929141410625/8388608 -3200367421875/33554432 268859833125/33554432 -383036623125/4194304
1855080898125/16777216 3545720140625/16777216 -2647404573125/33554432 2346216396875/33554432
-855729623125/16777216 6767414070625/33554432 1576163476875/33554432 -135833368125/16777216
-2171701374375/33554432 5640090625/262144 -6363336013125/33554432 862900228125/4194304
-3799252283125/16777216 -377194829375/16777216 6396921821875/33554432 1917266056875/33554432
1044898213125/16777216 113899459375/8388608 -403066194375/16777216 3228754563125/33554432
7064627009375/33554432 -1316156993125/33554432 -258735026875/16777216 -239003301875/16777216
6599093775625/33554432 -2751202569375/16777216 -6238441714375/33554432 722622785625/33554432
628383608125/33554432 396896491875/33554432 2615687140625/16777216 593662314375/4194304
-6899910915625/33554432 -61491389375/16777216 6309981169375/33554432 252742238125/16777216
-406345021875/8388608 1099086438125/16777216 -265057333125/33554432 -702938071875/4194304
490260168125/33554432 -6542405065625/33554432 1798638375625/16777216 -327922895625/16777216
2224114303125/33554432 7367431865625/33554432 1903344340625/8388608 -4730258154375/33554432
7312970039375/33554432 -32146619375/4194304 2806853375625/16777216 -6022145715625/33554432
-4477376255625/33554432 -3851028081875/33554432 -1346082310625/16777216 -6851809371875/33554432
-1962238143125/16777216 28742585625/262144 3270535945625/33554432 -2703712545625/16777216
-5327860191875/33554432 82022825625/33554432 3203901341875/16777216 622952029375/16777216
-3775194921875/33554432 -2783848933125/16777216 1078631149375/16777216 8140008118125/33554432
4488044884375/33554432 1433612041875/33554432 160454620625/16777216 2211433826875/33554432
-1209309294375/33554432 283634836875/33554432 2327165920625/33554432 -1103645034375/16777216
-763707433125/16777216 -486935158125/2097152 -735025435625/33554432 -6795682278125/33554432
2240127735625/33554432 -3914744575625/16777216 -1212341349375/33554432 -4054681158125/16777216
-2275973123125/33554432 276886569375/16777216 3200896521875/16777216 -30769821875/16777216
316942104375/33554432 8377527006875/33554432 -645292318125/16777216 -7287276026875/33554432
-1034840730625/16777216 1536089091875/8388608 1639867799375/16777216 4297460090625/33554432
-4263158908125/33554432 -6528630314375/33554432 1487940910625/16777216 963431990625/16777216
4179164624375/16777216 1952071281875/33554432 -1570379354375/8388608 -2455762749375/33554432
8610729846875/33554432 -3830569039375/16777216 -1798823658125/16777216 2907483239375/33554432
-6351398616875/33554432 8235679863125/33554432 4431899801875/33554432 1652403601875/16777216
-7190124751875/33554432 -241455231875/8388608 -1031935019375/33554432 8714286676875/33554432
776571891875/4194304 8331977249375/33554432 4621120326875/33554432 -6605135086875/33554432
-1592347729375/8388608 2656741108125/33554432 269043929375/1048576 -93905816875/2097152
5110734565625/33554432 -8698917686875/33554432 7874625581875/33554432 6909455840625/33554432
-641100663125/8388608 4803968739375/33554432 -1310499019375/33554432 58537691875/16777216
-1796213128125/8388608 -2441552904375/33554432 -2538098005625/33554432 -4562265215625/33554432
5220261889375/33554432 -5749013798125/33554432 1403378543125/16777216 6643564451875/33554432
18353928125/131072 -3263269741875/33554432 3235134394375/16777216 918060186875/8388608
2550438613125/16777216 -1439877976875/33554432 8086383085625/33554432 -8289856794375/33554432
2171596171875/33554432 636870495625/4194304 -6802076783125/33554432 3502228510625/33554432
-5622405546875/33554432 -7392082514375/33554432 4120844885625/16777216 3526962814375/16777216
-253060120625/1048576 -1153961176875/8388608 -1620843778125/33554432 -250016170625/33554432
