2400
-1206761799375/8388608 -896877151875/4194304 200911951875/8388608 145486074375/4194304
469135201875/2097152 -60919940625/2097152 -1521075024375/8388608 925460623125/4194304
-48383900625/262144 -387813785625/4194304 465580966875/4194304 537067880625/8388608
939852313125/4194304 -688420846875/4194304 1110546294375/8388608 526005133125/8388608
-517250446875/4194304 1233717133125/8388608 432851626875/4194304 -910930786875/4194304
211144704375/1048576 -57682359375/8388608 211076311875/1048576 -30476581875/1048576
1673692801875/8388608 69592974375/4194304 -968380921875/4194304 370373544375/4194304
622100533125/4194304 280909921875/2097152 549580449375/4194304 -24793546875/524288
-126504039375/2097152 -1964704498125/8388608 859785136875/8388608 261675080625/4194304
-462592378125/2097152 -32376804375/2097152 1722138526875/8388608 87466951875/2097152
205734485625/1048576 371011119375/8388608 -1447889821875/8388608 -73332740625/524288
-1884789474375/8388608 -336121123125/4194304 795111691875/8388608 372793021875/2097152
507718543125/8388608 632570818125/8388608 -471672005625/4194304 -1515735215625/8388608
21567834375/4194304 -202712533125/1048576 545824959375/8388608 -157070446875/4194304
37956736875/4194304 408000466875/4194304 51810054375/1048576 -48358483125/524288
59845183125/2097152 -62640646875/524288 1409753383125/8388608 -190680436875/1048576
-1102882820625/8388608 487519738125/8388608 -28316750625/2097152 1369598259375/8388608
294342016875/2097152 -207319933125/8388608 59495401875/4194304 240501841875/2097152
46430375625/262144 493632384375/4194304 700205686875/8388608 491406095625/8388608
-352319878125/8388608 -1717409653125/8388608 -268579929375/8388608 213741103125/8388608
-965743295625/8388608 -432398004375/8388608 -471450001875/2097152 47244328125/2097152
-471388074375/2097152 -39973213125/8388608 388689616875/8388608 147379921875/1048576
-174420080625/2097152 1496690435625/8388608 -50691245625/1048576 108063421875/1048576
-788113655625/8388608 -913488331875/8388608 688012633125/4194304 225952670625/8388608
-826332294375/4194304 738207774375/8388608 -914246210625/4194304 223508551875/8388608
-206246731875/4194304 43856255625/524288 -8574354375/262144 -258101908125/4194304
-164700125625/8388608 463555588125/2097152 106709293125/524288 197948105625/2097152
-4342685625/65536 627237009375/8388608 -13399715625/524288 178851369375/2097152
-64383358125/8388608 90108328125/2097152 -90764401875/8388608 27761289375/2097152
-994329061875/8388608 -1148857618125/8388608 422096428125/8388608 -768781876875/8388608
228389398125/4194304 -1301693878125/8388608 76277983125/524288 -20284524375/262144
71803048125/8388608 -190772705625/8388608 690688978125/8388608 497823549375/2097152
505913364375/8388608 -1812482649375/8388608 -1491876796875/8388608 -879528001875/8388608
-665101483125/4194304 -449782891875/8388608 -397131440625/8388608 493167890625/4194304
970071425625/8388608 617722359375/8388608 -30457246875/524288 873436981875/8388608
-11921949375/2097152 -612158979375/8388608 191764640625/2097152 803172095625/8388608
-179545036875/1048576 1212567106875/8388608 541740946875/8388608 968767370625/4194304
196393389375/8388608 -243138920625/1048576 946649011875/4194304 -5546188125/2097152
719972844375/8388608 -769435029375/4194304 -269935741875/4194304 838045899375/4194304
-480550936875/4194304 -1149665030625/8388608 -332562778125/8388608 -1332236124375/8388608
-3569266875/32768 101711390625/2097152 -510959758125/8388608 1188464638125/8388608
-60236840625/8388608 -100846621875/1048576 -79097593125/4194304 226178465625/8388608
753918691875/4194304 1049216761875/8388608 -256504438125/2097152 1374123264375/8388608
-1539777504375/8388608 -576271850625/8388608 73926688125/524288 1384531786875/8388608
-211154701875/1048576 266020351875/2097152 -661937180625/4194304 70381528125/524288
457096745625/2097152 -80498904375/8388608 -1300049746875/8388608 1834738479375/8388608
-127263763125/4194304 -508117528125/8388608 622627318125/8388608 -433392429375/2097152
743487388125/4194304 46354929375/524288 118242088125/524288 931578999375/4194304
-28295600625/524288 68645416875/1048576 286879235625/2097152 790654681875/8388608
1647808561875/8388608 2018203125/131072 -197845025625/2097152 196968894375/4194304
-367885753125/8388608 -557975439375/8388608 -32211658125/524288 -397813194375/4194304
424588396875/4194304 140231120625/8388608 -1996691694375/8388608 -95490061875/2097152
198898100625/4194304 -1592301103125/8388608 -876848401875/8388608 -210783883125/1048576
1569742104375/8388608 -1083867553125/8388608 383166751875/8388608 -217027828125/8388608
-1063088698125/8388608 -1025385984375/8388608 -159522046875/8388608 582298164375/8388608
-910352503125/8388608 58142870625/262144 -89393274375/2097152 -132740326875/4194304
955821796875/4194304 -1173000654375/8388608 -1217627724375/8388608 -125290715625/8388608
506353381875/4194304 464599423125/4194304 616524181875/4194304 -2003399690625/8388608
132484134375/8388608 -152864259375/2097152 -227611066875/4194304 -1904144450625/8388608
158603656875/2097152 -1033239043125/8388608 -15975819375/2097152 1458013280625/8388608
-465662503125/2097152 1870606434375/8388608 -55375363125/8388608 95944048125/2097152
184977954375/4194304 -1193585229375/8388608 975394134375/8388608 279349940625/8388608
-493103281875/8388608 -1932537931875/8388608 -1367911891875/8388608 1727753263125/8388608
1305089154375/8388608 -811233886875/8388608 -1933697364375/8388608 51843853125/262144
340731076875/4194304 -1065674450625/8388608 101575115625/4194304 1985487080625/8388608
-166256173125/2097152 -904118083125/8388608 422979830625/2097152 241197766875/1048576
-21967636875/4194304 190693633125/2097152 -47958733125/4194304 -64153486875/8388608
-904977871875/8388608 46323024375/524288 -789316663125/4194304 327430486875/4194304
-1760009098125/8388608 -64311511875/8388608 11517586875/131072 -2000288619375/8388608
-283351524375/2097152 -1799520436875/8388608 -1637600015625/8388608 -280410058125/2097152
806409811875/8388608 494076965625/4194304 -1064211913125/8388608 -292528265625/8388608
333299353125/2097152 235307345625/1048576 -1115738990625/8388608 -795216211875/8388608
456900373125/2097152 -1607426581875/8388608 1528746680625/8388608 -1223642574375/8388608
-1696798258125/8388608 96230495625/8388608 41204784375/1048576 55631859375/4194304
-1526044021875/8388608 -395253646875/8388608 -5633908125/65536 -13567816875/8388608
-1661585308125/8388608 168695964375/2097152 -1215545409375/8388608 -798548821875/8388608
-7052334375/8388608 -734662610625/8388608 42345579375/262144 1487928466875/8388608
-411612313125/4194304 -1369672321875/8388608 320091309375/4194304 666849196875/4194304
-489268794375/4194304 681533934375/4194304 202531921875/1048576 -324921058125/2097152
-617004624375/4194304 346845511875/4194304 1984302234375/8388608 402177211875/2097152
828144924375/8388608 -1632282781875/8388608 1179439914375/8388608 -1959413626875/8388608
-901945996875/4194304 940103094375/8388608 -440694088125/8388608 901861284375/4194304
-866467850625/4194304 80811849375/1048576 6680480625/524288 -263562864375/8388608
-49974725625/2097152 -296100871875/2097152 94498239375/1048576 1360554500625/8388608
-90451303125/8388608 -119328549375/2097152 -352969786875/8388608 -1023146593125/8388608
93688423125/2097152 540410593125/4194304 168682918125/8388608 -1337829166875/8388608
20644509375/4194304 624881941875/8388608 34069618125/8388608 567909429375/8388608
-685728455625/8388608 -49751053125/262144 -1615276348125/8388608 1560718565625/8388608
1995837538125/8388608 -44884318125/1048576 1398347885625/8388608 -851802755625/4194304
470125745625/2097152 1142957510625/8388608 316233091875/4194304 -1802211320625/8388608
-50113861875/1048576 101345214375/4194304 -42425334375/2097152 511458695625/8388608
-300185563125/4194304 -110056513125/8388608 1964605779375/8388608 -941295598125/8388608
-138219564375/4194304 1114381775625/8388608 -72006931875/524288 570039733125/4194304
863163984375/8388608 151716691875/2097152 -181702715625/4194304 443543589375/2097152
525655051875/8388608 339212461875/8388608 309782221875/2097152 -988842579375/4194304
-235129921875/2097152 159059645625/1048576 -804478468125/8388608 -262119283125/4194304
328144524375/4194304 32571639375/1048576 274124420625/4194304 35108664375/2097152
563343995625/8388608 -1820305858125/8388608 -934158005625/4194304 1268095644375/8388608
-84514768125/8388608 553711876875/4194304 882247696875/8388608 -1945526259375/8388608
764735300625/8388608 183784138125/4194304 -461778804375/8388608 -317354476875/2097152
1508699011875/8388608 -159815176875/2097152 11456443125/1048576 66624320625/4194304
453328869375/8388608 -433614943125/4194304 -773344906875/8388608 524578179375/8388608
-470129150625/8388608 -148543948125/4194304 -333676640625/8388608 -791369251875/8388608
-1579462959375/8388608 1394404756875/8388608 1942791425625/8388608 -701158648125/4194304
377195625/32768 1870620144375/8388608 120727850625/8388608 -1416662746875/8388608
8206700625/65536 58635174375/524288 -761485644375/8388608 1132684884375/8388608
765482788125/8388608 -72206098125/524288 191024499375/4194304 -2001491596875/8388608
241727836875/4194304 -131708420625/2097152 -412642584375/2097152 1875824026875/8388608
-1264293268125/8388608 79980020625/4194304 -142558944375/8388608 476999409375/4194304
1756921175625/8388608 195751055625/1048576 -138199588125/8388608 1782951748125/8388608
990820239375/8388608 1042909629375/8388608 876123748125/8388608 967206823125/4194304
-136164350625/1048576 185417821875/4194304 1658100841875/8388608 638805688125/8388608
-1328677149375/8388608 -1988249589375/8388608 50873859375/262144 -101040185625/1048576
-128302828125/2097152 961808855625/8388608 -987400734375/4194304 796267261875/4194304
-1510246134375/8388608 98050130625/8388608 374200610625/8388608 -1622325365625/8388608
-78474375/1048576 24667126875/4194304 -404274541875/2097152 -1354930164375/8388608
65719363125/4194304 -186758653125/4194304 -435305383125/4194304 1054429520625/8388608
1292424375/65536 128008355625/1048576 234420448125/2097152 1986954834375/8388608
1217481429375/8388608 375291924375/4194304 -685013784375/4194304 538981861875/4194304
-327317199375/8388608 -633928411875/4194304 402080484375/4194304 -485068336875/4194304
-706927670625/4194304 -244155410625/8388608 -347587741875/4194304 582371656875/4194304
1076999919375/8388608 13544139375/524288 -467867630625/8388608 -18068536875/2097152
282711399375/4194304 -1682234304375/8388608 1236054991875/8388608 -211944744375/8388608
556962744375/4194304 -122447960625/524288 663886816875/4194304 -343394349375/2097152
317023243125/2097152 -243813136875/1048576 907508510625/8388608 1865923625625/8388608
379685788125/4194304 -341812509375/2097152 -1944644866875/8388608 1135791755625/8388608
442549483125/8388608 621655430625/4194304 -57247535625/1048576 -829670019375/8388608
1209807414375/8388608 -1260676464375/8388608 -258805764375/2097152 1670281880625/8388608
1676743051875/8388608 776529958125/4194304 136568386875/4194304 -53031774375/524288
308577219375/8388608 874546381875/4194304 795979764375/4194304 922138104375/4194304
450860844375/4194304 -89080393125/1048576 -718159764375/4194304 -82127814375/4194304
436557815625/8388608 -11226628125/131072 -1838388335625/8388608 -866243109375/4194304
1884246620625/8388608 -241453085625/8388608 1953952524375/8388608 232353909375/4194304
-433641140625/8388608 269724748125/2097152 36254379375/1048576 467154481875/4194304
150578263125/2097152 -103622750625/4194304 1143776075625/8388608 212277605625/4194304
1073036000625/8388608 780790520625/8388608 1289330769375/8388608 -26036915625/2097152
-106938005625/1048576 -929278044375/8388608 -2433436875/65536 -1804262465625/8388608
262278965625/4194304 -1653693155625/8388608 417527135625/4194304 -270706715625/8388608
-500865279375/8388608 -1314348451875/8388608 62817594375/4194304 347971651875/4194304
-438886884375/4194304 241299425625/8388608 167915503125/1048576 880958983125/8388608
-1302048444375/8388608 -168186373125/8388608 410128880625/4194304 -1345770144375/8388608
-1803443120625/8388608 453067370625/4194304 -1116040239375/8388608 -957897118125/4194304
-1561664574375/8388608 -1584894916875/8388608 -944009701875/4194304 479226440625/2097152
-1027532484375/8388608 974639004375/4194304 809078158125/8388608 -1729290841875/8388608
-295747093125/2097152 101269858125/4194304 -498399286875/4194304 120794240625/524288
470926280625/4194304 314554554375/2097152 1159995778125/8388608 751646394375/8388608
1007895624375/8388608 143438690625/8388608 -1756186175625/8388608 937953635625/8388608
-31945636875/4194304 -50256811875/4194304 192803480625/8388608 1927640480625/8388608
107875569375/8388608 -35266768125/262144 -1042272849375/8388608 886641579375/4194304
460454158125/2097152 20543338125/131072 187283533125/4194304 -673414209375/4194304
187132891875/2097152 1279668429375/8388608 405761060625/2097152 -2129694375/131072
84152371875/8388608 495756339375/8388608 -1863536881875/8388608 1961007744375/8388608
-2513319375/2097152 4560024375/262144 1015102321875/8388608 -224016361875/4194304
1257510924375/8388608 -3808374375/524288 -1647991295625/8388608 -99375770625/524288
161936713125/4194304 94216738125/524288 11509603125/262144 54040051875/524288
-272595954375/2097152 1846030711875/8388608 -116679373125/1048576 -839730493125/4194304
-339105519375/4194304 1530383255625/8388608 1967155220625/8388608 -1877802481875/8388608
-309709231875/8388608 1666364731875/8388608 -1473609478125/8388608 385120816875/4194304
652813655625/8388608 44831184375/4194304 -891946453125/4194304 -42673415625/8388608
-220852655625/8388608 -29819334375/4194304 -66371124375/8388608 1979396315625/8388608
1430034718125/8388608 688432171875/8388608 747833068125/4194304 580783831875/4194304
875752464375/4194304 -413620093125/2097152 767658425625/4194304 1920740131875/8388608
-283366891875/8388608 1115742290625/8388608 467305835625/8388608 -1014318961875/8388608
989883515625/8388608 799305793125/4194304 -928551425625/4194304 2981758125/524288
1366010668125/8388608 401609424375/4194304 920054893125/8388608 -46257103125/8388608
-973624205625/8388608 -790275586875/8388608 -264262123125/2097152 -1573027078125/8388608
-845863944375/4194304 506279833125/4194304 842556515625/8388608 -302133095625/2097152
-535895480625/4194304 -276673978125/8388608 -374889928125/8388608 46458703125/2097152
323261109375/4194304 178259668125/4194304 1773789913125/8388608 1027986125625/8388608
190952165625/8388608 -144905765625/2097152 288158746875/4194304 -700904559375/4194304
108123380625/2097152 418113271875/2097152 -2769005625/65536 155596768125/1048576
187497703125/1048576 270030905625/2097152 -45199381875/524288 680099866875/4194304
-1024224493125/8388608 -69587926875/1048576 -852117635625/4194304 122100328125/524288
1825739919375/8388608 -471450425625/8388608 447780121875/2097152 -349771464375/2097152
-216200874375/2097152 777052351875/4194304 -1698492913125/8388608 1261250720625/8388608
-308076200625/2097152 -153177151875/4194304 885332795625/8388608 -249285860625/8388608
-720720691875/8388608 694597100625/4194304 222556183125/1048576 -26833044375/1048576
1177359815625/8388608 777986668125/4194304 -1633322874375/8388608 -236104258125/4194304
-798097816875/4194304 -1354152339375/8388608 -757708231875/4194304 -550558063125/4194304
41714461875/8388608 1250889538125/8388608 -1230013625625/8388608 -70114546875/2097152
1612446384375/8388608 -905368314375/8388608 149827303125/1048576 -380896059375/2097152
-370596811875/8388608 426047214375/8388608 125981525625/1048576 -1545790805625/8388608
186814944375/2097152 1702834003125/8388608 -342227341875/2097152 -1892192746875/8388608
305167280625/8388608 584145624375/8388608 -211508585625/2097152 -887688455625/8388608
314558724375/4194304 62788629375/1048576 27374315625/4194304 241923691875/8388608
-1542550494375/8388608 264831920625/8388608 855571063125/8388608 1075918055625/8388608
-160733206875/1048576 785557603125/8388608 -1339556233125/8388608 759435331875/4194304
-17782704375/524288 1046584288125/8388608 276382370625/4194304 -1215700190625/8388608
-373041148125/4194304 -511921400625/8388608 -802093205625/8388608 1953983799375/8388608
-598281181875/4194304 1940166474375/8388608 910341845625/8388608 28654029375/4194304
8330154375/131072 -1444951254375/8388608 1454196943125/8388608 1925968125/131072
-486880696875/8388608 445218159375/4194304 95450236875/4194304 1877985061875/8388608
-22708400625/1048576 -153254150625/2097152 591400370625/8388608 89272426875/8388608
-321722608125/8388608 158634669375/1048576 1074707195625/8388608 63648058125/4194304
-837481940625/8388608 387753946875/4194304 181910330625/4194304 -1109651270625/8388608
-1118036724375/8388608 -448317279375/2097152 456076726875/4194304 252802025625/8388608
-1844365393125/8388608 -128687690625/4194304 391622855625/2097152 -1690052101875/8388608
-552367933125/8388608 60037565625/524288 728222304375/8388608 313310625/4194304
-920024731875/8388608 -517038114375/4194304 838432284375/8388608 -877260305625/4194304
-47058384375/524288 -219640156875/8388608 -330635930625/4194304 171760524375/4194304
658003606875/8388608 1954986785625/8388608 -152213596875/1048576 -126886138125/4194304
1243251009375/8388608 -1227014109375/8388608 -567261688125/4194304 983067538125/4194304
274400161875/2097152 1547512366875/8388608 -1540658199375/8388608 -893216090625/8388608
-204582808125/8388608 -1702303790625/8388608 888611701875/4194304 269289706875/4194304
901490784375/8388608 -1130414615625/8388608 -630676243125/8388608 582418595625/4194304
-66750706875/524288 -305628856875/2097152 -824427174375/8388608 -95896985625/4194304
355767290625/2097152 -6398188125/4194304 -762500514375/8388608 924043625625/4194304
-67393948125/524288 -296174615625/8388608 -573509469375/4194304 -97191841875/2097152
528980548125/4194304 24077398125/2097152 -1212848791875/8388608 1252878249375/8388608
350105349375/8388608 211596894375/4194304 1813347339375/8388608 1327134219375/8388608
-892609723125/8388608 -290579596875/8388608 -245657034375/8388608 -1061056321875/8388608
-245967279375/1048576 -371831705625/8388608 1037739883125/8388608 -1724751920625/8388608
230234278125/8388608 654117703125/8388608 -310307626875/2097152 -341499984375/8388608
183429815625/8388608 987199876875/4194304 -1367842753125/8388608 1365001640625/8388608
-399047641875/8388608 -1639870531875/8388608 -201633001875/8388608 1727214204375/8388608
-514134691875/4194304 189465185625/1048576 -73829750625/1048576 -111080270625/8388608
460617335625/4194304 -433920489375/8388608 470560505625/8388608 -372245840625/4194304
-333223318125/8388608 589091668125/4194304 319451908125/4194304 -994337653125/4194304
-1088309533125/8388608 957800086875/8388608 188725738125/1048576 1985134516875/8388608
90816373125/4194304 -272015008125/2097152 19547015625/1048576 -391955881875/8388608
-173595178125/1048576 -540148951875/4194304 97789100625/8388608 -152698678125/8388608
1565671445625/8388608 249650645625/4194304 -494506258125/8388608 1735928934375/8388608
143441563125/1048576 -123197735625/2097152 -759916944375/4194304 363859824375/2097152
-765162241875/8388608 -833124226875/8388608 1231405048125/8388608 -1916494276875/8388608
65990255625/2097152 621403685625/4194304 148675925625/4194304 82704571875/524288
610225021875/8388608 -1539941041875/8388608 -702092428125/8388608 -461557445625/4194304
179357540625/8388608 685146965625/8388608 744321736875/4194304 -252138519375/4194304
-1526226193125/8388608 1780951876875/8388608 -474288804375/4194304 131332104375/4194304
-1027972558125/8388608 1748743284375/8388608 -79699389375/8388608 -641873638125/4194304
653571871875/4194304 1771531074375/8388608 1447036104375/8388608 -715127926875/4194304
-1347191165625/8388608 1271541406875/8388608 -879609755625/4194304 1274483341875/8388608
81815401875/8388608 -1719784486875/8388608 -186035266875/4194304 -269487586875/2097152
484926365625/4194304 1501900989375/8388608 -604039869375/4194304 65527441875/524288
281538136875/4194304 -17306173125/2097152 143995738125/4194304 -448678359375/2097152
899815501875/8388608 -1844324626875/8388608 356710951875/2097152 807662971875/4194304
283841004375/2097152 758361271875/8388608 1759330726875/8388608 -516977540625/4194304
718291010625/4194304 313613188125/2097152 45717155625/2097152 43933599375/4194304
-76349611875/4194304 -117887206875/4194304 211469435625/2097152 504779645625/4194304
-191145155625/4194304 -98084281875/8388608 -1100557093125/8388608 555537421875/4194304
-122870649375/2097152 -1478464340625/8388608 339580558125/4194304 -1763066075625/8388608
112422129375/524288 742227980625/4194304 -333594526875/2097152 -1529687146875/8388608
-459580580625/8388608 -1714698789375/8388608 -899651844375/8388608 173006656875/2097152
769427304375/4194304 290685478125/2097152 675923653125/4194304 135319348125/8388608
-89868789375/4194304 108137364375/524288 195869146875/8388608 -884904429375/4194304
267223396875/4194304 218973586875/2097152 128608580625/4194304 -27040475625/8388608
665766328125/4194304 -2797006875/4194304 -1888198239375/8388608 -101327698125/2097152
-108934119375/8388608 122696386875/8388608 -362418253125/8388608 929059295625/8388608
-974476535625/8388608 -386974516875/8388608 1957322596875/8388608 1298514583125/8388608
-104503591875/4194304 468747421875/8388608 210367809375/4194304 -878754879375/4194304
-544835026875/4194304 -1918407268125/8388608 114419878125/1048576 1788103996875/8388608
412933138125/8388608 -377784725625/2097152 598631919375/8388608 -189223550625/2097152
34049915625/4194304 -146756611875/2097152 -213582598125/2097152 1948218440625/8388608
359515704375/8388608 902689100625/4194304 1526294060625/8388608 58723325625/2097152
62938130625/4194304 -177940584375/2097152 -250908564375/2097152 -132919636875/2097152
-124736765625/524288 208277758125/2097152 571903816875/8388608 -4284650625/8388608
738997025625/4194304 390160468125/8388608 -696076876875/4194304 188249176875/2097152
1512530296875/8388608 355917534375/2097152 -27758904375/1048576 480900804375/8388608
-825324328125/8388608 -165571843125/2097152 -1417190915625/8388608 -1409212659375/8388608
19889548125/8388608 790189213125/4194304 -735933654375/4194304 1825261614375/8388608
578319545625/4194304 -369610228125/4194304 -588789384375/4194304 -794377546875/8388608
-1414089069375/8388608 73495325625/524288 -431574013125/4194304 -229186044375/1048576
-1638824315625/8388608 -614653434375/4194304 169728804375/8388608 146932756875/2097152
-824162019375/4194304 154587418125/1048576 -651605660625/4194304 -1134156058125/8388608
1536370254375/8388608 861969830625/4194304 152044040625/4194304 1381028030625/8388608
321892914375/4194304 -6948755625/2097152 -57200578125/4194304 -1815828331875/8388608
-972609751875/8388608 -441060905625/8388608 1348181236875/8388608 1264240344375/8388608
-1116546148125/8388608 1439345551875/8388608 169462726875/4194304 -348023244375/8388608
1959590221875/8388608 5476111875/65536 1511150746875/8388608 -88279006875/1048576
-162334036875/8388608 -176173880625/2097152 -14732293125/2097152 353139774375/4194304
-1413107848125/8388608 271886653125/2097152 -737417731875/4194304 871069700625/4194304
-1907178406875/8388608 -503957908125/8388608 1482184595625/8388608 1053102391875/8388608
-860123574375/4194304 120679644375/8388608 980766410625/8388608 -427901214375/2097152
-419410025625/8388608 -1015793480625/8388608 -190464628125/1048576 1118308850625/8388608
164459469375/8388608 -1755267410625/8388608 -141757794375/1048576 -1364231979375/8388608
985811728125/4194304 -15156421875/65536 450925400625/8388608 -816769348125/4194304
697342846875/8388608 -824701813125/8388608 268551721875/8388608 -208100986875/8388608
2005807903125/8388608 289285888125/2097152 18335968125/8388608 -1265363664375/8388608
481418761875/2097152 -359845299375/8388608 -812084754375/8388608 -84786766875/1048576
-178867561875/1048576 -467479186875/4194304 -320681619375/8388608 -254601714375/4194304
-807681789375/4194304 -1780316124375/8388608 -36346621875/8388608 -14034440625/2097152
