2800
-999544748125/8388608 2439808415625/16777216 -882299639375/8388608 1194381768125/8388608
-1214183674375/8388608 2972318523125/16777216 138337679375/8388608 66219103125/1048576
1805740400625/8388608 3089620200625/16777216 1696857981875/8388608 -466109363125/8388608
662674989375/4194304 -785774390625/4194304 1441288183125/16777216 654757691875/4194304
3227047464375/16777216 127784479375/524288 685318545625/4194304 -3693638073125/16777216
-4202259691875/16777216 -59797583125/4194304 -694184203125/16777216 -77513471875/8388608
453387046875/4194304 4232898945625/16777216 -345428663125/2097152 -87896729375/4194304
916014456875/8388608 182108731875/1048576 1076596469375/4194304 1740405926875/8388608
-1104218836875/4194304 -1784404794375/16777216 575926579375/4194304 4666620170625/16777216
-3007964666875/16777216 79466340625/2097152 16963786875/524288 -2165364438125/16777216
-965108046875/4194304 687781749375/16777216 54278739375/16777216 -1445191059375/16777216
4044209675625/16777216 3342997144375/16777216 -440860170625/16777216 -4179660918125/16777216
-71640625/8192 1566780718125/8388608 671780134375/8388608 1195849248125/16777216
765776668125/4194304 3308860480625/16777216 -2078711744375/8388608 687066375625/16777216
-2104203976875/16777216 -1933879950625/8388608 3873008838125/16777216 -419093758125/16777216
1477826975625/16777216 -302082458125/16777216 -2945523354375/16777216 -3797218219375/16777216
-2470262291875/16777216 -70335041875/524288 -2112695274375/16777216 -238425516875/8388608
-3864365623125/16777216 -439712590625/8388608 -1813151624375/8388608 -2362898496875/16777216
-726112410625/8388608 893680449375/4194304 -1442265033125/16777216 -1765799940625/8388608
121073754375/16777216 882379308125/16777216 -36346638125/4194304 -1758283454375/8388608
314168028125/2097152 -129723785625/16777216 303633990625/8388608 762160625625/4194304
122379210625/2097152 -1955015155625/16777216 -2797468104375/16777216 -4495318839375/16777216
2862787886875/16777216 763316806875/8388608 1866938933125/16777216 1443996588125/16777216
-4287301151875/16777216 1183278718125/16777216 -1815855033125/16777216 813911923125/8388608
-1281083444375/16777216 1657767033125/16777216 2795621880625/16777216 1042406071875/16777216
-380220544375/4194304 -741479851875/8388608 349224588125/16777216 533424145625/16777216
1818886855625/8388608 259907948125/8388608 -2059797508125/16777216 -493720504375/2097152
-1050053948125/8388608 -273826363125/8388608 2391022431875/16777216 3356972031875/16777216
1976199806875/16777216 -1303920795625/16777216 -385859901875/4194304 -1452782988125/16777216
310087071875/8388608 -1602189938125/8388608 -2397389028125/16777216 1383023184375/8388608
-2098694889375/16777216 -2242437054375/8388608 86823620625/8388608 123047579375/524288
307719006875/8388608 -54055159375/4194304 -1571616116875/8388608 1017272003125/16777216
-571913094375/4194304 255712218125/2097152 521610779375/4194304 2015291359375/8388608
76985540625/4194304 -2297228985625/16777216 -235984021875/1048576 572362476875/4194304
-880864315625/16777216 93894023125/8388608 734314406875/4194304 -15369764375/131072
1925812678125/8388608 -2615528986875/16777216 285484014375/2097152 -985002606875/16777216
1809507835625/8388608 1836511228125/16777216 1763147150625/8388608 3569749264375/16777216
-4205287856875/16777216 -2948527675625/16777216 682206721875/8388608 102745540625/16777216
3828713485625/16777216 -239825359375/16777216 -450756271875/4194304 -4135970278125/16777216
-1855678960625/16777216 1100290699375/16777216 -1551245504375/8388608 4315028055625/16777216
-1157737800625/4194304 -898651324375/4194304 1568572298125/8388608 -362828396875/8388608
1806219428125/8388608 1570156875/65536 -139981366875/2097152 -4662702515625/16777216
-1050107253125/4194304 153600671875/4194304 971056340625/8388608 -913654319375/16777216
1501539493125/8388608 -692078270625/8388608 -173500551875/2097152 1511803041875/8388608
-1095760894375/16777216 -1130017669375/4194304 4390310421875/16777216 -2020231259375/16777216
635116050625/16777216 2206172915625/8388608 -46971920625/16777216 -1583791251875/16777216
-3468132994375/16777216 760773881875/4194304 4314392245625/16777216 2121254034375/16777216
645456424375/16777216 -3718088416875/16777216 674889403125/16777216 1740141790625/16777216
2134339458125/16777216 826977834375/4194304 -261106943125/8388608 -111217640625/2097152
1104943765625/4194304 4196829993125/16777216 1881507700625/8388608 -2243616038125/16777216
359307125625/8388608 -225245575625/4194304 -991754500625/16777216 821700324375/16777216
2177338664375/16777216 -637205961875/16777216 -4002303020625/16777216 -3451967273125/16777216
-905348381875/16777216 -545678835625/8388608 2375607933125/16777216 -3076038415625/16777216
1034350848125/16777216 -1843982293125/8388608 3789521684375/16777216 -276632689375/1048576
-1604178331875/16777216 217672931875/4194304 -896973056875/8388608 -26067269375/2097152
-2214227631875/16777216 -569495145625/16777216 1195149790625/8388608 -965728981875/4194304
-873210699375/8388608 570964358125/4194304 1960739510625/8388608 716892973125/8388608
-2353692490625/16777216 -131337346875/2097152 -2203241306875/16777216 -720555075625/4194304
-275631015625/2097152 -880437000625/8388608 546874523125/2097152 -648774345625/8388608
1328670879375/8388608 -49020391875/8388608 -1908063119375/16777216 -2962639098125/16777216
-2060040994375/16777216 65012416875/524288 -78423559375/16777216 1712071694375/8388608
1846567874375/8388608 -135987245625/4194304 2150296675625/16777216 938038154375/4194304
602599186875/8388608 313311376875/4194304 -2105358014375/8388608 -3398729674375/16777216
-258654379375/2097152 -1081224379375/16777216 -1804928269375/8388608 -1833471119375/16777216
3859908941875/16777216 1826907123125/16777216 -3667175990625/16777216 3613484459375/16777216
96973375625/8388608 426052860625/8388608 421975824375/16777216 2175525918125/16777216
-439497673125/2097152 -2642390349375/16777216 1453190869375/16777216 2053682404375/8388608
-4624986848125/16777216 8315610625/8388608 4366697383125/16777216 -1059333445625/4194304
4567309919375/16777216 -4672961838125/16777216 -927248651875/4194304 1063717186875/8388608
-1412463644375/8388608 -1338598401875/8388608 -443918619375/8388608 -3526017543125/16777216
558553550625/4194304 2960995165625/16777216 -708450255625/16777216 3155375803125/16777216
1333545163125/16777216 674294639375/16777216 -842742096875/8388608 -670910235625/16777216
209818511875/1048576 950908993125/4194304 -203521460625/1048576 3872467458125/16777216
-2033514249375/8388608 -2291310153125/8388608 536677999375/8388608 490786541875/2097152
-135948553125/1048576 -854542845625/16777216 263552428125/8388608 -287501081875/8388608
-3451884209375/16777216 -3090381004375/16777216 1624117184375/8388608 2017359264375/16777216
-469535495625/2097152 28435448125/131072 2638267410625/16777216 2488659385625/16777216
238847861875/8388608 -268412904375/1048576 874829563125/16777216 3859636939375/16777216
-1268228705625/8388608 -3338537391875/16777216 -2607700694375/16777216 -171408278125/1048576
4375714328125/16777216 313259191875/4194304 982036006875/16777216 2608588591875/16777216
320116383125/2097152 1272999126875/8388608 85532838125/1048576 -4277183903125/16777216
383865234375/16777216 -3996722454375/16777216 -462832321875/2097152 -4028279023125/16777216
2341011238125/16777216 -3781739259375/16777216 112183789375/524288 19896524375/131072
-1608808394375/16777216 -3488329158125/16777216 -81407274375/4194304 -1237167640625/16777216
4431982760625/16777216 -1864520310625/16777216 -686266546875/16777216 4510655865625/16777216
280555016875/8388608 -251500458125/16777216 -3607096574375/16777216 -744665516875/4194304
2797602486875/16777216 -3470739479375/16777216 -3301911475625/16777216 -4431271718125/16777216
-974340469375/16777216 -1680488385625/8388608 -50080428125/8388608 -704749101875/16777216
4674964861875/16777216 -1586885584375/16777216 470320615625/4194304 -736045104375/8388608
1903274506875/16777216 3803562503125/16777216 -2809989074375/16777216 -1034313844375/4194304
-842098219375/4194304 3925903594375/16777216 -953545534375/16777216 -3992382113125/16777216
-984133058125/4194304 1312550071875/16777216 -232434313125/2097152 -45377801875/8388608
-2371788041875/16777216 1814235233125/8388608 -2179118720625/8388608 -1519337981875/16777216
2456180978125/16777216 -203007021875/16777216 -428447096875/2097152 1545663651875/8388608
4142385296875/16777216 -1006225810625/16777216 969396763125/8388608 -3971761171875/16777216
951411496875/16777216 3870744854375/16777216 436802366875/4194304 364830318125/16777216
4430565260625/16777216 561210505625/2097152 -425929581875/16777216 -4287277395625/16777216
2080639413125/8388608 2610494700625/16777216 416418139375/2097152 -2099319971875/8388608
3737170136875/16777216 2199709535625/8388608 1193015105625/8388608 1478442021875/16777216
337778634375/8388608 433977683125/16777216 -1698297733125/8388608 2674198340625/16777216
-1542222136875/8388608 200449055625/16777216 -4481097070625/16777216 -759639768125/8388608
-385366524375/8388608 890907618125/16777216 2170569489375/16777216 -560274273125/16777216
-2977288934375/16777216 -90253751875/4194304 1371283825625/8388608 -559904043125/8388608
-47350979375/16777216 -1109116378125/8388608 -1727757469375/8388608 -2715103286875/16777216
-1381959018125/8388608 2829692385625/16777216 16995330625/2097152 2185961334375/8388608
-2015863259375/8388608 -383019555625/2097152 -1613633958125/8388608 -301016708125/16777216
-1956247313125/8388608 -678249691875/8388608 -2426079271875/16777216 4176261543125/16777216
141558711875/524288 465382001875/8388608 14283801875/4194304 -56016323125/4194304
-1126304869375/4194304 -1738031211875/8388608 -75499055625/1048576 -4559014263125/16777216
1002996273125/8388608 71926833125/8388608 -4142186636875/16777216 -1366731218125/8388608
-410239186875/4194304 -455660209375/8388608 3249157638125/16777216 2302660259375/8388608
-1177166983125/8388608 1371434623125/16777216 -2197679141875/8388608 -1391043854375/16777216
-653222198125/8388608 -1862836548125/16777216 -210264114375/8388608 1083725103125/4194304
-1567188949375/8388608 3186270268125/16777216 -1100224383125/16777216 1865928229375/8388608
-702688730625/8388608 -1144501736875/8388608 -913759153125/4194304 -507841691875/16777216
1665587266875/8388608 -24776644375/4194304 16790668125/65536 2677783451875/16777216
602679083125/4194304 2127068636875/16777216 4087761706875/16777216 3142327978125/16777216
-462172379375/16777216 170864920625/1048576 4411606180625/16777216 -3764368418125/16777216
-242295930625/4194304 -678778034375/8388608 3526688746875/16777216 -2056520353125/16777216
2541082578125/16777216 258162708125/16777216 -308611760625/8388608 3540477556875/16777216
239549655625/16777216 -716512330625/8388608 3680530380625/16777216 -26307710625/1048576
-171293163125/2097152 -348005074375/16777216 3818318949375/16777216 182500294375/2097152
-4308424736875/16777216 -1620291815625/16777216 3464130551875/16777216 56641125625/262144
-780510906875/4194304 2854873975625/16777216 -530695825625/16777216 -110406918125/2097152
-449400336875/16777216 -3044295891875/16777216 8162721875/4194304 -112721774375/1048576
-976542896875/8388608 1877296299375/8388608 -314048546875/16777216 281249425625/4194304
3463654446875/16777216 -2360259951875/16777216 3366183191875/16777216 -1845920199375/16777216
-1456219821875/8388608 659224680625/4194304 -114687339375/1048576 714937584375/4194304
-3426749641875/16777216 -3514336415625/16777216 307783861875/2097152 3284991819375/16777216
-3131732559375/16777216 274104053125/8388608 -65109016875/8388608 -801941875/4096
-466463746875/2097152 1743462406875/8388608 -1913107966875/8388608 432012616875/8388608
-4576179190625/16777216 2715280316875/16777216 -1238944284375/16777216 883133041875/16777216
-1186350650625/8388608 -251895643125/4194304 -2302041888125/16777216 -2309272170625/16777216
-2122249486875/16777216 -1003234535625/8388608 1085041050625/16777216 -85120783125/8388608
-708907031875/8388608 1998605520625/8388608 4616914509375/16777216 -4561414099375/16777216
-4241510625625/16777216 2796520785625/16777216 -652041805625/4194304 -4364897639375/16777216
-511043710625/2097152 -226508786875/16777216 -641722300625/8388608 -1947972866875/8388608
528225446875/4194304 1685361628125/8388608 638694380625/16777216 1206445725625/16777216
-2328768938125/8388608 -127832341875/8388608 -471481521875/2097152 957473855625/4194304
1253888960625/8388608 -80988061875/524288 2065898883125/8388608 561127275625/2097152
369409446875/8388608 478382130625/4194304 4559635539375/16777216 180531220625/16777216
1228716601875/8388608 -3918821729375/16777216 -120049321875/16777216 -1689844008125/8388608
-1083667291875/16777216 716710824375/16777216 2104310210625/8388608 -2059891203125/16777216
1011452561875/8388608 -143386193125/2097152 1143664694375/8388608 -113893530625/8388608
-2212797339375/16777216 -643503721875/8388608 -1742377914375/16777216 1709646841875/8388608
-131983061875/1048576 -2266240081875/8388608 -1959744653125/8388608 993592184375/4194304
-3286499260625/16777216 1899135433125/8388608 -554673581875/8388608 3008933519375/16777216
-471487673125/8388608 3394673113125/16777216 -631504855625/4194304 -43194886875/16777216
-3522322479375/16777216 3443186595625/16777216 -17917011875/65536 162358774375/4194304
