3400
1023809774375/8388608 6446536499375/33554432 -2862963933125/16777216 -39905066875/1048576
-3450440646875/33554432 -3426497188125/16777216 -11123983564375/33554432 -1242751733125/4194304
832898690625/33554432 1138798709375/16777216 10383953823125/33554432 11043078290625/33554432
10370284973125/33554432 4471353631875/33554432 -2105072440625/8388608 -1163741385625/4194304
2241964536875/16777216 404894981875/16777216 4905629448125/33554432 99999025625/33554432
9182045599375/33554432 8675701173125/33554432 -5517339375/8388608 -5781064210625/33554432
-3204563484375/33554432 4355256806875/16777216 3897107019375/16777216 -7480015055625/33554432
8564226669375/33554432 8773766416875/33554432 -11233511440625/33554432 6220436966875/33554432
-1717162318125/8388608 2439285725625/8388608 -5183393871875/33554432 2383988083125/16777216
-3824179888125/16777216 118874614375/2097152 -240104716875/4194304 -42305509375/33554432
-2634330954375/16777216 5265897953125/16777216 813161541875/4194304 -8390168004375/33554432
506620771875/2097152 -3284532058125/16777216 1639801608125/33554432 855913970625/33554432
-6472072411875/33554432 -1761375875625/33554432 -5699436670625/33554432 -1110769768125/33554432
6169697555625/33554432 647543716875/8388608 1191314089375/8388608 -6889351543125/33554432
-6676956581875/33554432 -2975006491875/16777216 345671104375/33554432 -24303338125/4194304
2477448855625/8388608 2516354078125/16777216 660321554375/2097152 8419708543125/33554432
3846305218125/16777216 -456010305625/33554432 -1042215419375/16777216 -452320668125/4194304
3811214838125/33554432 -11368978299375/33554432 4346933436875/16777216 -2469076206875/16777216
1249393208125/16777216 -3226313666875/16777216 -2407200329375/33554432 733187081875/4194304
3119664910625/16777216 -7626642796875/33554432 1802563943125/16777216 1467480215625/8388608
2140432631875/8388608 -1143148180625/8388608 2180153769375/8388608 -104093220625/4194304
2745701545625/16777216 -168531571875/8388608 7170938459375/33554432 -4420160320625/33554432
35858493125/1048576 -243130525625/16777216 -7879347626875/33554432 309995563125/4194304
377942246875/33554432 -5087639310625/33554432 -2951912905625/33554432 841343801875/4194304
-5626641161875/33554432 -10397083603125/33554432 -10659059255625/33554432 -2885666583125/16777216
-2259614765625/16777216 -8102263909375/33554432 -6185943031875/33554432 -11171491891875/33554432
-265526325625/8388608 -8182293215625/33554432 6792254375/16777216 3060346746875/16777216
2638193545625/16777216 1807494198125/8388608 260233800625/16777216 -53273441875/1048576
-10198745793125/33554432 9492975280625/33554432 -39223175625/33554432 -4674905086875/16777216
1692640668125/33554432 -24337231875/1048576 -6122529334375/33554432 -303413694375/4194304
2980384399375/16777216 1131474259375/8388608 -4216766498125/33554432 495745765625/2097152
-6528039301875/33554432 -2800647861875/16777216 -5035076415625/16777216 -1569969008125/16777216
-2686760186875/16777216 -6254491473125/33554432 -732335998125/33554432 -559836551875/8388608
11105141189375/33554432 11330239995625/33554432 602948296875/16777216 -52203015625/262144
-8643620983125/33554432 5581386290625/33554432 -48685609375/33554432 3798478629375/16777216
-4580084994375/16777216 -6441843840625/33554432 1075553949375/4194304 -5733822124375/33554432
-2570532143125/33554432 609015044375/4194304 1082984033125/8388608 -1800801723125/33554432
-9416001086875/33554432 6869247449375/33554432 -10880945625/1048576 2299122935625/8388608
10463807179375/33554432 1534289875625/16777216 718532210625/33554432 -1967909725625/16777216
-3492948296875/16777216 6390854380625/33554432 1632361813125/8388608 -2674683663125/33554432
335733456875/16777216 11269429784375/33554432 1042837831875/33554432 -160829148125/33554432
4913042914375/33554432 4540939009375/16777216 -771505188125/16777216 2790981470625/8388608
5374196346875/33554432 -820495851875/4194304 -1036249460625/16777216 1067707620625/8388608
-43133388125/262144 -463727009375/2097152 8053556083125/33554432 558481970625/4194304
119567704375/16777216 5281060380625/33554432 -1171284051875/33554432 6127843279375/33554432
-223248281875/1048576 -10147037424375/33554432 245922966875/4194304 -1194427341875/33554432
4968006719375/33554432 -11320790375625/33554432 -154347281875/1048576 -9448710191875/33554432
-542809436875/33554432 6554134131875/33554432 1301224805625/33554432 9428032326875/33554432
3519542629375/33554432 651988940625/16777216 509563280625/16777216 9162134986875/33554432
-4446956676875/16777216 2739295478125/8388608 5661022769375/33554432 -7913350028125/33554432
3448884679375/33554432 -5954198160625/33554432 7904767216875/33554432 4296063826875/33554432
-6931205415625/33554432 -366288513125/4194304 -182053286875/8388608 1013201880625/4194304
-849174341875/16777216 -630536746875/16777216 5041909608125/16777216 1700664200625/33554432
770343514375/33554432 8545420058125/33554432 -11344279551875/33554432 10197763235625/33554432
-3294205589375/33554432 -18713971875/262144 2558738775625/16777216 7437704286875/33554432
-487045739375/33554432 -20090653125/524288 -193736324375/16777216 10319624548125/33554432
1719729296875/8388608 7859881628125/33554432 -1808198890625/8388608 80555233125/262144
4678076288125/16777216 -567415513125/16777216 5113081298125/16777216 -11328102521875/33554432
7875703591875/33554432 -1758206756875/8388608 1726309316875/8388608 4936615008125/33554432
4336985844375/33554432 7425466921875/33554432 -111086213125/524288 -2184104866875/8388608
-6188694758125/33554432 9783479228125/33554432 -8641600979375/33554432 3003922939375/16777216
-589140344375/4194304 2531157146875/8388608 3354704466875/16777216 -5891166984375/33554432
-7966117773125/33554432 2735031793125/16777216 -2325873859375/8388608 -7473000600625/33554432
4269537239375/33554432 -309850085625/8388608 4376974200625/16777216 10858361858125/33554432
-3631148776875/16777216 -1651656090625/33554432 -173778983125/33554432 -10962308145625/33554432
1469045235625/8388608 140590945625/33554432 -5305310583125/16777216 2221276195625/33554432
245284510625/16777216 -1871258945625/33554432 -3019814879375/16777216 -2589886005625/16777216
793916436875/16777216 7559084499375/33554432 -1730499158125/33554432 10292056753125/33554432
3728937366875/33554432 -16284820625/131072 2830402175625/8388608 4386009743125/33554432
257016168125/2097152 4361851659375/33554432 1771835741875/8388608 2002993900625/8388608
-2405201086875/8388608 862682371875/8388608 2793170645625/16777216 -1454945881875/33554432
11259573269375/33554432 -864664083125/8388608 122670289375/4194304 3665787594375/33554432
-929816731875/33554432 3807584551875/33554432 -3486099719375/33554432 -601245215625/8388608
6241163026875/33554432 1085497143125/8388608 4823755705625/33554432 -6043761853125/33554432
-5189198521875/33554432 824884614375/8388608 -596227049375/4194304 -8759996246875/33554432
-574219125625/2097152 -335464304375/2097152 4584970815625/16777216 -2503469969375/33554432
487727290625/33554432 7675471408125/33554432 -6163536479375/33554432 320102445625/16777216
5694381019375/16777216 1941481185625/33554432 8725605459375/33554432 -10160754065625/33554432
2385662200625/33554432 4820627344375/16777216 274148789375/33554432 5755295568125/33554432
4048292906875/33554432 -3431606304375/16777216 -10816229780625/33554432 1005035080625/4194304
89856103125/16777216 153478263125/4194304 -2131544075625/8388608 3975754013125/16777216
-1268788338125/8388608 -628590310625/4194304 -10356497123125/33554432 9703373039375/33554432
11045585535625/33554432 3363901211875/16777216 3604485381875/33554432 -11189277780625/33554432
3608006485625/16777216 271080905625/4194304 4852917739375/33554432 9448993114375/33554432
-7165227181875/33554432 6096876695625/33554432 -4791287363125/33554432 -2220731494375/16777216
3153234938125/33554432 -2591760234375/8388608 5061421379375/33554432 1473834263125/8388608
873770579375/4194304 -3040559299375/16777216 1916716244375/33554432 -2443322609375/8388608
-6940344615625/33554432 529164344375/8388608 4312511518125/33554432 -4665171715625/33554432
-4480243718125/16777216 -3784796370625/16777216 -1493502030625/33554432 1776568180625/16777216
1566693001875/16777216 3962794700625/16777216 1061920608125/8388608 -3474676951875/16777216
-5467745498125/33554432 2065379693125/16777216 9686159136875/33554432 -7814968435625/33554432
-5072660504375/33554432 -7275173683125/33554432 -1281710229375/33554432 -5553659120625/33554432
1605153504375/16777216 20191866875/4194304 2450238889375/16777216 -9112580135625/33554432
10535351233125/33554432 9276707379375/33554432 1781418769375/8388608 682291206875/8388608
488505826875/16777216 2758820403125/33554432 -1031180166875/16777216 8059359373125/33554432
2154956071875/8388608 2083326338125/8388608 33972959375/16777216 7965797216875/33554432
-4850698708125/16777216 8224152591875/33554432 -2776707441875/8388608 -2868367553125/33554432
1174215723125/16777216 -929506014375/16777216 -9885028111875/33554432 -5477778579375/16777216
-242536864375/33554432 2349912688125/8388608 5208229915625/16777216 2986366316875/33554432
4246394374375/16777216 -2280918124375/33554432 -972939824375/4194304 -5673533536875/33554432
-10348205564375/33554432 -362538993125/16777216 -8458525004375/33554432 2100739735625/16777216
-2246289698125/16777216 -5434937091875/16777216 3964676281875/16777216 1035960078125/8388608
2885757681875/33554432 260047523125/16777216 -9212408321875/33554432 -1949581643125/33554432
-4343548864375/33554432 -66782661875/16777216 -5276475374375/16777216 8505167458125/33554432
2746836741875/8388608 -6560105636875/33554432 1196912019375/4194304 5609874869375/16777216
598799574375/8388608 1015457950625/8388608 -6014937524375/33554432 3183876120625/16777216
737783031875/4194304 691215930625/2097152 -6852828615625/33554432 2020236511875/33554432
1058709286875/33554432 135382740625/524288 -1145159811875/4194304 -7802819130625/33554432
57157410625/4194304 8460689465625/33554432 -576152811875/33554432 4297960453125/33554432
-702657398125/4194304 -10528575075625/33554432 -1925270623125/16777216 -2425853111875/16777216
4645844649375/16777216 -3281800306875/16777216 1501720064375/33554432 6157378016875/33554432
2953371250625/33554432 8471207705625/33554432 313339356875/1048576 -3691404108125/16777216
-2817262981875/8388608 604708115625/33554432 5857815874375/33554432 -4606656716875/16777216
-751772863125/8388608 -252316879375/16777216 959255971875/4194304 -9937382076875/33554432
998288141875/8388608 9382971149375/33554432 -1194882410625/33554432 -3876025106875/33554432
-12598965625/16777216 1945989840625/33554432 7567713593125/33554432 5693595619375/16777216
-5415802168125/16777216 1275765605625/33554432 -271912333125/33554432 5943298058125/33554432
-7018903974375/33554432 -682005585625/33554432 5538606959375/33554432 -4215966053125/33554432
9101515388125/33554432 -3486326329375/16777216 -3027609400625/16777216 -150251939375/2097152
-8305704715625/33554432 -102234440625/4194304 10727677588125/33554432 -651863650625/8388608
3054989451875/33554432 -334910231875/1048576 -3592275960625/16777216 397485978125/16777216
900428300625/4194304 -416484710625/8388608 -1288372848125/33554432 3269304796875/16777216
5295571028125/33554432 4120293453125/16777216 -11226385274375/33554432 -410057308125/2097152
-11174861249375/33554432 1309969924375/8388608 -6969713305625/33554432 -657406798125/4194304
-1036187920625/8388608 747592223125/4194304 6765284841875/33554432 -892614314375/8388608
-6230616875/16777216 -6515447104375/33554432 -6437156260625/33554432 6838239916875/33554432
-5189200753125/16777216 202941314375/2097152 -1432000471875/8388608 5117839066875/33554432
303326271875/8388608 5507344448125/16777216 -4011252860625/16777216 3236825319375/16777216
7149810583125/33554432 -224645979375/1048576 -7947389255625/33554432 846119803125/16777216
2548435054375/33554432 3047597809375/33554432 9241885344375/33554432 -1305797444375/33554432
-3271310350625/16777216 -7232288271875/33554432 -3759012768125/33554432 -3433310511875/16777216
-2944112498125/33554432 -61714919375/2097152 4821101240625/33554432 5325468354375/16777216
952656593125/8388608 -696845714375/8388608 -4936329450625/16777216 1812912013125/16777216
-8129199431875/33554432 -6817906918125/33554432 11194907734375/33554432 6214641645625/33554432
10004805011875/33554432 -6645143589375/33554432 -2032414206875/16777216 -4378487923125/33554432
678577620625/2097152 369342095625/33554432 6357842484375/33554432 3416158234375/33554432
3832812233125/16777216 -894905468125/16777216 -3208512818125/16777216 8681714689375/33554432
7164381006875/33554432 4752504795625/33554432 -846604473125/33554432 530105400625/16777216
4723410676875/33554432 3388615408125/16777216 -9356541206875/33554432 -1120555520625/8388608
-1521789435625/33554432 10676419613125/33554432 -4580033526875/33554432 -6356628429375/33554432
2141115840625/33554432 -92235625/2097152 -465882906875/33554432 -8202470643125/33554432
-3794530528125/33554432 -3153189824375/33554432 8781430208125/33554432 4096251203125/33554432
6218207586875/33554432 1162587191875/33554432 10949738154375/33554432 -1078548648125/16777216
10470655778125/33554432 2341316786875/16777216 -4258790073125/16777216 923151478125/4194304
627536608125/8388608 -3914098689375/33554432 -9576835834375/33554432 4346612136875/33554432
5478654058125/16777216 150621519375/524288 -2559214308125/33554432 -1095441271875/4194304
-7858795498125/33554432 -237866964375/2097152 -6381022919375/33554432 -1650057474375/33554432
87156800625/1048576 -5968271461875/33554432 9526971328125/33554432 8965259984375/33554432
-3740601959375/16777216 -3451952456875/16777216 -1592295214375/16777216 177655238125/524288
1921955389375/16777216 -6157740520625/33554432 10061153594375/33554432 -11307640514375/33554432
-10839370626875/33554432 3768345725625/33554432 245635581875/8388608 -1673158094375/33554432
-1173935733125/16777216 8320392014375/33554432 -6003153868125/33554432 4208816235625/33554432
-7910298124375/33554432 5767404370625/33554432 6887440063125/33554432 -3531748076875/33554432
277886600625/2097152 5172501971875/16777216 29354696875/4194304 6115675189375/33554432
2556890386875/8388608 227901734375/16777216 -10191743811875/33554432 -4735878880625/16777216
-4510682196875/33554432 4428787140625/33554432 -1691778661875/33554432 -966807754375/8388608
-1535575203125/33554432 -6902607611875/33554432 -1968849910625/8388608 3051388299375/16777216
5102207354375/33554432 -1065788618125/16777216 3503447624375/16777216 5558669955625/33554432
238754555625/1048576 3023901424375/33554432 -108647584375/2097152 2769540305625/8388608
1587347513125/8388608 802807075625/16777216 2097884139375/8388608 626076393125/2097152
-5319056506875/16777216 -587427976875/33554432 131574273125/8388608 9430073028125/33554432
8154874616875/33554432 9932616063125/33554432 -982886099375/33554432 -404103716875/4194304
4714298379375/16777216 -6649608150625/33554432 207947261875/16777216 -1478396298125/8388608
-835433773125/4194304 -3489759649375/16777216 -79059445625/524288 -4785752545625/16777216
-800626528125/4194304 6373943588125/33554432 10819181065625/33554432 2880152101875/33554432
-2794094999375/16777216 6384693686875/33554432 3646433221875/16777216 -121780849375/524288
5829771144375/33554432 1521368005625/16777216 -3523049453125/33554432 -1224251631875/33554432
-9618400515625/33554432 106649446875/2097152 2913328536875/16777216 893541983125/16777216
-1023253555625/4194304 -10214928093125/33554432 -1076223494375/8388608 4930173070625/16777216
-6962546084375/33554432 414867946875/8388608 101306474375/2097152 -2793763265625/16777216
-494414049375/2097152 -10270470833125/33554432 196918703125/16777216 11231882649375/33554432
-6877186895625/33554432 -2519255680625/33554432 6453944121875/33554432 3600329880625/33554432
-3216324105625/33554432 -455186974375/33554432 6719478171875/33554432 5064592665625/16777216
-6798852701875/33554432 7110022189375/33554432 5520541080625/33554432 2780253365625/16777216
341570003125/16777216 -4643754881875/16777216 7860806215625/33554432 2434225186875/16777216
-5671299439375/16777216 -11081909116875/33554432 -297174205625/4194304 -620164600625/2097152
1791148506875/33554432 -1025397978125/4194304 662533360625/16777216 -865059078125/8388608
-3768817985625/33554432 8178587598125/33554432 -484703564375/8388608 -763160546875/4194304
286723625625/33554432 -3180290820625/16777216 -1157323694375/4194304 -5180370294375/16777216
2480870679375/8388608 -5673173200625/16777216 49095181875/4194304 1865028955625/33554432
-2344642411875/16777216 -4924655338125/33554432 2580630058125/8388608 10223115144375/33554432
-234931999375/4194304 -3356787009375/33554432 9729217905625/33554432 2926244860625/33554432
-21947116875/131072 1788062539375/33554432 2461854245625/8388608 2862988731875/33554432
-857615776875/33554432 2531864091875/16777216 -5218850091875/33554432 -2537340216875/16777216
2583219264375/33554432 -5633218015625/16777216 5907582226875/33554432 941784136875/33554432
-1157006155625/16777216 -522120840625/33554432 -439743494375/8388608 2560620569375/33554432
-5096404446875/16777216 5276280129375/33554432 -661924590625/16777216 10255814771875/33554432
-4742589163125/16777216 6743607610625/33554432 -4616357575625/16777216 2412777816875/16777216
-3371672209375/33554432 3290240615625/16777216 9394776013125/33554432 878297573125/16777216
157234668125/4194304 -1471007290625/16777216 -6653254799375/33554432 1617256866875/16777216
5849126281875/33554432 1611580481875/33554432 -10116142346875/33554432 4213227990625/33554432
-8892445966875/33554432 -10092662201875/33554432 9713922856875/33554432 1259678101875/4194304
423883896875/16777216 -7140907938125/33554432 5038096316875/33554432 8372507193125/33554432
-611140129375/16777216 -1360739276875/8388608 2179508704375/16777216 1048206198125/8388608
-5393876630625/33554432 4832647874375/33554432 9763879354375/33554432 190157909375/1048576
797221938125/33554432 1347000238125/4194304 3888568131875/16777216 -9571669375/16777216
1176506643125/16777216 -8925371875/131072 -1698464506875/16777216 298068958125/33554432
1620487865625/8388608 1491859788125/16777216 -8279680478125/33554432 -10140269086875/33554432
-5739512831875/33554432 -146174404375/33554432 40992535625/2097152 2633716404375/8388608
-1141749590625/33554432 -10965160299375/33554432 671040245625/33554432 -729957613125/4194304
9889826043125/33554432 -7820198846875/33554432 -7065688335625/33554432 -219884916875/8388608
-6141505159375/33554432 -9000964829375/33554432 -4963694648125/16777216 209864458125/4194304
7046753459375/33554432 2707196630625/16777216 -6724622775625/33554432 -689437454375/8388608
628232481875/8388608 -375114211875/33554432 -10793581913125/33554432 -8813385405625/33554432
6796492039375/33554432 5081912966875/16777216 -1182620459375/33554432 -9860996635625/33554432
-11176980129375/33554432 6439042665625/33554432 -3516545401875/16777216 581368603125/33554432
-5684642824375/33554432 -2607110129375/33554432 -4302489338125/33554432 8854033361875/33554432
-453160510625/16777216 -22787703125/8388608 1216679215625/33554432 -5396101866875/16777216
-2777518363125/16777216 839131740625/16777216 2244436698125/33554432 -9208273858125/33554432
1958080006875/33554432 305731495625/16777216 2279064019375/33554432 97514730625/1048576
-221452784375/16777216 2094277206875/33554432 -8743507691875/33554432 7696123071875/33554432
1241152904375/16777216 -3699162653125/16777216 -6780610618125/33554432 -316251733125/16777216
-2045677224375/8388608 -4128482671875/16777216 222930211875/1048576 -5480760188125/16777216
-10961780848125/33554432 -602890241875/33554432 -1651976646875/33554432 -2645322261875/8388608
815090468125/33554432 -812082976875/8388608 1426147350625/16777216 -172938311875/1048576
2106321218125/8388608 -1437405090625/16777216 9299765031875/33554432 -1725211775625/33554432
3243224693125/16777216 -2224980240625/8388608 -9865674908125/33554432 129339198125/1048576
-1094445326875/16777216 2411143160625/33554432 -4064979554375/16777216 -2361168728125/8388608
1027070438125/16777216 -10591152819375/33554432 -80079955625/8388608 -465269568125/2097152
-10216820979375/33554432 5166117154375/16777216 5291513468125/33554432 -5143733551875/16777216
4528488591875/33554432 -7665782959375/33554432 7912187143125/33554432 2063888028125/16777216
-91838855625/4194304 -2760471336875/8388608 465325795625/16777216 3870182738125/33554432
-1261044923125/8388608 -190101341875/16777216 -10231446334375/33554432 -4251749310625/16777216
-8117937293125/33554432 883718745625/4194304 -686553170625/8388608 -11216811554375/33554432
9249042811875/33554432 -4709196084375/16777216 -10708115156875/33554432 1388819430625/33554432
301498686875/16777216 -4151714383125/33554432 -6654145238125/33554432 10780920058125/33554432
-1217713453125/16777216 -11283068884375/33554432 -10731565381875/33554432 7566221949375/33554432
7492691849375/33554432 -1160351160625/4194304 -5406403335625/16777216 9531218671875/33554432
-11344901050625/33554432 -789880955625/4194304 -20127585625/262144 -2254103408125/33554432
8655070695625/33554432 3330441663125/16777216 3097656328125/33554432 3286600384375/16777216
3862819060625/16777216 -10725356811875/33554432 4020840626875/16777216 -1745772000625/33554432
10285523971875/33554432 -3933703471875/33554432 -1343302164375/33554432 -291053780625/16777216
-798071385625/8388608 -10396637289375/33554432 91804026875/524288 -10115138220625/33554432
5604815138125/16777216 -4241724644375/33554432 -700302536875/33554432 3158821138125/16777216
-773994136875/4194304 -4401722205625/33554432 339639228125/33554432 -1691282155625/16777216
11073602449375/33554432 1004995406875/16777216 -4941475690625/16777216 7155960014375/33554432
2681533281875/8388608 -1862543151875/8388608 -4362741248125/33554432 -1279563129375/16777216
3701681521875/16777216 -11216560570625/33554432 -5428620550625/16777216 2843006825625/16777216
950445700625/33554432 9934695120625/33554432 1342439286875/4194304 4778366959375/16777216
-1316927705625/8388608 72047328125/33554432 -589376006875/33554432 1157124794375/16777216
-991152200625/33554432 -9281321710625/33554432 6661027411875/33554432 5903001704375/33554432
5300270529375/16777216 11024622750625/33554432 -2002820181875/8388608 6137704894375/33554432
8840056960625/33554432 -1417223859375/8388608 4797152681875/16777216 -6796811001875/33554432
-3007366969375/16777216 490170721875/2097152 3686325995625/33554432 -9322522443125/33554432
-5052070625/2097152 683920625/33554432 -1722218394375/16777216 -7843006599375/33554432
-1789735721875/8388608 88977543125/2097152 -7323872265625/33554432 3202173125/131072
882342680625/16777216 -6832103044375/33554432 146969239375/1048576 8447495638125/33554432
944778516875/33554432 7865787853125/33554432 -6827816961875/33554432 1040677238125/8388608
-1404689993125/33554432 -3618949640625/33554432 5682303008125/33554432 8441196691875/33554432
-4695807224375/33554432 -7259156899375/33554432 -820615786875/4194304 4983108733125/16777216
-960358910625/8388608 6937023431875/33554432 1449983433125/8388608 2809410788125/33554432
-4565510660625/33554432 -4288372644375/33554432 -50253328125/8388608 -4972918784375/33554432
-3980577274375/16777216 3256351859375/33554432 2651561644375/16777216 -9172103383125/33554432
9788388806875/33554432 549101604375/4194304 293819170625/33554432 2400304746875/16777216
1436499330625/33554432 -1515877175625/16777216 -4271014263125/33554432 10590062141875/33554432
-485265031875/2097152 -9598863223125/33554432 1846264886875/33554432 3789238980625/16777216
-9463746054375/33554432 1028325356875/4194304 -8556299144375/33554432 -804975531875/33554432
-11288218184375/33554432 -2401422114375/16777216 1270350744375/8388608 2112161440625/16777216
-408467829375/2097152 4661300815625/33554432 3572194009375/16777216 -4526273980625/16777216
-5626033943125/16777216 2101876483125/33554432 -49015430625/524288 937909921875/33554432
-7920161226875/33554432 -4735687311875/33554432 -1382082139375/8388608 943628084375/16777216
-5382659563125/16777216 5887657376875/33554432 2529725491875/8388608 4219337854375/16777216
735024973125/16777216 53003843125/8388608 3232982745625/16777216 -466485216875/4194304
-2399141861875/16777216 -136417679375/2097152 507675898125/4194304 378234646875/16777216
-1255412589375/8388608 2790700524375/33554432 5097479888125/33554432 7330856545625/33554432
-7379450365625/33554432 -4730862860625/33554432 4261764605625/16777216 1709145309375/16777216
5582435466875/33554432 206751375625/2097152 1488145373125/33554432 126847890625/2097152
3892942805625/33554432 -5328643359375/33554432 -1793634395625/8388608 1285891719375/16777216
-3443411933125/33554432 110664825625/2097152 -3850677363125/33554432 1073444865625/8388608
-6410113850625/33554432 1127491733125/4194304 -1394566110625/8388608 -4450962386875/33554432
-4092221714375/33554432 -3735189414375/16777216 7938930374375/33554432 -2315806268125/16777216
