1200
200537885625/2097152 278512408125/8388608 -1285028750625/16777216 138983315625/2097152
241507303125/2097152 1718398936875/16777216 53457883125/8388608 -639926428125/8388608
891382261875/8388608 -492995806875/16777216 373334225625/16777216 -1872774856875/16777216
-98765754375/2097152 763610788125/8388608 117378193125/1048576 732097696875/16777216
-1452248746875/16777216 1019783638125/16777216 182392051875/2097152 133109660625/8388608
-525759151875/16777216 245536839375/2097152 492522324375/4194304 -704031283125/16777216
-610016908125/16777216 611978266875/16777216 35909761875/4194304 361118428125/4194304
-300485690625/16777216 -614185756875/8388608 -13864333125/4194304 305773010625/8388608
-1125067494375/16777216 -178518485625/2097152 1112930683125/16777216 205780603125/16777216
90187314375/16777216 -246330114375/2097152 -169447865625/4194304 -38128168125/2097152
-604322818125/16777216 94132591875/8388608 37428665625/1048576 -45945016875/1048576
1856263711875/16777216 857860884375/8388608 1840046353125/16777216 1738502664375/16777216
-64515260625/16777216 156009658125/16777216 1367667136875/16777216 837786193125/16777216
434699866875/8388608 32431149375/2097152 1617708125625/16777216 -1545768703125/16777216
-1312681141875/16777216 136373563125/16777216 -1349802418125/16777216 14796076875/1048576
-282408208125/8388608 -629466571875/16777216 -84904003125/1048576 -362008831875/8388608
-1491003358125/16777216 -24795598125/524288 -486697494375/8388608 272480045625/4194304
335371970625/16777216 -413082279375/8388608 1077993140625/16777216 716544309375/8388608
532337630625/16777216 -17617828125/4194304 496408621875/8388608 62644550625/2097152
268174880625/4194304 -869106301875/8388608 900213463125/16777216 -6615920625/131072
-417566521875/4194304 599816544375/8388608 -24720729375/1048576 -181168696875/2097152
-1543424049375/16777216 -166418270625/8388608 -48271846875/1048576 -2499703125/8388608
232080579375/8388608 979775113125/8388608 -838222205625/8388608 779987514375/8388608
296879683125/16777216 -35330169375/524288 373994210625/16777216 -944904901875/16777216
-1267322941875/16777216 161107224375/2097152 22451641875/2097152 500587531875/8388608
1812245439375/16777216 93608210625/4194304 88055015625/1048576 19064698125/16777216
-354290281875/8388608 -296560921875/16777216 172656879375/8388608 506343166875/16777216
1194818720625/16777216 364637503125/4194304 182433759375/8388608 -365712260625/4194304
-990688565625/8388608 863127695625/8388608 21812068125/4194304 -1163687829375/16777216
594273481875/16777216 1808817403125/16777216 -693300421875/16777216 1832048743125/16777216
-1671570290625/16777216 -1703261274375/16777216 -226151503125/8388608 -398110205625/16777216
-250856420625/8388608 -301966783125/16777216 -1769792878125/16777216 -679133330625/16777216
-1699768621875/16777216 675499768125/8388608 -1384734886875/16777216 -154822471875/8388608
188504949375/8388608 -22189910625/2097152 -295512061875/16777216 112750824375/2097152
83114619375/16777216 -1069812219375/16777216 437555625/8388608 -302410981875/8388608
-1550676849375/16777216 -17143423125/16777216 1928899231875/16777216 -888164323125/8388608
-1365262528125/16777216 1980505003125/16777216 47099454375/8388608 -304204498125/16777216
39880989375/524288 701289879375/8388608 14668130625/8388608 -1312524676875/16777216
444069661875/8388608 -484177434375/16777216 1798235184375/16777216 1409832579375/16777216
246168845625/2097152 -364916094375/8388608 1518710844375/16777216 -75387579375/8388608
264236461875/8388608 -275237341875/4194304 1525817311875/16777216 141010843125/4194304
-905236299375/16777216 29719963125/4194304 -1321188429375/16777216 -206423146875/2097152
946852441875/8388608 -204256160625/2097152 1832945300625/16777216 -910056785625/16777216
218598744375/16777216 -27463310625/262144 -1658703455625/16777216 724069711875/8388608
-31639385625/16777216 1969057378125/16777216 -526074133125/8388608 89036833125/8388608
-510858260625/16777216 -1607729364375/16777216 1678059073125/16777216 906338788125/16777216
319829758125/8388608 912601978125/8388608 340197886875/16777216 508534798125/16777216
1369377013125/16777216 -833912030625/16777216 -18680026875/2097152 -84286505625/16777216
168423913125/4194304 314982804375/8388608 -1976410205625/16777216 -802382518125/16777216
-240881709375/8388608 -1691944089375/16777216 -745682300625/16777216 -499747044375/8388608
-470107906875/8388608 -1102556356875/16777216 -63192485625/2097152 1206328693125/16777216
1603561149375/16777216 422183514375/8388608 -1473254236875/16777216 356222806875/16777216
973799476875/16777216 767925260625/16777216 56741131875/4194304 -1985036394375/16777216
93409486875/8388608 774971731875/16777216 790128946875/8388608 -1747610514375/16777216
907798348125/8388608 -872154294375/8388608 398531551875/16777216 1543759760625/16777216
1166244061875/16777216 438486451875/4194304 7919274375/8388608 -1587957841875/16777216
77025504375/16777216 -210988100625/8388608 -1897418848125/16777216 1074647709375/16777216
714379089375/16777216 -212511586875/2097152 693679708125/16777216 536712744375/8388608
-878994350625/16777216 -245094496875/4194304 -454466116875/8388608 -225135976875/16777216
135888853125/2097152 -16018048125/16777216 944007245625/16777216 -1269901183125/16777216
652921273125/16777216 342050625/4096 902495660625/8388608 1657387044375/16777216
-679005624375/16777216 234028711875/16777216 81311570625/4194304 671233895625/16777216
-1132135018125/16777216 571721908125/16777216 -394822603125/4194304 1594226356875/16777216
-55684370625/2097152 -1766278588125/16777216 463010221875/4194304 -717221578125/16777216
-200979009375/8388608 -10800995625/4194304 1621057580625/16777216 -509301594375/8388608
-598337660625/8388608 1420396875/4194304 838286731875/8388608 1537749890625/16777216
42074296875/2097152 -32178661875/2097152 393803739375/4194304 491037958125/4194304
488533014375/8388608 -1800746829375/16777216 301700529375/16777216 52917024375/1048576
400751326875/4194304 -1847754493125/16777216 1822399539375/16777216 -1223017224375/16777216
-816182964375/16777216 -60389446875/8388608 -646373154375/8388608 680329981875/8388608
-189266551875/2097152 460541199375/8388608 -207079051875/4194304 -1003352589375/8388608
1175929584375/16777216 355944781875/8388608 470213971875/16777216 -302753495625/8388608
91404375/16777216 -705549579375/8388608 1833909781875/16777216 -803587513125/8388608
468563971875/8388608 49700709375/8388608 -1517053903125/16777216 845109628125/8388608
426899986875/4194304 -394059909375/4194304 -209877601875/16777216 -34051899375/4194304
-1522645449375/16777216 -959021330625/8388608 1228211870625/16777216 -933226614375/16777216
517243125/8192 45143146875/2097152 485770138125/8388608 834078789375/16777216
-1834734590625/16777216 -96630136875/8388608 -973622484375/16777216 -43099273125/2097152
-226559409375/16777216 -117553374375/8388608 922067251875/8388608 -2003628939375/16777216
-454301278125/8388608 550436604375/8388608 60964336875/4194304 183156181875/8388608
-206904196875/2097152 -228871738125/4194304 627162943125/8388608 1885410339375/16777216
-195441444375/4194304 -1900439848125/16777216 948811875/262144 -306642043125/8388608
1978519336875/16777216 1269450095625/16777216 206946459375/2097152 -49579025625/1048576
187269586875/16777216 -1954890823125/16777216 625178251875/16777216 148117828125/8388608
53873626875/524288 1475622871875/16777216 1160769375/16384 409397079375/8388608
1226624356875/16777216 885727078125/8388608 296903825625/4194304 511614868125/8388608
-949540591875/8388608 569737756875/16777216 1448032273125/16777216 -1298479899375/16777216
-210776079375/8388608 -344658770625/16777216 -497870728125/16777216 319167714375/16777216
-1708512245625/16777216 614141221875/8388608 -1415190204375/16777216 -313074350625/8388608
-485931541875/4194304 -492408680625/16777216 1702549888125/16777216 1244862444375/16777216
-2221655625/262144 -1385564038125/16777216 3520441875/262144 -117131863125/1048576
250445443125/2097152 -586755455625/8388608 303001633125/16777216 546463816875/8388608
165600159375/8388608 -236888248125/2097152 -72007145625/2097152 437736230625/4194304
1281010021875/16777216 -807811584375/16777216 52451604375/8388608 151116883125/8388608
-1477556559375/16777216 -493943769375/8388608 -1269857266875/16777216 -102563979375/1048576
267366605625/8388608 826153666875/8388608 -451300378125/4194304 10536140625/16777216
-125171041875/4194304 -296958223125/4194304 -1845685741875/16777216 768693733125/16777216
625818320625/8388608 374117949375/8388608 727691023125/8388608 -5609446875/131072
-984201991875/8388608 -496622578125/4194304 1434344323125/16777216 481999366875/4194304
2001208239375/16777216 -1968312264375/16777216 244889559375/4194304 -68354863125/8388608
1639149699375/16777216 26245640625/1048576 458510491875/8388608 548259545625/8388608
1988196313125/16777216 -200273630625/16777216 975363860625/8388608 14482314375/131072
193601926875/8388608 -44462308125/8388608 -117536833125/1048576 -1346725929375/16777216
1645068283125/16777216 1824650563125/16777216 -12618564375/8388608 -1577739800625/16777216
-1581365994375/16777216 51634535625/4194304 -116049909375/8388608 -456812139375/16777216
-499970368125/8388608 554979500625/8388608 -276091164375/4194304 143024518125/16777216
-1153657081875/16777216 1734190490625/16777216 -1269957474375/16777216 22516393125/262144
28052911875/524288 -58063978125/524288 -1606721424375/16777216 -28354565625/262144
997284729375/16777216 91506050625/16777216 7645453125/262144 924286790625/8388608
500740546875/4194304 -66251038125/1048576 -441203690625/4194304 -299502226875/16777216
-889197114375/8388608 -549628625625/8388608 -1301850943125/16777216 -61728901875/16777216
928602676875/16777216 -383055579375/16777216 -510498598125/8388608 294887608125/4194304
-909535104375/8388608 1585623796875/16777216 726340126875/8388608 1182428120625/16777216
-29294311875/524288 1374816331875/16777216 -82923080625/16777216 -29593790625/1048576
70242583125/16777216 97494673125/4194304 41798769375/16777216 1154186285625/16777216
-157518871875/16777216 -136032549375/16777216 -766210678125/8388608 -26403073125/524288
-1421874249375/16777216 -1464244134375/16777216 745915025625/16777216 -412559266875/16777216
-848196110625/16777216 1283814331875/16777216 -159131375625/2097152 -502963093125/8388608
1578537084375/16777216 -922129955625/8388608 -356748080625/16777216 582999215625/16777216
504548833125/8388608 -489444058125/4194304 -79357764375/4194304 -259731646875/16777216
1788448295625/16777216 -533825533125/8388608 179281696875/8388608 -297470934375/16777216
12720204375/524288 -786131034375/16777216 327758529375/4194304 517181810625/16777216
-1462785819375/16777216 1031053944375/16777216 986068164375/16777216 -615084144375/8388608
-497311449375/8388608 -596399476875/8388608 -781714775625/16777216 541730308125/8388608
1807593628125/16777216 -391999115625/16777216 1779088490625/16777216 29810139375/262144
1062192635625/16777216 506465551875/8388608 -324125439375/4194304 -328406409375/8388608
118774355625/2097152 -920501668125/16777216 323932168125/8388608 -375354789375/16777216
-18703003125/524288 78704705625/2097152 -1880098006875/16777216 -1931587531875/16777216
-1309615963125/16777216 -213405965625/2097152 1318014999375/16777216 713350201875/16777216
-1088839756875/16777216 269495941875/8388608 -1159857538125/16777216 141669185625/2097152
-23449490625/2097152 308867086875/4194304 371553853125/16777216 -701804724375/8388608
608067324375/8388608 128980036875/8388608 -1962339628125/16777216 -1549699370625/16777216
1870425969375/16777216 1425452105625/16777216 -774182720625/16777216 1074735155625/16777216
51555905625/8388608 112053564375/8388608 590452205625/16777216 699189418125/16777216
6114444375/8388608 215406148125/4194304 318033703125/16777216 1036297430625/16777216
-205468396875/16777216 140873180625/2097152 364620080625/4194304 -36456680625/1048576
895066063125/8388608 1043803468125/16777216 691802139375/8388608 562112900625/8388608
-1022043496875/16777216 816231253125/8388608 -45426669375/524288 -46839553125/16777216
1213413039375/16777216 -576430138125/8388608 112002133125/2097152 -1110746536875/16777216
520366944375/16777216 -228546868125/2097152 -174784408125/8388608 -1506031610625/16777216
-549935728125/8388608 -1475598740625/16777216 -31984445625/8388608 -211681048125/2097152
942401008125/8388608 -27391629375/4194304 -1382391774375/16777216 -471206146875/4194304
-90379111875/8388608 -997835758125/8388608 910197005625/16777216 -42167668125/8388608
-61449365625/524288 11720488125/1048576 550904844375/16777216 -1289231780625/16777216
78490741875/4194304 758649526875/8388608 80782501875/1048576 17070864375/524288
455770201875/8388608 306980296875/8388608 -794183270625/8388608 1987129258125/16777216
479760444375/16777216 -1912847416875/16777216 1178892796875/16777216 -434420071875/16777216
-1293358629375/16777216 50848798125/4194304 249567575625/16777216 451572035625/8388608
624052625625/16777216 604271060625/8388608 -333418276875/16777216 17528570625/1048576
399562250625/8388608 953320145625/16777216 1174400206875/16777216 87298996875/1048576
-349884549375/16777216 1556044123125/16777216 -72198309375/16777216 59576638125/2097152
92112133125/1048576 516634681875/8388608 8287603125/131072 427011965625/8388608
640643041875/16777216 321127003125/4194304 -368193661875/8388608 383764768125/4194304
1369011305625/16777216 -55949030625/524288 -1449061348125/16777216 -342002338125/16777216
1246901551875/16777216 -126814693125/16777216 -798393875625/16777216 208878744375/4194304
-1991927143125/16777216 610295191875/8388608 -970640589375/16777216 -347911719375/8388608
1927513775625/16777216 555944874375/8388608 -665860374375/8388608 -579625891875/16777216
1961986854375/16777216 -1687510261875/16777216 420366511875/16777216 -862912629375/16777216
-106151244375/4194304 -753350019375/8388608 771804459375/16777216 -926091395625/16777216
-1288107301875/16777216 1824761296875/16777216 -1985582885625/16777216 -1306515076875/16777216
688550885625/16777216 -1717999156875/16777216 -876867226875/16777216 124311309375/1048576
974731021875/8388608 1194458071875/16777216 -1076002063125/16777216 63124888125/8388608
243763966875/4194304 -207922010625/2097152 -58378224375/8388608 -854072315625/16777216
-509064410625/16777216 1823112751875/16777216 987623214375/8388608 314260111875/16777216
-1751227138125/16777216 -1088941404375/16777216 -245829688125/16777216 -194117634375/4194304
-100930655625/2097152 -321020049375/8388608 -1013146156875/16777216 -728677955625/16777216
1796319429375/16777216 -665047048125/8388608 60889876875/2097152 1504965796875/16777216
40347058125/2097152 -1252351584375/16777216 -101135866875/8388608 -1605581960625/16777216
-102826104375/8388608 -634845556875/8388608 -589298630625/16777216 -2522041875/16777216
1878521326875/16777216 1668931738125/16777216 97089380625/4194304 -180747283125/16777216
91966453125/2097152 -198785863125/2097152 -389288060625/8388608 1546902440625/16777216
87980488125/8388608 -912275334375/16777216 47475691875/8388608 54867826875/16777216
654476780625/8388608 1426200628125/16777216 -1548423076875/16777216 323893723125/4194304
-1628450011875/16777216 1602980071875/16777216 56751046875/4194304 -656478823125/8388608
-1356844059375/16777216 34032793125/524288 -1450948820625/16777216 252122544375/4194304
-324543800625/4194304 523332658125/8388608 484400623125/8388608 -1230604400625/16777216
-1305043805625/16777216 -171339013125/4194304 667862266875/16777216 -912375691875/16777216
-911119055625/16777216 1016167933125/16777216 106963411875/8388608 -1977368529375/16777216
155806948125/16777216 13019923125/262144 813598044375/16777216 688491530625/16777216
835950654375/16777216 185523140625/8388608 140570945625/2097152 -1562709133125/16777216
332284329375/8388608 -141352355625/8388608 -1417202660625/16777216 -1023609140625/16777216
-56461865625/8388608 -575928223125/16777216 -856298971875/8388608 22293894375/262144
364008661875/4194304 590089186875/16777216 -188205950625/2097152 769619379375/8388608
1407715764375/16777216 1159783130625/16777216 -1749863311875/16777216 -792575218125/16777216
1248783005625/16777216 -985953733125/16777216 188416374375/4194304 677022534375/16777216
-286245418125/4194304 236141315625/8388608 -184090378125/16777216 1211014786875/16777216
76431631875/2097152 260705544375/8388608 1626167341875/16777216 -442083755625/4194304
1959747395625/16777216 19985506875/4194304 -324572701875/16777216 582649888125/8388608
1953480110625/16777216 -574304679375/8388608 638759360625/16777216 82797058125/2097152
-320764891875/8388608 -565455534375/8388608 104452951875/8388608 -22201393125/4194304
388070503125/16777216 1452897639375/16777216 1718778369375/16777216 1901752393125/16777216
878901290625/8388608 1453291456875/16777216 -173105510625/16777216 111259573125/16777216
992507923125/16777216 374044516875/4194304 231576358125/8388608 151590965625/4194304
-1035070816875/16777216 -1926073516875/16777216 -358272905625/16777216 437004275625/4194304
239151605625/2097152 1870236834375/16777216 1489715101875/16777216 -1015763458125/16777216
-1636570753125/16777216 1056604869375/16777216 -1501036449375/16777216 1167347690625/16777216
57007745625/16777216 -716822611875/8388608 245037061875/8388608 -44033630625/524288
924441748125/16777216 -20019466875/4194304 -190582318125/2097152 1961379691875/16777216
-1260169876875/16777216 1835240334375/16777216 -107374618125/2097152 98097744375/4194304
-104039941875/1048576 -122580211875/1048576 1944778213125/16777216 1015098793125/16777216
-1306261235625/16777216 -1631784808125/16777216 539171386875/16777216 -555145359375/16777216
493136915625/4194304 -410318011875/16777216 903391205625/16777216 1902866353125/16777216
-736079394375/16777216 -52368001875/1048576 -1976736200625/16777216 1370387975625/16777216
-596172901875/8388608 483882763125/8388608 1492218106875/16777216 58614388125/8388608
-389085256875/8388608 1908293278125/16777216 330975808125/16777216 548990491875/16777216
-343374789375/16777216 1784968876875/16777216 -47107040625/2097152 -36831631875/1048576
-712884928125/8388608 1974920855625/16777216 -2552079375/4194304 299899164375/4194304
-817535401875/16777216 -690023094375/8388608 -1885928656875/16777216 773504698125/8388608
-1944088550625/16777216 259273618125/16777216 726720489375/8388608 -27691659375/4194304
408296596875/16777216 886030258125/8388608 545947149375/8388608 -1149910753125/16777216
-248175579375/16777216 -1004936724375/16777216 -3740956875/16777216 -609267691875/16777216
-891379618125/16777216 -213704559375/16777216 -28858813125/8388608 1341905450625/16777216
-121588951875/1048576 -251667369375/16777216 1122569038125/16777216 -65309173125/4194304
-11304429375/2097152 392211890625/8388608 -485093473125/4194304 830640376875/16777216
1492448191875/16777216 -34689009375/8388608 203709860625/8388608 113797010625/2097152
-463793998125/8388608 630755353125/16777216 -635108383125/16777216 666426654375/8388608
-137876094375/16777216 690121265625/16777216 -1706724365625/16777216 -324437135625/16777216
638125584375/16777216 472692459375/8388608 873164248125/16777216 73985806875/16777216
33225958125/1048576 -471583978125/16777216 1374864770625/16777216 -228457273125/16777216
76581009375/16777216 1712961598125/16777216 899383479375/16777216 534168406875/16777216
196665624375/8388608 -1448645510625/16777216 749809546875/16777216 251025770625/2097152
42982921875/16777216 274824631875/16777216 203869254375/2097152 1495787323125/16777216
386061976875/8388608 369788998125/4194304 -753018744375/16777216 -1986533030625/16777216
-243139850625/2097152 -1835327300625/16777216 422532553125/16777216 970429441875/16777216
-1615428594375/16777216 1471981134375/16777216 -146084529375/4194304 -205547683125/2097152
90043629375/16777216 475889911875/16777216 18288189375/262144 719009960625/8388608
-1917099549375/16777216 78219170625/4194304 69250599375/16777216 1244976189375/16777216
1333147280625/16777216 1802243585625/16777216 -93873620625/8388608 -459163318125/4194304
92087023125/1048576 -300589501875/8388608 -456090358125/16777216 379556398125/4194304
-852524930625/8388608 68185730625/4194304 1028755903125/16777216 32152055625/1048576
341217298125/4194304 -251565808125/16777216 1678324749375/16777216 -1050055186875/16777216
-1120042670625/16777216 1949090263125/16777216 -478349413125/16777216 -851752430625/16777216
-684074563125/8388608 25714678125/8388608 -26499650625/16777216 461923138125/8388608
-41087986875/524288 -1221513714375/16777216 1914204789375/16777216 -158288510625/16777216
-329981326875/4194304 319870464375/8388608 278255334375/16777216 -860220208125/8388608
-1532688538125/16777216 -295570794375/16777216 -1921556473125/16777216 800645870625/8388608
-382596474375/16777216 -1986699260625/16777216 -86805418125/2097152 820467361875/8388608
155158164375/4194304 -1586249285625/16777216 -360624279375/4194304 141616186875/16777216
-387147838125/4194304 1393958503125/16777216 880534869375/16777216 419788194375/16777216
-1306834243125/16777216 -456381620625/16777216 139130304375/2097152 69259096875/1048576
-919165891875/8388608 460544581875/16777216 276667813125/8388608 573585279375/8388608
511548253125/16777216 -519485038125/8388608 1318465374375/16777216 349616900625/4194304
608625894375/16777216 322283855625/8388608 290268200625/8388608 182636855625/4194304
1702360378125/16777216 300581803125/4194304 1286796208125/16777216 287902449375/8388608
-54201721875/524288 -1294237138125/16777216 840091355625/8388608 79085413125/16777216
382628315625/8388608 215641726875/16777216 -654089638125/16777216 22788343125/8388608
171913419375/16777216 -50464321875/524288 457308999375/8388608 627545949375/8388608
-1278041293125/16777216 -166340634375/2097152 890084713125/16777216 145775113125/8388608
-341205860625/4194304 -2662014375/4194304 597882673125/8388608 -1212820419375/16777216
265210749375/4194304 -640957951875/8388608 1046189068125/16777216 -552751933125/8388608
-1412007556875/16777216 -452352706875/4194304 -22423479375/8388608 1103063679375/16777216
-605713993125/16777216 -1776683469375/16777216 792996935625/8388608 -322709473125/4194304
1562975784375/16777216 1625382069375/16777216 -220814143125/2097152 508241653125/16777216
14019375/65536 1941097719375/16777216 921844239375/16777216 -457441220625/16777216
-70223784375/8388608 159876946875/8388608 -109597775625/1048576 325908898125/8388608
-1428723961875/16777216 -9391213125/2097152 1595942986875/16777216 1704411781875/16777216
-403806376875/8388608 -1498017635625/16777216 1819523015625/16777216 -483143150625/4194304
419388901875/4194304 84810440625/2097152 -62141390625/16777216 372891103125/8388608
-287267694375/4194304 82350530625/2097152 -1615432426875/16777216 1929521566875/16777216
-79738359375/8388608 -651886936875/16777216 -1842864159375/16777216 181007533125/16777216
-87649805625/8388608 443265489375/8388608 -1483218680625/16777216 838315925625/8388608
155741664375/4194304 -1502941614375/16777216 -81867024375/16777216 -40320080625/8388608
303111568125/16777216 -1994478845625/16777216 -1223897045625/16777216 -938717143125/16777216
101440861875/4194304 -874775146875/16777216 -934682060625/16777216 -500131835625/16777216
-70520424375/1048576 2001375403125/16777216 -1115214684375/16777216 36041803125/16777216
644689666875/8388608 -545554865625/8388608 -293350929375/16777216 -217393955625/4194304
-187716946875/2097152 -770015278125/16777216 185038269375/4194304 482321405625/8388608
-1233980746875/16777216 1447094443125/16777216 -54864526875/524288 32020010625/16777216
218178868125/2097152 -190211281875/8388608 -122099278125/1048576 -43897678125/4194304
-1649219233125/16777216 -45627256875/8388608 51480515625/2097152 305020010625/4194304
-908933671875/8388608 -741926878125/16777216 -203404134375/8388608 10288786875/4194304
314933386875/4194304 -2000031684375/16777216 369842645625/4194304 -1562767130625/16777216
89621135625/2097152 281296801875/16777216 -791624525625/8388608 1340133343125/16777216
68883316875/16777216 126722083125/2097152 584563591875/8388608 266215865625/16777216
-81566503125/16777216 -1871810019375/16777216 -91717828125/2097152 -691441126875/8388608
476168330625/16777216 625718855625/8388608 1807659793125/16777216 30537241875/262144
125236846875/8388608 -40544675625/1048576 1110878165625/16777216 -309139168125/8388608
115215871875/4194304 -906962825625/8388608 1313831746875/16777216 300888650625/4194304
-209672188125/16777216 -270177984375/8388608 1917322603125/16777216 410730969375/16777216
38698569375/2097152 2227445625/131072 98725516875/1048576 -1252935196875/16777216
-151323039375/2097152 -414503908125/4194304 -230920348125/2097152 -1291421120625/16777216
374889230625/16777216 -1641091411875/16777216 121695091875/8388608 -1041438268125/16777216
1606604923125/16777216 970978179375/16777216 51336118125/2097152 11999109375/4194304
992097759375/16777216 -749347565625/8388608 127082255625/8388608 1340110366875/16777216
-43383440625/524288 161091526875/8388608 -1510340458125/16777216 1102156846875/16777216
183372414375/16777216 1106054645625/16777216 292008545625/8388608 98802778125/4194304
-430596474375/8388608 1513709274375/16777216 109656204375/8388608 465081253125/16777216
-1106340560625/16777216 -130671215625/8388608 -530432645625/16777216 -1186968718125/16777216
355968755625/4194304 -890291795625/8388608 378107814375/16777216 79831408125/4194304
205971084375/8388608 -666322501875/16777216 -778141584375/8388608 743540398125/16777216
217848890625/2097152 -757396798125/16777216 764849499375/8388608 10834595625/2097152
-702903046875/16777216 -505218155625/16777216 1795702700625/16777216 854685448125/8388608
-876823925625/16777216 -326454365625/4194304 -467874556875/8388608 -718817308125/8388608
-687842053125/8388608 43521875625/2097152 164249124375/4194304 288128330625/16777216
-794950479375/8388608 -28340941875/8388608 -440700676875/16777216 689477814375/16777216
769328229375/8388608 -869560078125/16777216 25159918125/2097152 -698764659375/8388608
1781600364375/16777216 -1819953433125/16777216 -670403529375/16777216 113028181875/1048576
617839959375/8388608 -969230371875/16777216 -1227052141875/16777216 411247978125/16777216
-24431439375/8388608 197319268125/4194304 -2215816875/16777216 -939325820625/8388608
965811478125/8388608 739472814375/8388608 564414163125/16777216 260882709375/16777216
867377938125/8388608 -125456368125/4194304 1485572109375/16777216 -1777843843125/16777216
-586649203125/8388608 -1330462449375/16777216 718257361875/8388608 111259929375/16777216
321698799375/8388608 1348162569375/16777216 890088511875/8388608 1865122790625/16777216
-651912811875/16777216 1919771529375/16777216 828063504375/8388608 -287676860625/4194304
841622829375/8388608 -22594175625/4194304 117603500625/1048576 328485658125/4194304
-70360539375/2097152 -159502933125/4194304 1663025296875/16777216 73645659375/2097152
