800
-331668034375/8388608 -152835866875/4194304 -40024068125/524288 125153764375/4194304
-90413090625/8388608 -386146998125/8388608 142325871875/4194304 -453959705625/8388608
233822568125/4194304 79575110625/4194304 -190188176875/8388608 -21950004375/1048576
36727731875/8388608 497559005625/8388608 163443985625/4194304 -275056193125/8388608
-271461309375/4194304 186743898125/4194304 60176056875/2097152 -207297490625/4194304
-4419045625/65536 336368196875/8388608 177333775625/4194304 -404117158125/8388608
43240526875/8388608 -580893951875/8388608 205175666875/8388608 -569386121875/8388608
-40055404375/4194304 -135832505625/8388608 108987385625/2097152 -574301400625/8388608
-48602548125/4194304 30134068125/2097152 -264484689375/4194304 -667098014375/8388608
505191809375/8388608 79042256875/1048576 -460166983125/8388608 50408804375/2097152
-51131001875/8388608 9658469375/524288 -55303464375/1048576 536118294375/8388608
-50103959375/2097152 140165076875/8388608 -33420318125/4194304 -160511866875/4194304
524907879375/8388608 567597274375/8388608 378617729375/8388608 70893490625/1048576
395315090625/8388608 -538043015625/8388608 478731918125/8388608 327223894375/8388608
79184985625/8388608 296864183125/4194304 -81079328125/4194304 261461875/262144
26997475625/524288 2286826875/262144 -201794413125/8388608 71876353125/2097152
122406299375/8388608 -33130264375/8388608 180227511875/8388608 -47246701875/1048576
222082799375/4194304 204898161875/4194304 88885400625/4194304 -472421699375/8388608
-426379473125/8388608 68573095625/8388608 -331877075625/8388608 -620235343125/8388608
213270008125/4194304 273697564375/4194304 -112692578125/8388608 129932744375/8388608
-29395104375/524288 -3192828125/8388608 -124025689375/2097152 76809909375/8388608
-90327806875/4194304 286968275625/8388608 -283969895625/4194304 30125298125/4194304
558969023125/8388608 560417211875/8388608 620591394375/8388608 40044746875/524288
66194349375/8388608 274376311875/4194304 247368678125/8388608 136206348125/2097152
984635625/524288 -521983161875/8388608 -127070606875/4194304 445978864375/8388608
-34468483125/1048576 -502866875/8388608 228320165625/8388608 -24326713125/8388608
448690435625/8388608 40961513125/1048576 -563057226875/8388608 -156131385625/8388608
-2231783125/131072 -15280324375/4194304 126090835625/8388608 -12932978125/2097152
326207265625/8388608 -66341626875/8388608 94699223125/2097152 131653816875/8388608
-81711418125/2097152 127379608125/2097152 555143524375/8388608 -224119311875/4194304
292778960625/4194304 40253950625/524288 -281752044375/4194304 -330174619375/8388608
76669726875/2097152 234902278125/8388608 -9875158125/262144 -58924951875/4194304
84091603125/8388608 -520472304375/8388608 -226989785625/4194304 -184553593125/4194304
-70660333125/1048576 239044750625/8388608 13718245625/1048576 -40905675625/1048576
-641690576875/8388608 62936408125/1048576 201409828125/4194304 525272393125/8388608
-4200158125/2097152 3959116875/8388608 -5661721875/2097152 -259423050625/4194304
-140241876875/8388608 -577248579375/8388608 -28405045625/4194304 122334386875/4194304
12758716875/262144 64350289375/1048576 -47869936875/2097152 94720325625/4194304
168165470625/4194304 85499603125/2097152 476412228125/8388608 287704671875/8388608
14069044375/1048576 403871476875/8388608 157025356875/8388608 335068171875/8388608
-10571359375/1048576 365635010625/8388608 -47830140625/4194304 -648924054375/8388608
154422731875/4194304 -270910701875/8388608 158209618125/4194304 3031916875/2097152
-290006659375/4194304 -643181964375/8388608 -94453426875/8388608 -142565716875/4194304
59488726875/8388608 -16848501875/262144 599850461875/8388608 -467764514375/8388608
60877738125/4194304 -482977110625/8388608 346976323125/8388608 -31594964375/4194304
-123641619375/4194304 -521267561875/8388608 -229618498125/8388608 76723411875/8388608
-28866485625/8388608 308387991875/8388608 -185362749375/4194304 106933618125/2097152
-203015769375/4194304 231614670625/8388608 -215405695625/4194304 310459660625/8388608
-250409613125/4194304 -349319235625/8388608 220604285625/8388608 615415539375/8388608
-641002175625/8388608 66555394375/4194304 385782561875/8388608 414365309375/8388608
413641044375/8388608 4108468125/1048576 -93174561875/2097152 -8088640625/262144
18205433125/2097152 282656133125/4194304 -186304171875/8388608 -1675373125/32768
-21203535625/8388608 -510914720625/8388608 -627169651875/8388608 -62363276875/4194304
186466891875/8388608 -5387224375/131072 35277648125/1048576 -312350016875/4194304
-564438734375/8388608 -237997105625/8388608 -105873818125/2097152 -294441834375/8388608
41259693125/4194304 1208229375/262144 -243927124375/8388608 -164249378125/8388608
45867490625/1048576 -358509409375/8388608 -589843550625/8388608 8247320625/2097152
245230843125/4194304 -166586450625/2097152 -211544896875/8388608 -577786043125/8388608
271129189375/4194304 107424321875/8388608 647542793125/8388608 78202159375/1048576
118541365625/4194304 274891734375/4194304 -337865388125/8388608 262074344375/8388608
-100693605625/2097152 214015711875/8388608 -132254963125/8388608 276130684375/4194304
-192181838125/8388608 -257092799375/8388608 195205206875/4194304 -392746196875/8388608
-56577108125/2097152 158784008125/4194304 537663284375/8388608 -465035888125/8388608
226969926875/8388608 -254756885625/4194304 13390750625/8388608 -65260521875/4194304
378172723125/8388608 39865749375/8388608 250614119375/8388608 642298996875/8388608
21156726875/4194304 64515974375/2097152 -120934669375/2097152 -403295103125/8388608
-92932635625/4194304 -186169244375/4194304 -8912659375/1048576 -78548136875/2097152
-110556176875/2097152 623007920625/8388608 -541632729375/8388608 666731714375/8388608
-190671509375/8388608 -8473305625/262144 154721989375/4194304 593262763125/8388608
266536061875/8388608 79938009375/1048576 -97133219375/8388608 -81546968125/1048576
-274858674375/8388608 78670033125/2097152 468165865625/8388608 129795891875/8388608
81360221875/2097152 -44181530625/4194304 -150584439375/2097152 512411110625/8388608
587559988125/8388608 -214985858125/8388608 -54234706875/8388608 -39244539375/4194304
69934089375/1048576 17588723125/2097152 -403840938125/8388608 -298574025625/8388608
309251149375/8388608 655784885625/8388608 141956355625/2097152 25462244375/1048576
-286887331875/4194304 -35834783125/524288 -188114646875/8388608 150343631875/4194304
533016926875/8388608 -128086914375/8388608 -106262138125/4194304 -377112866875/8388608
37095674375/524288 384783884375/8388608 -35320661875/4194304 -579446356875/8388608
-292183230625/8388608 -29736340625/2097152 -239391708125/4194304 -74285763125/4194304
213392623125/4194304 -214869198125/8388608 241764325625/4194304 235351390625/4194304
-195746794375/8388608 -65491269375/2097152 69797754375/8388608 627881755625/8388608
-521705309375/8388608 35021263125/524288 -18182619375/8388608 -70582196875/2097152
322456825625/4194304 218406290625/4194304 -402300411875/8388608 -368497965625/8388608
-589323736875/8388608 382969353125/8388608 59851925625/2097152 -261715196875/4194304
-372042469375/8388608 -2300624375/524288 -80140535625/1048576 -37750444375/1048576
14131050625/4194304 -240500004375/4194304 408214568125/8388608 -548493419375/8388608
164495379375/4194304 79126868125/2097152 500672105625/8388608 -126113734375/4194304
380520966875/8388608 204239438125/4194304 442544690625/8388608 -16339584375/8388608
69919454375/1048576 -336070645625/8388608 29754473125/2097152 511109023125/8388608
488153561875/8388608 333753468125/4194304 3633914375/8388608 54057480625/8388608
-110518864375/4194304 268101134375/4194304 -233034630625/8388608 -30180033125/524288
259044721875/8388608 -527436053125/8388608 -466202068125/8388608 -108625199375/4194304
-98124705625/8388608 135702730625/8388608 -61988044375/4194304 35907933125/2097152
-360258564375/8388608 150270126875/4194304 4939586875/131072 456342236875/8388608
111370768125/4194304 -572549818125/8388608 160729456875/4194304 -241123626875/8388608
113505405625/8388608 118890444375/2097152 62412545625/1048576 -441061279375/8388608
-5250370625/4194304 295275830625/4194304 -182143279375/8388608 147228478125/8388608
1846045625/131072 -512537029375/8388608 213156516875/4194304 250565953125/8388608
-43298364375/2097152 181073385625/4194304 -110876035625/2097152 190609849375/4194304
268672696875/8388608 196738381875/4194304 -299757448125/4194304 -67384071875/4194304
197515773125/4194304 6387948125/2097152 -288712396875/4194304 -92077421875/8388608
251773984375/4194304 137610499375/8388608 12150176875/524288 3793618125/131072
567690830625/8388608 -267425675625/4194304 -23571198125/8388608 649608023125/8388608
127204299375/4194304 173186716875/4194304 -382352994375/8388608 -530242799375/8388608
1117889375/8388608 323496021875/4194304 76934266875/1048576 -330005768125/4194304
-177286663125/8388608 246867008125/4194304 70406760625/1048576 576422138125/8388608
-42308125/8192 621645513125/8388608 348536505625/8388608 -289682266875/8388608
-302942639375/8388608 252261406875/8388608 187151451875/8388608 163923670625/8388608
-635407018125/8388608 346763323125/8388608 222576243125/8388608 3624939375/131072
-99122390625/4194304 190616718125/8388608 14118281875/524288 557095941875/8388608
357970611875/8388608 -46875934375/8388608 45024138125/8388608 79356863125/1048576
-79292300625/1048576 577685640625/8388608 238022034375/8388608 -101691166875/4194304
33914300625/4194304 10884670625/524288 -327897533125/4194304 85408700625/4194304
639898729375/8388608 156795224375/2097152 489482824375/8388608 -367923783125/8388608
-90185806875/2097152 -131459610625/4194304 -361329210625/8388608 30116964375/4194304
-150402100625/4194304 -225551499375/4194304 204878926875/4194304 84338700625/8388608
107257170625/8388608 60438943125/4194304 -162960640625/4194304 250022851875/8388608
219018775625/8388608 287526028125/4194304 123844600625/2097152 226119000625/8388608
298708916875/4194304 -377577450625/8388608 -619219280625/8388608 -107351514375/8388608
-10855129375/4194304 476783810625/8388608 92296758125/8388608 82133536875/1048576
225506436875/8388608 199220031875/8388608 10069464375/1048576 102164195625/4194304
-86757236875/2097152 -454946168125/8388608 -293493929375/4194304 -15625344375/4194304
187418804375/4194304 -103789878125/8388608 351950823125/8388608 -29092646875/4194304
-306339689375/4194304 254663694375/4194304 -288434461875/4194304 -364104338125/8388608
-359027054375/8388608 -274061933125/4194304 -96201721875/8388608 217563295625/4194304
-3829348125/524288 369048609375/8388608 77841175625/2097152 164018205625/8388608
-111174063125/2097152 56291955625/8388608 456298633125/8388608 197243740625/4194304
222493651875/8388608 476965773125/8388608 25496965625/4194304 225200968125/4194304
-325739284375/8388608 16152316875/8388608 -364267504375/8388608 -97870965625/2097152
-485716215625/8388608 49664115625/2097152 -471909384375/8388608 -19121568125/4194304
429146308125/8388608 241551261875/8388608 -346547859375/8388608 -272428641875/4194304
645978769375/8388608 651055521875/8388608 631363969375/8388608 74251796875/4194304
-3192590625/524288 -374496975625/8388608 -67766663125/1048576 -3606326875/131072
124927510625/4194304 -20150190625/4194304 -516216325625/8388608 -291573829375/4194304
4148721875/2097152 -121204829375/8388608 -387048485625/8388608 -38581023125/8388608
-162431935625/2097152 219625801875/4194304 -33404308125/524288 -16053798125/1048576
-327712975625/8388608 -545492015625/8388608 267742571875/8388608 -33877649375/8388608
214256669375/4194304 60236615625/8388608 -43480915625/1048576 618190265625/8388608
-92546263125/2097152 -60043735625/2097152 -65792485625/8388608 98278860625/4194304
-201748713125/8388608 23329224375/2097152 -98163883125/2097152 -71351499375/2097152
-46466904375/4194304 -39603288125/524288 277646825625/4194304 -243580865625/4194304
244150488125/8388608 -73759104375/2097152 -37800531875/524288 143295844375/4194304
-332405689375/4194304 114530531875/2097152 -273565536875/4194304 -822595625/1048576
-2811808125/1048576 -543667341875/8388608 356770175625/8388608 -487461004375/8388608
-75360319375/1048576 185927116875/8388608 -289958505625/8388608 13793208125/2097152
-225982729375/8388608 8488785625/524288 -668750123125/8388608 38179158125/4194304
-226405286875/8388608 647162159375/8388608 -68501054375/4194304 2554180625/4194304
30694855625/1048576 68984029375/8388608 151705666875/2097152 -163656114375/8388608
-208152456875/8388608 -242164601875/4194304 294525376875/4194304 -572683639375/8388608
-41151330625/1048576 -240926510625/8388608 168654594375/4194304 -79915146875/8388608
-296054530625/4194304 -608053540625/8388608 -320990544375/8388608 -292904993125/4194304
439939155625/8388608 -58825888125/2097152 86179770625/8388608 25653465625/1048576
81000543125/8388608 -206651993125/4194304 -605215308125/8388608 -432164320625/8388608
-135874798125/2097152 240958626875/4194304 88236425625/2097152 -20634456875/524288
-8933595625/8388608 333174784375/8388608 -670268985625/8388608 -51180580625/2097152
-665304724375/8388608 -159166354375/8388608 -1326886875/4194304 -71552301875/4194304
223766619375/8388608 -120423286875/8388608 41432664375/1048576 -15220551875/4194304
394359263125/8388608 338814374375/8388608 620861396875/8388608 51665743125/8388608
74247519375/8388608 -360023769375/8388608 -25150033125/1048576 -136591315625/2097152
-160262234375/4194304 160863838125/2097152 21273896875/8388608 21710856875/8388608
-16496521875/4194304 189152224375/4194304 -25895414375/1048576 248806365625/8388608
-304392625625/8388608 -436133563125/8388608 2059539375/131072 -106945090625/2097152
-123309051875/8388608 368519529375/8388608 3109450625/131072 -37992760625/1048576
10962695625/8388608 449020756875/8388608 -332957079375/4194304 75063984375/8388608
-484211875/8192 -120097598125/2097152 -85681070625/8388608 156207198125/4194304
-499932823125/8388608 -85770044375/4194304 -412370716875/8388608 -120142840625/4194304
-70783459375/2097152 -326980703125/4194304 400618100625/8388608 340296093125/8388608
