1400
469776216875/33554432 794884890625/33554432 2762164216875/33554432 1413787178125/16777216
4399759494375/33554432 -747280480625/16777216 90096776875/16777216 1200230976875/33554432
2572209898125/33554432 -3350013436875/33554432 1222299780625/16777216 -385851825625/16777216
-25877446875/2097152 -1960095431875/33554432 1786072981875/33554432 -112485428125/2097152
-4519857286875/33554432 -805236368125/8388608 -2107151685625/33554432 1439533545625/33554432
4160852758125/33554432 -1193269546875/16777216 4240193050625/33554432 2307543249375/33554432
-1362451094375/16777216 2612337914375/33554432 -863509241875/8388608 -2120609141875/33554432
-857032903125/16777216 1943022493125/16777216 377571971875/16777216 3922348495625/33554432
904025303125/16777216 2223780663125/33554432 291667341875/2097152 554189488125/8388608
-3845880119375/33554432 -111589926875/16777216 -1393456001875/33554432 2155267813125/16777216
44699755625/524288 4439409935625/33554432 -120476103125/16777216 -345352651875/16777216
-2271626721875/33554432 1880180238125/16777216 708313528125/33554432 -403066654375/16777216
-3582289143125/33554432 -197000829375/4194304 116251183125/1048576 -1233900338125/33554432
1074524933125/33554432 623408209375/8388608 -914097051875/16777216 -583520581875/16777216
-1332127540625/16777216 2026462860625/33554432 -565304814375/4194304 -4102405435625/33554432
1052047749375/33554432 -4580531160625/33554432 -1096030429375/8388608 -1102696153125/16777216
2206970889375/16777216 -2695877629375/33554432 -567812870625/16777216 -2348206319375/16777216
2239278146875/16777216 2136303693125/16777216 -4330152194375/33554432 384623640625/4194304
1770392833125/16777216 861741698125/33554432 4286924560625/33554432 4114343848125/33554432
-519968535625/8388608 4092261814375/33554432 -3733590599375/33554432 2241037491875/33554432
-2694629739375/33554432 -3631346026875/33554432 3181343956875/33554432 -6520871875/262144
2125447813125/33554432 -1250180850625/33554432 1996312696875/16777216 319195463125/16777216
-1328171805625/16777216 715611780625/16777216 26803669375/262144 -1697049283125/33554432
-307850983125/33554432 3471378500625/33554432 44619631875/16777216 3479140039375/33554432
1879728650625/33554432 2822825560625/33554432 1035866750625/33554432 -4510823926875/33554432
-537976928125/16777216 -511952774375/33554432 1247504881875/33554432 2847007848125/33554432
-1454266603125/33554432 1162188383125/8388608 1062333820625/33554432 -193390728125/33554432
-871659753125/33554432 -1502852701875/16777216 74785466875/16777216 -614793038125/33554432
2099435625/65536 1459039185625/16777216 3515219115625/33554432 2049987288125/16777216
-50441873125/1048576 2129448759375/33554432 -1096714801875/16777216 -4685520984375/33554432
-1436794148125/33554432 309222668125/16777216 126801705625/4194304 1034129201875/33554432
465268286875/4194304 465159673125/16777216 -3979839889375/33554432 383717411875/16777216
3491192630625/33554432 -4131016553125/33554432 -24042318125/2097152 -456809128125/16777216
-2002900965625/33554432 -273386465625/2097152 2087067443125/16777216 -380266044375/8388608
76026103125/2097152 3180742919375/33554432 1153802488125/16777216 875509131875/33554432
-589465253125/33554432 -2094298574375/33554432 -2124339888125/16777216 108819755625/16777216
-1741724280625/33554432 -3322470335625/33554432 13756264375/4194304 -3030695600625/33554432
12189270625/524288 141735558125/16777216 651874470625/16777216 -2245681668125/33554432
2539021261875/33554432 1960516595625/16777216 -3374209374375/33554432 3358748185625/33554432
1829122080625/16777216 -384639766875/8388608 2672468605625/33554432 20282198125/1048576
-147512421875/8388608 -422917333125/16777216 -704941943125/33554432 -1193068069375/33554432
2164662171875/16777216 137995449375/4194304 -68397713125/524288 57794970625/33554432
-1622023361875/33554432 152327686875/16777216 324578244375/16777216 318760859375/8388608
486405486875/16777216 -828554943125/8388608 2037071981875/16777216 -499473410625/33554432
-366856109375/33554432 -459203311875/33554432 -3511273854375/33554432 -2795585541875/33554432
1076002781875/33554432 -688874606875/33554432 -4558713691875/33554432 -401763245625/16777216
-4270970361875/33554432 13624209375/4194304 -1593131841875/33554432 -2432718395625/33554432
413027488125/33554432 -934207929375/8388608 -4016727203125/33554432 521198374375/16777216
-4681249418125/33554432 2215662456875/16777216 1449854433125/33554432 4679403614375/33554432
-2447246808125/33554432 -497071325625/16777216 153058591875/16777216 529680020625/33554432
2336732015625/16777216 3559927809375/33554432 47917454375/524288 -112240804375/33554432
-36537834375/8388608 3505206516875/33554432 -1466349574375/33554432 1533485016875/33554432
-1204055741875/33554432 45995464375/524288 1128811219375/16777216 1989415771875/33554432
-2057830455625/33554432 -1094655191875/8388608 -1554416355625/33554432 4231984780625/33554432
-63310625/131072 2105427944375/16777216 -1407729710625/33554432 -2089785079375/16777216
588970571875/16777216 1245873313125/16777216 87401269375/1048576 11214266875/4194304
878286714375/8388608 -4130387323125/33554432 1925826861875/33554432 6403875625/65536
1083318648125/33554432 -3903048139375/33554432 1085314313125/16777216 -2272543371875/16777216
-329648458125/4194304 3497283068125/33554432 -1031910770625/16777216 -243124739375/8388608
-33605718125/8388608 66592771875/16777216 -2035271896875/16777216 531231728125/4194304
-1472295400625/33554432 -438827186875/8388608 -1279235479375/16777216 -444856733125/16777216
-1137880419375/16777216 72677688125/8388608 171932026875/8388608 -1798060569375/33554432
975078741875/8388608 -241724293125/4194304 3570738889375/33554432 262796043125/4194304
-2037543449375/33554432 -545827148125/33554432 1464290261875/33554432 233726889375/33554432
2634749709375/33554432 2014264013125/16777216 -2054096436875/33554432 3087687806875/33554432
4188924289375/33554432 -284716245625/4194304 -2398644723125/33554432 57804840625/33554432
1284482460625/33554432 -2389444955625/33554432 -3955338673125/33554432 630695734375/33554432
1491630319375/16777216 -2269121036875/16777216 384231780625/4194304 2277777560625/16777216
-2063032531875/33554432 -268146239375/8388608 488677713125/16777216 -967091750625/16777216
-2876964155625/33554432 -1143530618125/8388608 -3835188966875/33554432 186397876875/16777216
-1467057326875/33554432 -324388824375/33554432 2839396835625/33554432 -212276701875/16777216
1973914928125/33554432 -1122596768125/16777216 -2957129608125/33554432 -152809033125/16777216
1902454019375/33554432 -2990044273125/33554432 -782673758125/16777216 276395993125/8388608
-2417939916875/33554432 1605606646875/33554432 1560885983125/33554432 549440583125/16777216
181976598125/16777216 -963807193125/8388608 -483824534375/33554432 -975073736875/16777216
-422527529375/8388608 1571285664375/16777216 2029484218125/16777216 -1675449680625/33554432
2129367848125/33554432 -2204535484375/16777216 1004219383125/16777216 1974708736875/16777216
1581936024375/16777216 -1527773918125/16777216 325530576875/4194304 913171328125/16777216
-4569696744375/33554432 -826677359375/33554432 1676103620625/16777216 -2139280828125/16777216
-689910834375/16777216 2207223615625/33554432 2122081591875/33554432 827951586875/33554432
-1375817104375/16777216 2991243110625/33554432 4081311224375/33554432 1460541586875/33554432
324716048125/33554432 1350530243125/16777216 4618953268125/33554432 -427445869375/4194304
-3436936120625/33554432 -1447605849375/33554432 -587010886875/16777216 -1955228795625/33554432
1742152444375/33554432 -4017486878125/33554432 -86702791875/16777216 -263501713125/8388608
-821800468125/8388608 -145838564375/1048576 -4496361051875/33554432 1375226339375/16777216
1898971904375/16777216 -4506601623125/33554432 -2651429064375/33554432 -1388177354375/33554432
-1318890925625/33554432 553963633125/33554432 -227018780625/4194304 -3533452531875/33554432
1650022355625/16777216 -4104240424375/33554432 1248852583125/33554432 1415115288125/33554432
-1809289706875/33554432 -406103954375/4194304 -881288183125/8388608 2724299178125/33554432
-4181831609375/33554432 343989016875/8388608 2056335876875/33554432 219971206875/8388608
-1118771871875/8388608 -20937739375/262144 3743974451875/33554432 242833731875/8388608
158260711875/8388608 503592298125/4194304 1806297224375/33554432 -3873414601875/33554432
-544962639375/16777216 -1917488391875/33554432 -656369048125/16777216 -74941418125/4194304
-3691242734375/33554432 -2848427071875/33554432 715918949375/16777216 -2254455748125/33554432
3411926083125/33554432 -1024228874375/8388608 4634845709375/33554432 387696946875/8388608
-1428957551875/16777216 161823239375/33554432 2081944843125/33554432 672811111875/33554432
-236885219375/4194304 15454359375/131072 -665171740625/33554432 1852901491875/33554432
-4647026216875/33554432 -1102846294375/8388608 -565899245625/16777216 345204050625/33554432
-61855985625/8388608 -22204888125/16777216 -714776278125/16777216 1249802500625/16777216
2489125506875/33554432 465976581875/4194304 4020920911875/33554432 944669149375/33554432
3798391996875/33554432 -3439228078125/33554432 -1044773716875/33554432 -960249198125/16777216
-3630041743125/33554432 -759401295625/8388608 1591700691875/33554432 -1300894826875/33554432
921668514375/8388608 -905198704375/16777216 -1175067263125/16777216 205220308125/2097152
1652101154375/33554432 1241352896875/33554432 -1432802354375/33554432 610325699375/8388608
-380229058125/4194304 161400999375/4194304 -4444685468125/33554432 1821465839375/16777216
3824422415625/33554432 -67377979375/2097152 56565350625/524288 -1773157999375/16777216
2094897538125/16777216 65136439375/2097152 -1803091836875/33554432 -2914577658125/33554432
-1847094020625/16777216 1401833986875/33554432 3181512096875/33554432 43207784375/8388608
-3134963094375/33554432 -548726548125/16777216 -3277933850625/33554432 -816358790625/16777216
-1193403071875/33554432 3851817650625/33554432 582539348125/16777216 562404688125/33554432
1065780865625/8388608 329570574375/8388608 4437719838125/33554432 -178014361875/8388608
4598873951875/33554432 -1144473526875/16777216 964258334375/16777216 83661825625/1048576
-3157914913125/33554432 3625933994375/33554432 359544854375/16777216 793315438125/33554432
-4195195414375/33554432 -1361117165625/16777216 -321890463125/16777216 283945624375/16777216
4100480295625/33554432 513182035625/33554432 -214571363125/4194304 101530410625/33554432
1687534471875/16777216 1068072175625/16777216 558117581875/33554432 1704908375625/16777216
70998108125/33554432 108710013125/2097152 40684608125/4194304 -521739868125/33554432
921118900625/33554432 1908572885625/33554432 -44473279375/8388608 -1269502478125/33554432
279672544375/4194304 320652434375/4194304 2187066704375/33554432 -422086826875/33554432
-134143830625/16777216 830861206875/33554432 3338086408125/33554432 -2310338069375/33554432
25830153125/4194304 -642908896875/33554432 -38449324375/4194304 2221211951875/16777216
1586232659375/16777216 720645165625/16777216 2977993335625/33554432 543651810625/16777216
242840101875/33554432 -2623513773125/33554432 -1168321608125/16777216 -265345110625/8388608
-91537324375/4194304 -3709186674375/33554432 -80652928125/1048576 652104324375/16777216
-3175377331875/33554432 2872445384375/33554432 605704658125/33554432 -3713423783125/33554432
-1522850739375/33554432 69057576875/524288 -2048539154375/33554432 -3398739964375/33554432
-4027601090625/33554432 -1957234015625/33554432 -3261476859375/33554432 486048084375/4194304
14992385625/262144 -1626741256875/16777216 1563511411875/33554432 2563063663125/33554432
-1203034538125/16777216 -1612341443125/16777216 1366931505625/16777216 -1957050510625/33554432
270258673125/4194304 1440665541875/16777216 1905712974375/16777216 3048159471875/33554432
-833744218125/8388608 690330545625/33554432 -2054926260625/16777216 428332664375/16777216
637411140625/8388608 -911894720625/33554432 -3672882005625/33554432 -416514634375/33554432
2053157675625/33554432 977122680625/33554432 -1219269095625/33554432 -3663029374375/33554432
-113556349375/8388608 -3359662271875/33554432 12727045625/262144 4317056541875/33554432
-1391537844375/33554432 1429388795625/33554432 1598029391875/16777216 2966382698125/33554432
3287035005625/33554432 -2327730741875/33554432 -986382613125/16777216 537174570625/16777216
-1039720346875/33554432 809617484375/33554432 944427841875/33554432 4214459965625/33554432
-277473958125/16777216 1996498581875/33554432 320914934375/16777216 -2308968046875/33554432
1913347830625/16777216 1564166769375/16777216 4686712305625/33554432 -403663036875/16777216
119005805625/8388608 139294736875/1048576 -32049504375/16777216 -595979943125/16777216
3682310620625/33554432 1842464404375/33554432 -1802258618125/33554432 -84670945625/2097152
-699166741875/33554432 -445038645625/16777216 4010417796875/33554432 -1423776921875/16777216
-1008566654375/16777216 244554638125/8388608 -2237647181875/16777216 1433534431875/33554432
26136963125/262144 2195262015625/33554432 4312054096875/33554432 -657414839375/8388608
2130261756875/33554432 -855067661875/16777216 -4312458031875/33554432 -883800929375/16777216
-1831652073125/33554432 -680942215625/16777216 2911620656875/33554432 191829500625/8388608
-95559585625/8388608 -731586603125/16777216 1278225685625/33554432 -1930013098125/33554432
3809297629375/33554432 -483355954375/8388608 4125374141875/33554432 -7523429375/8388608
1239597428125/16777216 -1776231961875/33554432 -112357205625/1048576 220732106875/16777216
-41906773125/1048576 -3923576575625/33554432 1103464350625/33554432 1670072805625/33554432
1847556344375/33554432 -669054946875/16777216 1015943481875/33554432 86625914375/2097152
-280507854375/4194304 -4398233468125/33554432 3119951506875/33554432 3770851748125/33554432
-2276521795625/16777216 1113496881875/8388608 1999354975625/33554432 -4250666135625/33554432
-738650521875/8388608 3983144370625/33554432 3785753759375/33554432 518624894375/4194304
1430157448125/33554432 -4462142505625/33554432 -4519736169375/33554432 -1187345569375/16777216
-939457710625/8388608 -2250173541875/16777216 3946992310625/33554432 4469099718125/33554432
1753039719375/33554432 -2335267939375/16777216 -3429423948125/33554432 -4476676028125/33554432
-516462848125/4194304 -1321168226875/33554432 1136989389375/33554432 484508145625/4194304
4038377791875/33554432 1929272104375/16777216 1901731295625/33554432 1806788965625/16777216
323208405625/8388608 -1322947066875/16777216 -2036248641875/33554432 -57097420625/524288
1602223555625/33554432 -1637362715625/33554432 -1662375019375/16777216 3155938428125/33554432
-1430546018125/16777216 -461622879375/16777216 -2709410239375/33554432 -279474575625/16777216
-310426930625/16777216 -1071706671875/16777216 1935169928125/16777216 -4108055984375/33554432
695881808125/16777216 2968003758125/33554432 3161223979375/33554432 3993455615625/33554432
3103187198125/33554432 721969268125/8388608 -57569885625/33554432 781898166875/16777216
-1764854870625/16777216 449878454375/8388608 -401993641875/8388608 -1695080340625/16777216
1480585106875/16777216 1484079463125/16777216 2435039201875/33554432 1386234154375/33554432
1341384585625/16777216 -426959483125/16777216 -181341505625/16777216 -919723389375/33554432
1019750825625/16777216 -4256798363125/33554432 360045144375/33554432 -1128580298125/8388608
-240460976875/4194304 -2161999424375/16777216 -1156492124375/8388608 -105236193125/4194304
-1347324313125/16777216 4095013251875/33554432 1145158756875/33554432 -419651588125/16777216
-3450692818125/33554432 -520824058125/33554432 -1247445154375/16777216 -368761483125/16777216
230217649375/2097152 -3804737636875/33554432 866393416875/8388608 -110812034375/8388608
3732574129375/33554432 1145470484375/33554432 275623516875/2097152 -4580480480625/33554432
-206285174375/8388608 -272257365625/4194304 -29545691875/524288 -798089788125/16777216
242281825625/8388608 -2951685708125/33554432 -880021174375/8388608 1754993226875/33554432
3281718470625/33554432 -3833542365625/33554432 2006906811875/16777216 -1399755651875/16777216
-1622711864375/33554432 484197065625/33554432 4166241813125/33554432 -788056478125/33554432
431642439375/33554432 -350744323125/33554432 -4108698356875/33554432 3555015428125/33554432
-1956825793125/16777216 924552575625/8388608 121669016875/4194304 -1925916033125/16777216
1272433798125/16777216 2815665890625/33554432 1120750666875/16777216 78758448125/4194304
-311727478125/4194304 3539270074375/33554432 48903141875/1048576 179522485625/8388608
245103166875/4194304 2410271416875/33554432 80146276875/1048576 -2063501908125/16777216
-3465530805625/33554432 1266194706875/16777216 218453729375/4194304 1502970013125/33554432
-3980669231875/33554432 4596823468125/33554432 574380209375/8388608 -4392383314375/33554432
-1813950166875/33554432 53627949375/524288 4360074070625/33554432 31429111875/524288
-45970369375/1048576 208449959375/33554432 1802058636875/33554432 630700879375/16777216
-324339605625/4194304 -743937158125/8388608 -332083985625/16777216 1000951546875/8388608
-1054770329375/8388608 3437560485625/33554432 -266595231875/4194304 -2024589896875/16777216
-54161305625/33554432 -32280556875/16777216 -170475405625/4194304 2024754965625/33554432
-2981473858125/33554432 1206843290625/33554432 -379250169375/33554432 499177345625/8388608
807651648125/33554432 21669939375/8388608 -4085048104375/33554432 -297422943125/4194304
3241700380625/33554432 -1054212613125/33554432 -2673210413125/33554432 -1149160000625/33554432
344524315625/4194304 -4300484733125/33554432 -1845325890625/33554432 -958328879375/16777216
3776172211875/33554432 -587127515625/33554432 1472401433125/33554432 2887892214375/33554432
-1910385334375/16777216 -283572340625/4194304 -1266437606875/16777216 3467411171875/33554432
1983795121875/16777216 1701969320625/33554432 833901368125/8388608 33810730625/262144
1276333944375/33554432 -295823801875/8388608 3860596648125/33554432 437757796875/16777216
1000762433125/33554432 160028246875/2097152 -1305442963125/33554432 -2352888838125/33554432
-2208100566875/33554432 382450866875/4194304 -215262709375/8388608 1723264589375/33554432
1827468908125/33554432 4583803328125/33554432 -1488140250625/33554432 2834495076875/33554432
987909330625/8388608 -191239050625/33554432 96286500625/1048576 3164575798125/33554432
3786365541875/33554432 -431632516875/33554432 2108177693125/16777216 776595588125/8388608
-16365470625/8388608 689207150625/8388608 -1811599330625/16777216 -2211049623125/33554432
1925129871875/33554432 4024960008125/33554432 1833888485625/16777216 -3899901630625/33554432
-412600733125/16777216 -1052407120625/8388608 828152793125/8388608 85631205625/2097152
234849838125/4194304 -2500666783125/33554432 3904695930625/33554432 -1036551385625/33554432
-2230622550625/16777216 -3983861354375/33554432 107664265625/1048576 -1517911023125/33554432
-868389694375/33554432 309290069375/33554432 -2572543973125/33554432 2238842685625/33554432
-3058233880625/33554432 2651272596875/33554432 -175131508125/4194304 1418266766875/16777216
-3447501911875/33554432 -149540278125/4194304 333389398125/16777216 935058569375/8388608
-484195718125/16777216 4161171249375/33554432 1022278998125/8388608 33881999375/524288
-82847244375/4194304 2006575991875/33554432 4289030221875/33554432 1246021013125/33554432
224094661875/33554432 784222061875/33554432 918144950625/16777216 12448935625/4194304
-2720396056875/33554432 4065412019375/33554432 3888493879375/33554432 -369062570625/8388608
989749350625/33554432 447569198125/4194304 429596356875/16777216 150603718125/4194304
-995849378125/16777216 3130136130625/33554432 -1071515939375/16777216 4312566006875/33554432
-2279599783125/33554432 467263006875/8388608 1548059664375/33554432 1439594883125/33554432
-2253196981875/16777216 -1854244231875/33554432 868542381875/16777216 -1484659780625/33554432
1945688014375/16777216 -4423829160625/33554432 -134968141875/8388608 -2068724800625/16777216
1093205194375/8388608 2319261975625/16777216 -112855045625/33554432 -3530763175625/33554432
-1230699028125/16777216 -135108736875/4194304 1766428125/131072 3070348754375/33554432
1060720329375/16777216 2495437494375/33554432 -1448784596875/33554432 973267579375/8388608
-281257834375/8388608 -2028149676875/33554432 1224434561875/16777216 -559747890625/16777216
485609096875/16777216 794453856875/8388608 -1849999913125/33554432 3816248708125/33554432
-526268334375/16777216 -2012362331875/33554432 462589456875/4194304 144944279375/16777216
-11462513125/131072 -1064714179375/16777216 -52102281875/2097152 -3394380486875/33554432
381188058125/16777216 1641823176875/16777216 3396775046875/33554432 1552963671875/33554432
4451332886875/33554432 -292969333125/4194304 -957986211875/8388608 711015003125/33554432
-1386557178125/33554432 -200988851875/16777216 2511177475625/33554432 -3190213858125/33554432
4680750720625/33554432 -2592490359375/33554432 286968294375/2097152 375014259375/33554432
-2790543494375/33554432 1727836044375/33554432 909317303125/8388608 2331734759375/33554432
-979374318125/33554432 652399680625/33554432 2046292381875/16777216 -3031949046875/33554432
-3381418088125/33554432 275117723125/2097152 -253059576875/8388608 1106225981875/8388608
-1014888625625/8388608 -1525410385625/16777216 -775416473125/33554432 1917243173125/16777216
1926946678125/33554432 1150162418125/16777216 -3301527411875/33554432 244630605625/4194304
-2391256875/8388608 -4467693514375/33554432 -622136020625/8388608 -3289969160625/33554432
168053746875/33554432 396133329375/4194304 -154118033125/33554432 -645728251875/16777216
2657401053125/33554432 -528297196875/8388608 -1121852186875/33554432 1648581711875/16777216
2921780911875/33554432 184647404375/2097152 3133991100625/33554432 -2197770605625/33554432
2583758183125/33554432 -2178935224375/33554432 183677431875/16777216 3885578834375/33554432
-665292753125/33554432 -530050233125/33554432 2573957211875/33554432 -3219907376875/33554432
-1268809250625/16777216 4546029140625/33554432 1260779970625/33554432 1632804009375/33554432
411847743125/8388608 314798579375/4194304 1022276075625/16777216 -934123316875/33554432
-1860104308125/33554432 -1465847578125/33554432 -607735445625/33554432 2043148961875/16777216
1467857776875/16777216 -2318953406875/33554432 473830739375/33554432 -42343406875/8388608
-3104704806875/33554432 974893084375/33554432 -219682955625/8388608 -1663450989375/16777216
3184264374375/33554432 -1800185743125/16777216 3648813608125/33554432 3842291376875/33554432
-273903126875/33554432 -836389605625/33554432 3834063025625/33554432 -1026781503125/8388608
114407225625/33554432 -614612788125/16777216 2619547599375/33554432 456129393125/4194304
-417599546875/16777216 -112937409375/8388608 -456456301875/16777216 -906579358125/16777216
-3755311861875/33554432 -2407174056875/33554432 1111763961875/16777216 -1791142373125/16777216
-2004220579375/16777216 -2300840005625/33554432 -296953934375/4194304 806882321875/33554432
-3836604970625/33554432 3250516521875/33554432 4291969303125/33554432 973617334375/8388608
-3662426105625/33554432 -21580348125/1048576 -4134268105625/33554432 1632884211875/33554432
1409858891875/16777216 1653617021875/33554432 4078651845625/33554432 142220019375/1048576
3124997255625/33554432 -990681776875/16777216 -518279776875/8388608 -440862900625/33554432
872353794375/8388608 574095221875/33554432 389993463125/33554432 1781088273125/16777216
-5372364375/131072 -574746090625/33554432 -4099855606875/33554432 4522429918125/33554432
-208051038125/4194304 496956026875/8388608 -3323254694375/33554432 3060137793125/33554432
-227017021875/16777216 178308878125/8388608 -1337592090625/16777216 -904613495625/33554432
-2255814666875/16777216 -344009159375/33554432 4574546834375/33554432 1315567386875/16777216
-1697712524375/33554432 4136075934375/33554432 -556449105625/4194304 1949857441875/16777216
-312565955625/33554432 -257048833125/33554432 -3121863924375/33554432 -371082481875/33554432
1196264820625/33554432 1319189099375/33554432 987134518125/33554432 -798294363125/16777216
1030203216875/33554432 3974483760625/33554432 -61464213125/4194304 -1411574688125/16777216
-129863916875/4194304 2603930923125/33554432 -432057215625/33554432 -3583520311875/33554432
-895046613125/16777216 1837952195625/33554432 -1372147686875/33554432 997199380625/8388608
-1771004309375/33554432 1601833673125/33554432 1175238771875/33554432 -561614423125/4194304
2997028776875/33554432 -788071449375/33554432 -958252220625/33554432 378350345625/16777216
2113545888125/16777216 -1968106870625/16777216 619410229375/33554432 -4000865745625/33554432
466302851875/4194304 -2238526801875/16777216 -2305427228125/16777216 2982707879375/33554432
3748160574375/33554432 -299373458125/8388608 -2290754746875/16777216 -190843874375/33554432
-103680740625/33554432 242601655625/8388608 -3519435863125/33554432 423271323125/16777216
-843364650625/16777216 -4136969606875/33554432 145456775625/1048576 -2710218651875/33554432
-934817008125/8388608 4189094126875/33554432 -3646855296875/33554432 -1080146878125/8388608
-4041062676875/33554432 -402880034375/33554432 -1068333791875/16777216 -2739856319375/33554432
1428126371875/33554432 2144636659375/33554432 610628029375/16777216 -1169841999375/8388608
-92550653125/4194304 1150203709375/33554432 1245372314375/16777216 2608838614375/33554432
4010439951875/33554432 296730293125/16777216 1241392385625/16777216 1232683064375/16777216
2948357173125/33554432 1939895785625/33554432 -3276135489375/33554432 -2146882968125/33554432
-4680454690625/33554432 1808436923125/16777216 -2477327304375/33554432 -988758570625/8388608
-105669930625/33554432 4343419329375/33554432 -580495129375/4194304 74557651875/4194304
4362516370625/33554432 2310944208125/33554432 -527745789375/16777216 -709574228125/16777216
1406503459375/16777216 -4368122399375/33554432 1149187414375/33554432 -264403636875/8388608
-2937757685625/33554432 2827345583125/33554432 454588106875/33554432 -1016009448125/16777216
-7801906875/33554432 1180254630625/16777216 111705365625/8388608 10881110625/33554432
-564067634375/8388608 1147043953125/16777216 -2046136343125/33554432 -3337785705625/33554432
386833339375/4194304 -225149666875/2097152 364704886875/8388608 4017267883125/33554432
3468767938125/33554432 -1977230801875/16777216 891993151875/33554432 2445967006875/33554432
-2202191350625/16777216 235835123125/4194304 196231713125/8388608 -1052106470625/33554432
-4232011503125/33554432 798748260625/33554432 -3840334780625/33554432 4220630106875/33554432
1042523855625/16777216 -2493942871875/33554432 1123904105625/33554432 -1682770805625/33554432
-1057984703125/16777216 -2126798603125/16777216 -333331061875/33554432 916526760625/8388608
-1378940889375/16777216 -3601059074375/33554432 4068968378125/33554432 125663129375/16777216
-653705845625/16777216 -53579728125/2097152 -2059112514375/33554432 -1608924428125/16777216
435357531875/8388608 -615826343125/8388608 -2736792366875/33554432 -4346348768125/33554432
-3610296090625/33554432 -5420603125/65536 1226012361875/16777216 1313606380625/16777216
-3158209114375/33554432 4243557723125/33554432 3475410876875/33554432 3453653616875/33554432
837755970625/8388608 1036144265625/8388608 -1670256126875/33554432 -132827244375/4194304
-1435201656875/16777216 -4095983189375/33554432 -4050498571875/33554432 2291957810625/16777216
684540994375/8388608 -511116388125/33554432 -3141371786875/33554432 -2079725851875/33554432
-651415113125/16777216 4276078270625/33554432 3352000798125/33554432 -2222047393125/33554432
-3067247168125/33554432 -439704724375/8388608 -1480922349375/16777216 -865332496875/33554432
1207764665625/33554432 -415761355625/33554432 2244117185625/33554432 2872006449375/33554432
-286025735625/8388608 11346864375/16777216 1071506244375/33554432 19816199375/8388608
4125331896875/33554432 -264445890625/2097152 236030169375/4194304 407406925625/8388608
4124718635625/33554432 -3513390418125/33554432 -1346161534375/33554432 3064438295625/33554432
202174074375/8388608 -476098651875/33554432 3632212889375/33554432 -1085405978125/8388608
459286909375/16777216 -948339713125/8388608 -335492171875/16777216 -1229876169375/33554432
199703809375/33554432 -2343098445625/33554432 -474746584375/33554432 193268368125/16777216
-36244779375/524288 605137115625/8388608 -1156133846875/16777216 1770610883125/33554432
2090584803125/16777216 -2916073846875/33554432 -4511421324375/33554432 69928709375/1048576
-164924948125/4194304 3239526950625/33554432 332997756875/33554432 173692124375/8388608
