2000
1254752384375/16777216 183893121875/8388608 -1242933203125/16777216 604931153125/16777216
1870048946875/16777216 -2164642378125/16777216 308124059375/8388608 1246815296875/8388608
-3190863771875/16777216 -3049079171875/16777216 490052796875/8388608 92041946875/8388608
-2728140628125/16777216 3180462734375/16777216 1631552009375/8388608 1154290728125/16777216
-490210778125/4194304 -444477271875/16777216 4197778125/2097152 2087820221875/16777216
598824334375/4194304 112359946875/16777216 -176298215625/2097152 -103448853125/2097152
87389909375/524288 -495147459375/16777216 -22640846875/4194304 -1508641028125/8388608
-652652253125/4194304 3209349546875/16777216 -1457154240625/8388608 1970071146875/16777216
526665196875/4194304 -701707040625/8388608 -2203672540625/16777216 469700909375/4194304
-2764670184375/16777216 -476756684375/8388608 3026365965625/16777216 -1241164646875/8388608
-782391984375/4194304 -1597610053125/16777216 54436959375/524288 826406946875/8388608
665651521875/4194304 -146928534375/16777216 2592347978125/16777216 -14129140625/4194304
1460737959375/8388608 -917678284375/8388608 1324994490625/16777216 767726990625/4194304
1245635684375/16777216 -2821147046875/16777216 379806146875/16777216 124421846875/8388608
-1508778340625/8388608 147571065625/1048576 2635516653125/16777216 1561660565625/16777216
-12619628125/65536 -1249511865625/8388608 353516721875/8388608 1101712153125/8388608
-3329059771875/16777216 3325949784375/16777216 667552959375/4194304 -214922721875/2097152
2195091303125/16777216 738927121875/4194304 400196015625/16777216 122509678125/1048576
-383703115625/16777216 404538484375/4194304 981154515625/16777216 122109565625/8388608
-2203295603125/16777216 -93856196875/1048576 -316227003125/2097152 -495688853125/16777216
-2740708334375/16777216 273137946875/8388608 -605692896875/8388608 -365447059375/2097152
-144569721875/8388608 -183475034375/8388608 2964187196875/16777216 -380216634375/2097152
788948615625/16777216 526274740625/4194304 2545509478125/16777216 -1165131409375/16777216
-673911240625/4194304 184387565625/8388608 -273834884375/8388608 -73396753125/524288
-48427721875/262144 -220906065625/8388608 351806690625/2097152 -609375940625/16777216
1040287234375/8388608 355834365625/8388608 750978840625/4194304 -1846445196875/16777216
-1741899628125/16777216 700198778125/8388608 350601359375/4194304 -1513023478125/16777216
-72194209375/1048576 -743068103125/4194304 -58757040625/8388608 -371625590625/16777216
-1073920040625/8388608 2713459375/32768 1874726009375/16777216 -659654490625/8388608
-1240527678125/16777216 -2901712921875/16777216 -227215090625/2097152 -1395077646875/8388608
1036168359375/8388608 53182196875/2097152 -1915005828125/16777216 -2238892865625/16777216
1425581721875/16777216 101162571875/8388608 -338060978125/8388608 -2316787140625/16777216
1190827865625/8388608 1599497128125/16777216 -245897521875/16777216 1287769284375/8388608
-813099709375/4194304 -396152896875/16777216 815252478125/16777216 816897284375/16777216
3155485359375/16777216 -701576353125/8388608 442163378125/16777216 -2178211009375/16777216
-2034597540625/16777216 20292521875/8388608 285025915625/8388608 -826819771875/4194304
80257884375/1048576 1886420803125/16777216 -64160765625/2097152 236761584375/4194304
-1499836403125/8388608 -1416306171875/8388608 -1336700184375/8388608 313563371875/16777216
438486659375/8388608 -3263414465625/16777216 612210715625/16777216 -415713596875/2097152
-576471265625/8388608 232553371875/8388608 -1555627665625/8388608 -3217917284375/16777216
-3211774553125/16777216 2828030421875/16777216 -108091490625/2097152 226987890625/4194304
1509847171875/8388608 347985284375/2097152 -1814222540625/16777216 -3164436334375/16777216
1202919421875/8388608 -920327184375/16777216 -128345234375/8388608 352153328125/8388608
154268384375/16777216 1558388684375/8388608 -52046140625/524288 539903303125/8388608
2937726728125/16777216 772418884375/8388608 1179303740625/8388608 131962884375/1048576
-118717878125/1048576 2466629540625/16777216 -2363028421875/16777216 3169843453125/16777216
-151732215625/2097152 282586540625/8388608 -501119434375/16777216 442670490625/8388608
2771132821875/16777216 -23086678125/1048576 1241769209375/8388608 -705282853125/8388608
638364690625/4194304 2830026134375/16777216 -92533315625/16777216 -517259346875/4194304
-2742904803125/16777216 160071903125/8388608 338374953125/8388608 -544274340625/16777216
2133663009375/16777216 -1756188396875/16777216 -4235190625/1048576 2625058446875/16777216
198264078125/16777216 902942465625/16777216 195817940625/4194304 -709005609375/4194304
135993065625/8388608 402112609375/8388608 241307484375/8388608 1770357690625/16777216
1833716265625/16777216 1755039953125/16777216 -3115012034375/16777216 -3323535434375/16777216
2165840246875/16777216 -1967018903125/16777216 1420316009375/16777216 10798103125/2097152
15251965625/16777216 -2178332721875/16777216 -46373778125/2097152 2012329603125/16777216
957150328125/16777216 -918201084375/8388608 -3114905171875/16777216 2926324865625/16777216
-1656892546875/16777216 -627806759375/8388608 -431988903125/4194304 -21014990625/16777216
2895692640625/16777216 -2039321596875/16777216 -744197290625/16777216 1029101265625/16777216
307412996875/4194304 324350921875/16777216 -639725434375/16777216 58226746875/8388608
-1113641309375/8388608 1049021984375/8388608 -833341334375/8388608 -3172000240625/16777216
117757503125/8388608 -3136438578125/16777216 957689728125/8388608 89722646875/524288
-43498746875/8388608 -261851321875/8388608 -171162253125/1048576 -619815753125/16777216
97772440625/16777216 444280159375/8388608 -435073865625/8388608 221047965625/2097152
-2430451165625/16777216 1301555946875/8388608 3321397546875/16777216 -55745296875/2097152
394905253125/8388608 1102570246875/16777216 -390384021875/4194304 271137184375/16777216
-1600071446875/16777216 -2366916534375/16777216 -288973890625/2097152 185063603125/16777216
2462497078125/16777216 998549278125/8388608 1249701921875/8388608 -1451334365625/16777216
299477646875/16777216 1006884490625/8388608 788745490625/4194304 -629377090625/16777216
270498221875/2097152 -1863434284375/16777216 277023146875/2097152 -631163834375/8388608
311103990625/4194304 75555796875/1048576 -1188044771875/8388608 1346261834375/16777216
2302225671875/16777216 203991528125/8388608 172155271875/8388608 -812554440625/8388608
1638957034375/16777216 -436941015625/8388608 3069485584375/16777216 -687831459375/16777216
540922934375/4194304 1132911371875/16777216 2320660603125/16777216 3306537478125/16777216
33446621875/262144 2066802790625/16777216 2914289071875/16777216 1840485928125/16777216
-1669374121875/8388608 353181353125/16777216 1480089178125/16777216 -3011452559375/16777216
2878945465625/16777216 -2606254203125/16777216 512475659375/4194304 1631929646875/16777216
2333943609375/16777216 -1004718109375/8388608 -2930543003125/16777216 -2840635109375/16777216
54370565625/16777216 2703511146875/16777216 87234153125/16777216 213491509375/4194304
391467884375/2097152 1394878021875/16777216 559812509375/4194304 129097378125/4194304
421036565625/16777216 -3156271784375/16777216 -288650865625/4194304 -1195267384375/16777216
2593758028125/16777216 -1454993609375/8388608 -2247723653125/16777216 480716346875/8388608
-1566500509375/16777216 361321978125/16777216 435425928125/8388608 92815434375/2097152
1678712784375/16777216 -2177163171875/16777216 598301165625/4194304 -1557040559375/8388608
-258588453125/2097152 3039386996875/16777216 1603445871875/16777216 773875453125/4194304
-683884071875/4194304 24022590625/524288 -1220888196875/16777216 -704656759375/8388608
1577881146875/16777216 -3102583965625/16777216 2023721971875/16777216 2205371971875/16777216
-370509653125/4194304 -572793959375/16777216 -1571244571875/16777216 599326146875/4194304
-971225621875/8388608 -549414265625/4194304 308671209375/4194304 3200987990625/16777216
2747227278125/16777216 -1102236003125/8388608 22337090625/16777216 -1238744378125/8388608
-516276978125/16777216 645441628125/8388608 -680882321875/16777216 -943456678125/8388608
-854302496875/8388608 -98990315625/1048576 -1963070615625/16777216 247420140625/2097152
-1379225484375/16777216 -1862315371875/16777216 -1490375496875/16777216 167161596875/8388608
-271457834375/16777216 -132229921875/2097152 1620731759375/16777216 119138796875/1048576
-2110881984375/16777216 118120221875/1048576 -1044918278125/16777216 964088621875/16777216
152305990625/8388608 -498369634375/16777216 302695440625/2097152 -1394223059375/8388608
1061337865625/16777216 -36200140625/4194304 1490966259375/8388608 2585770940625/16777216
-880326471875/16777216 -427491859375/8388608 -591208115625/16777216 -1211044978125/8388608
2497715884375/16777216 -1008677328125/8388608 546326328125/8388608 -882768103125/8388608
2800955446875/16777216 1607382696875/16777216 2323880690625/16777216 -3205011946875/16777216
-638390146875/16777216 -652292671875/8388608 -948286346875/16777216 -127817096875/16777216
-99701559375/1048576 -180399259375/2097152 -1527877821875/16777216 -2103187396875/16777216
-575728125/4096 1109221771875/8388608 1379581078125/16777216 -1462801984375/16777216
2364667778125/16777216 1100715215625/8388608 -259052084375/2097152 -3063658121875/16777216
-543652059375/8388608 -894371171875/8388608 16103196875/2097152 216870234375/8388608
-21179159375/8388608 513651396875/16777216 -2508182434375/16777216 -1529784096875/8388608
3174987884375/16777216 -396292690625/2097152 53554346875/16777216 -1178435584375/8388608
-1560290546875/16777216 -1255352503125/8388608 7899615625/1048576 -3124075871875/16777216
-2970446196875/16777216 268470209375/16777216 -3334878115625/16777216 -2787261215625/16777216
-2520067240625/16777216 -684676634375/8388608 2971359784375/16777216 -1840434115625/16777216
3161125846875/16777216 1505666303125/8388608 -175274740625/8388608 9537621875/8388608
884551778125/16777216 2911659590625/16777216 -265128978125/4194304 3163874303125/16777216
-653763928125/8388608 -2251383784375/16777216 2697243946875/16777216 51335790625/524288
137746553125/4194304 -1420521671875/16777216 -243961271875/2097152 2761564734375/16777216
-644277115625/8388608 678262065625/4194304 -1333158490625/16777216 -259821796875/4194304
-2880868396875/16777216 1474604828125/8388608 -1865549478125/16777216 1417023109375/16777216
83057128125/1048576 -10463584375/16777216 2447003996875/16777216 1378935190625/16777216
245576984375/4194304 -1566757728125/16777216 3211675396875/16777216 -1065206265625/8388608
3252698446875/16777216 2263306321875/16777216 -3271084078125/16777216 526343009375/8388608
-352346609375/4194304 130095515625/4194304 636019696875/8388608 431940609375/8388608
112930290625/8388608 2029201271875/16777216 -2004490928125/16777216 2919580471875/16777216
-1456157303125/16777216 -1318876578125/8388608 -1477173265625/8388608 873603809375/16777216
-683177940625/4194304 -1350908640625/8388608 -340165015625/2097152 197672240625/2097152
1985085428125/16777216 488171171875/8388608 1024683215625/8388608 -64631665625/16777216
433687878125/8388608 -1816561940625/16777216 -963708315625/8388608 -1648942003125/8388608
-984921515625/8388608 -508813084375/8388608 297993546875/4194304 -311805678125/2097152
553570065625/4194304 -1897162090625/16777216 1161615915625/16777216 2900425909375/16777216
1270744234375/16777216 167030234375/2097152 1126382428125/16777216 -2011767884375/16777216
-54358146875/8388608 -2213406259375/16777216 2680294665625/16777216 465229965625/8388608
1711617715625/16777216 -1605582978125/16777216 -1323890503125/16777216 180176421875/4194304
-1222626240625/16777216 2940732928125/16777216 2321535115625/16777216 31520109375/524288
-2515885278125/16777216 690376571875/4194304 227195959375/4194304 568900215625/16777216
2000985990625/16777216 -258845596875/4194304 -1461144828125/8388608 659373565625/16777216
290569515625/16777216 -3253404521875/16777216 1017640771875/8388608 -1349994584375/8388608
2289571934375/16777216 1526653659375/16777216 -926253540625/16777216 -25985340625/524288
-2108467084375/16777216 -1722800990625/16777216 -625726890625/4194304 41233771875/262144
1275391521875/8388608 -947312121875/8388608 263994971875/4194304 -2141017265625/16777216
-1588361203125/16777216 -689608790625/16777216 -497546059375/4194304 2279926809375/16777216
-842025203125/16777216 755578415625/4194304 1513376215625/16777216 -843379215625/16777216
-1421392334375/16777216 176086303125/1048576 -1072886803125/8388608 702053534375/4194304
-1510084128125/8388608 -1000894721875/16777216 -693956253125/4194304 -576485353125/4194304
1894346840625/16777216 -2481387178125/16777216 1576100159375/16777216 375361996875/8388608
5745390625/524288 -2199647603125/16777216 1882935803125/16777216 12984596875/131072
-2455524715625/16777216 -326143815625/4194304 -2799058796875/16777216 -42399240625/524288
-129742653125/1048576 1976373915625/16777216 -741643946875/8388608 31773903125/2097152
-2206404490625/16777216 -530161309375/4194304 -1224149771875/8388608 -315159634375/4194304
1111710428125/16777216 -1708641559375/16777216 396789909375/4194304 -3225201053125/16777216
51992159375/16777216 -1480356740625/16777216 2959827628125/16777216 -480486828125/8388608
-351395828125/8388608 140885115625/1048576 339044665625/16777216 695610621875/16777216
-522808346875/8388608 -40707490625/1048576 312755984375/2097152 1611605409375/8388608
-170478246875/2097152 -1059491103125/16777216 73396465625/4194304 -74361559375/16777216
1563787678125/16777216 -2599672621875/16777216 165175278125/4194304 91841178125/8388608
344501015625/8388608 -2826613490625/16777216 3210526478125/16777216 370189909375/4194304
-231926903125/8388608 -876853615625/16777216 1714391546875/16777216 446544703125/16777216
-2110302646875/16777216 -79646378125/2097152 194864571875/4194304 34299784375/2097152
-2080114484375/16777216 718512353125/16777216 -170272596875/16777216 864741434375/16777216
125158278125/16777216 -2117628065625/16777216 -3072312790625/16777216 277703490625/2097152
648594759375/8388608 578566365625/16777216 1016472184375/8388608 243270590625/8388608
-207942296875/8388608 -2927793040625/16777216 -1916910415625/16777216 -2792593940625/16777216
1953772421875/16777216 2192348428125/16777216 -224165346875/2097152 2402846503125/16777216
-534935615625/8388608 -209089253125/2097152 2589867896875/16777216 -64252065625/524288
484179890625/16777216 1966236471875/16777216 2883973484375/16777216 2817475240625/16777216
-1354559071875/16777216 -793685803125/16777216 -337713503125/16777216 228865278125/8388608
513048196875/16777216 -312623159375/2097152 -301580303125/4194304 700913965625/4194304
-1065630590625/8388608 -2242589984375/16777216 926428640625/8388608 -1045317965625/16777216
-2317358184375/16777216 -7839190625/1048576 -143702978125/16777216 1784635746875/16777216
3272941803125/16777216 -1200116371875/16777216 2895077915625/16777216 2065915896875/16777216
-159712028125/8388608 -1203613284375/16777216 2923073734375/16777216 -3106238215625/16777216
3201881121875/16777216 1084757871875/8388608 -1593545415625/16777216 -97398296875/8388608
565051359375/4194304 -476535334375/16777216 238585121875/8388608 -1006003640625/8388608
1444089084375/8388608 -3298057071875/16777216 132389121875/2097152 -296646328125/4194304
-78628709375/2097152 142131459375/2097152 -32084634375/2097152 -529173771875/16777216
-949551171875/16777216 -169998290625/2097152 -693869028125/8388608 1396949159375/16777216
-3007504178125/16777216 -721986859375/8388608 -1048867815625/8388608 260311671875/16777216
-153255946875/16777216 -1825718559375/16777216 2919261178125/16777216 -3888390625/65536
-2479666703125/16777216 791506234375/4194304 -275582746875/16777216 110026003125/2097152
2947574359375/16777216 -70730115625/2097152 -2136979153125/16777216 -138633184375/8388608
5874203125/16777216 1290701090625/8388608 -2839178125/131072 -824468240625/4194304
-1213856409375/8388608 71760646875/8388608 3302751390625/16777216 -1622360546875/16777216
377703553125/4194304 -1883542665625/16777216 83279553125/8388608 -1617234440625/16777216
1168173790625/8388608 -664529384375/4194304 789113759375/4194304 1591447590625/8388608
-2100796865625/16777216 -3162093196875/16777216 -1187349203125/16777216 1280581903125/16777216
1130434884375/16777216 -314567628125/4194304 948936828125/16777216 -1551168303125/8388608
1205539134375/8388608 -1078167096875/8388608 -1332075134375/16777216 396426534375/4194304
1437540478125/16777216 1269789153125/8388608 -93936078125/8388608 -745678646875/8388608
3918334375/131072 2492833365625/16777216 13159865625/262144 -164654696875/4194304
-4725828125/2097152 -2982836209375/16777216 2666475728125/16777216 -1160741634375/8388608
-323092584375/4194304 179241003125/2097152 -915454184375/8388608 363877753125/2097152
1098127996875/8388608 -662705684375/16777216 -2096632459375/16777216 -1223214559375/16777216
-1960123940625/16777216 2227000553125/16777216 1643460590625/8388608 -411735934375/16777216
-413547915625/4194304 -3241712371875/16777216 -402278746875/2097152 -36225196875/524288
3193961515625/16777216 1404264190625/16777216 2640236203125/16777216 -714388296875/4194304
-1247619790625/16777216 342450096875/16777216 10443390625/4194304 -923504584375/8388608
783015953125/4194304 -3320353971875/16777216 984376234375/16777216 6674321875/524288
3252228478125/16777216 -736313278125/16777216 -2858788328125/16777216 -759901459375/8388608
-1711834696875/16777216 -1535518996875/8388608 564482340625/8388608 -1267795190625/8388608
-2126183765625/16777216 -153278778125/16777216 -569738715625/4194304 1363903265625/8388608
1191758728125/16777216 -698449296875/16777216 -465265503125/4194304 244685140625/4194304
-2641793609375/16777216 -10563509375/4194304 2535904609375/16777216 -1506401040625/8388608
20923365625/4194304 -2403328734375/16777216 -1094367640625/8388608 3007360815625/16777216
-474321671875/8388608 -2969870534375/16777216 3026694778125/16777216 -2043923953125/16777216
2301318896875/16777216 2584309803125/16777216 238680646875/8388608 -2256833328125/16777216
-2732976828125/16777216 -376746590625/4194304 -1339244040625/16777216 1854440534375/16777216
-2765423303125/16777216 -1641599996875/16777216 1217360996875/8388608 1361497421875/8388608
1245827334375/16777216 18106153125/1048576 -967026209375/16777216 14654703125/524288
611200709375/8388608 1009167521875/16777216 -2598248090625/16777216 -1934635740625/16777216
-3066732028125/16777216 1479546659375/16777216 -1716560334375/16777216 -1494347984375/16777216
1274662821875/8388608 27939915625/1048576 2725785740625/16777216 1576774078125/16777216
39977728125/524288 -558250953125/16777216 2607466634375/16777216 -1225753946875/16777216
-157594509375/2097152 812827234375/8388608 -3227253746875/16777216 -2442737890625/16777216
-14066878125/4194304 -54118009375/8388608 77151140625/4194304 3060384996875/16777216
61749665625/16777216 1668200165625/16777216 -13448571875/4194304 822668228125/16777216
3110876028125/16777216 -44344146875/262144 -2859555490625/16777216 -2493976959375/16777216
584829259375/16777216 1082766296875/16777216 -197942859375/4194304 -1153213109375/8388608
-2284188421875/16777216 935482596875/16777216 -525934709375/16777216 3113914528125/16777216
-747244003125/16777216 -891269446875/16777216 -806273659375/4194304 268229990625/16777216
1605771221875/16777216 -871853684375/16777216 26292571875/262144 696051390625/8388608
177121159375/2097152 -3077390884375/16777216 2550842328125/16777216 1425481109375/16777216
-419504490625/4194304 -1373811865625/16777216 -153609846875/1048576 786259259375/4194304
989677803125/8388608 782942096875/8388608 -2264245515625/16777216 -15865053125/262144
182755921875/1048576 587408821875/8388608 -2102541878125/16777216 -1399717121875/16777216
-2879222628125/16777216 1314229846875/8388608 3071843934375/16777216 340526403125/4194304
1231664290625/16777216 -255227178125/16777216 -536976015625/8388608 81587678125/8388608
2402667009375/16777216 -640784840625/8388608 767999721875/4194304 -1055205909375/16777216
2690050715625/16777216 1319630053125/16777216 -1357465553125/16777216 -32525715625/262144
1091240978125/16777216 -805436165625/8388608 119922709375/1048576 -284833315625/8388608
342374159375/4194304 -492319140625/16777216 -132272665625/1048576 533093078125/16777216
85494903125/4194304 245198553125/8388608 235176703125/16777216 634316190625/16777216
456969315625/4194304 234363621875/2097152 -1031113384375/8388608 2185646765625/16777216
2263806765625/16777216 759785296875/16777216 2383443865625/16777216 -548182253125/4194304
651834103125/4194304 -28050653125/2097152 186597090625/2097152 -2233790646875/16777216
-1592272496875/8388608 -314010459375/4194304 -123366940625/8388608 -290823415625/8388608
-3302566278125/16777216 1400703384375/8388608 -617742590625/16777216 -136344296875/16777216
375238853125/4194304 1077804846875/16777216 103303809375/4194304 -1224952921875/16777216
-2458233484375/16777216 -99504453125/16777216 2008212740625/16777216 -45939028125/262144
1162070290625/8388608 670708565625/16777216 -15981015625/16777216 -2501784678125/16777216
949751884375/16777216 -1183907278125/8388608 1016286203125/16777216 -872496353125/8388608
-472092521875/16777216 1611861940625/16777216 -2158630890625/16777216 916095990625/8388608
3286146453125/16777216 21511484375/1048576 -568161671875/4194304 -240971321875/4194304
