3000
-100317421875/8388608 1808753878125/8388608 -520216921875/4194304 -7481199309375/33554432
-3481296834375/33554432 3022392609375/16777216 -2770333153125/33554432 -1276945415625/33554432
-6773999315625/33554432 988793296875/8388608 6028923440625/33554432 -2868144253125/16777216
250407853125/4194304 5414594803125/33554432 864226678125/8388608 5113009471875/33554432
2077781859375/8388608 9039177103125/33554432 -1149930065625/16777216 -9042765740625/33554432
-2311018940625/8388608 6495201384375/33554432 -31115053125/131072 2315850178125/16777216
232030190625/33554432 3951674540625/16777216 -313866046875/16777216 278762446875/8388608
-702023165625/33554432 -4763354578125/16777216 6692993615625/33554432 610383703125/4194304
-460753303125/33554432 194364890625/33554432 -1186917628125/4194304 -776373853125/16777216
-971558878125/8388608 1283529309375/8388608 5619860128125/33554432 6661792021875/33554432
-3386814534375/33554432 4277746603125/16777216 1727023340625/16777216 4961425265625/16777216
-855191203125/33554432 2878037615625/16777216 35094740625/4194304 2373152446875/33554432
589442521875/2097152 7355798409375/33554432 -403134609375/2097152 4315449534375/33554432
-9845346740625/33554432 -5833725234375/33554432 1088172159375/33554432 -1461204084375/16777216
8760225159375/33554432 2078924784375/8388608 613328390625/33554432 4677529996875/33554432
-78961153125/8388608 449735953125/33554432 7486279228125/33554432 -4822236309375/33554432
1173033234375/8388608 7445071875/524288 6368433121875/33554432 7495042565625/33554432
8542624171875/33554432 155715365625/4194304 1450528715625/16777216 -1103489971875/8388608
1533895621875/8388608 600656615625/33554432 -4305664209375/16777216 -4835057053125/33554432
-3370738490625/33554432 -386493703125/2097152 -4970171765625/16777216 680175834375/16777216
7418356996875/33554432 12795440625/33554432 -2886779090625/33554432 -1033120828125/4194304
-3681779353125/33554432 -1341389428125/33554432 -2153998996875/33554432 -113150615625/2097152
4271056434375/16777216 -3849209203125/33554432 128465559375/16777216 104527228125/1048576
-2873092040625/16777216 1336309678125/16777216 4760493909375/33554432 5147198109375/33554432
-1963983140625/8388608 3855910996875/33554432 2105789446875/33554432 -4991192990625/33554432
1690424278125/33554432 -1125447609375/4194304 -9148422646875/33554432 253732921875/33554432
5973302296875/33554432 -1046785734375/16777216 1521342290625/16777216 -5991339515625/33554432
-871140159375/33554432 1354041778125/16777216 -9722785378125/33554432 1039157765625/33554432
-5702723034375/33554432 -414705140625/33554432 3999370303125/33554432 -5182682878125/33554432
944803846875/33554432 -426737165625/2097152 9734094234375/33554432 -1794832340625/33554432
-755718553125/16777216 -4724984971875/33554432 -17837859375/4194304 -1262615540625/16777216
-1175996465625/8388608 4589555653125/16777216 -1835800996875/33554432 928355915625/4194304
1521157565625/33554432 -2995044328125/16777216 2632451540625/33554432 -213964884375/8388608
-2186625159375/16777216 8673154228125/33554432 5780902003125/33554432 7180356590625/33554432
7635424471875/33554432 -272888221875/8388608 -1538911921875/33554432 -3754856446875/33554432
7000318678125/33554432 2747905884375/16777216 -1562240709375/8388608 -1808686621875/33554432
6599999859375/33554432 1707885571875/16777216 -7598126578125/33554432 -8353925521875/33554432
-1439511421875/33554432 7899247584375/33554432 -9149480278125/33554432 -2981263303125/33554432
-1802634834375/33554432 -4374254709375/16777216 -6679211278125/33554432 1854254315625/16777216
-290940028125/4194304 -103334896875/2097152 -1551639609375/8388608 -1508244309375/16777216
-3514609153125/16777216 2556229396875/16777216 1835261465625/16777216 7854235771875/33554432
-98980096875/2097152 -5159355646875/33554432 412037034375/8388608 8135469309375/33554432
-93895734375/1048576 1781230884375/33554432 -7733736646875/33554432 -2768036371875/33554432
-4732157446875/16777216 560626715625/4194304 -50060840625/33554432 3592778878125/33554432
-1917716259375/16777216 5985638128125/33554432 -2592505996875/16777216 798961921875/4194304
-123257990625/33554432 -4498917778125/33554432 8340151509375/33554432 270462609375/1048576
-5139265996875/33554432 -3950414484375/16777216 -2133773990625/8388608 7149211246875/33554432
200894953125/16777216 -9732805865625/33554432 4408243865625/16777216 330608578125/2097152
1241901159375/8388608 2262910584375/16777216 2289706584375/33554432 9916176421875/33554432
4436674865625/16777216 -9557607421875/33554432 481669584375/16777216 9500175665625/33554432
4813558171875/33554432 877577390625/33554432 7950714178125/33554432 -939028359375/8388608
6190395328125/33554432 7869451134375/33554432 -7384768246875/33554432 -2136729459375/8388608
5001730903125/33554432 9659878228125/33554432 1506553228125/8388608 -9767288953125/33554432
855006065625/8388608 5575006321875/33554432 -939551653125/8388608 -852670509375/16777216
63391753125/524288 3889552565625/33554432 -4066129359375/33554432 -3299934946875/33554432
3898823053125/33554432 -365403815625/4194304 1580598421875/8388608 759405046875/8388608
-8566873321875/33554432 -4936834996875/33554432 4417411584375/33554432 -7082744353125/33554432
6375014109375/33554432 837188034375/4194304 750768684375/8388608 6658240190625/33554432
6123283659375/33554432 6994439409375/33554432 384008840625/8388608 2078395546875/8388608
-4952549259375/33554432 -2363825165625/8388608 405256584375/8388608 1060582809375/33554432
-1362786065625/16777216 -8211956315625/33554432 1580624784375/8388608 -895800140625/33554432
1018493390625/8388608 9978825609375/33554432 3759972046875/33554432 5354052684375/33554432
-1358470509375/16777216 -1142885559375/8388608 5029697634375/16777216 -1609689834375/8388608
-1886320246875/33554432 1968635859375/16777216 -3701868928125/33554432 -141046865625/1048576
-8677646615625/33554432 -680344321875/8388608 -4596601696875/16777216 -497201484375/16777216
-7486462471875/33554432 2615772421875/16777216 -405259453125/16777216 1116039271875/16777216
1205373871875/33554432 5968753903125/33554432 7160435596875/33554432 -537329184375/33554432
259194684375/2097152 7114190821875/33554432 -1078683834375/16777216 -1519744603125/33554432
919204921875/16777216 -4946948353125/16777216 129746128125/1048576 2879551396875/16777216
-150149090625/2097152 -6239385046875/33554432 4805457496875/33554432 -938055815625/16777216
-3373125759375/16777216 786024665625/8388608 -372099309375/33554432 6595107478125/33554432
222080671875/1048576 -6330014315625/33554432 376744471875/2097152 -9140828090625/33554432
1184711765625/8388608 81428259375/524288 9454148615625/33554432 -5825374415625/33554432
7140302803125/33554432 -7967085028125/33554432 -3928700446875/16777216 -4939498884375/16777216
1210084640625/8388608 -4541211290625/33554432 -3833780465625/33554432 8606716059375/33554432
2118635259375/8388608 6779937946875/33554432 592175746875/8388608 -30113503125/33554432
-2418413353125/33554432 2933829290625/33554432 5274093159375/33554432 7154211665625/33554432
-3233178178125/33554432 -5386809375/1048576 -1569381140625/8388608 3743438709375/33554432
1575248165625/33554432 -2418295340625/16777216 -93647803125/33554432 7875745359375/33554432
-4435415625/131072 1104517734375/33554432 -8466217415625/33554432 392208440625/16777216
225599146875/8388608 -2985480140625/16777216 -245552821875/8388608 -6318674765625/33554432
-5240803209375/33554432 -2863562615625/16777216 31568446875/8388608 7667272209375/33554432
5820130321875/33554432 -2965665328125/33554432 228329109375/1048576 92111315625/4194304
3691780509375/33554432 7853717240625/33554432 9640053928125/33554432 -4637941978125/33554432
2413391053125/33554432 -1394793946875/16777216 -5613522140625/33554432 -2313485240625/8388608
1385233265625/8388608 -8862159046875/33554432 1779916903125/8388608 -3031367109375/33554432
308630315625/8388608 2902532015625/16777216 -967651978125/16777216 -4881978140625/33554432
-7424644603125/33554432 -9822662765625/33554432 4172873634375/33554432 5395546875/262144
-69843196875/4194304 -2265295415625/33554432 5031860634375/16777216 -36749634375/524288
9974943909375/33554432 -6977362528125/33554432 8121055921875/33554432 -9971267615625/33554432
3553731309375/16777216 -634555265625/4194304 -7621797646875/33554432 1837841915625/16777216
-9753557353125/33554432 -3151745503125/33554432 3498153290625/16777216 -7251046228125/33554432
-467152734375/8388608 2956155984375/33554432 7936716646875/33554432 -29311528125/131072
4571836584375/33554432 7732705696875/33554432 -9291391771875/33554432 -185889759375/8388608
1045231584375/33554432 774446840625/4194304 -3226146009375/33554432 -5166315309375/33554432
1497945384375/8388608 -5677156303125/33554432 -116388103125/1048576 622532240625/4194304
-282015946875/33554432 8464053684375/33554432 -8644617046875/33554432 7926819740625/33554432
6212848434375/33554432 333643190625/4194304 641124909375/8388608 -4483602365625/33554432
-1587799378125/33554432 3282239859375/33554432 -1634935659375/33554432 4850801746875/16777216
2741001309375/16777216 -5047672509375/33554432 2039146153125/16777216 -4626663590625/33554432
-315440296875/33554432 -6474573384375/33554432 2138737096875/33554432 -998665471875/8388608
2591827640625/33554432 -3422457553125/16777216 5997159515625/33554432 -9227643421875/33554432
8319121959375/33554432 -88214203125/16777216 6947171353125/33554432 2284399490625/16777216
-71135840625/2097152 -7437229359375/33554432 9567870159375/33554432 9594126946875/33554432
5346985021875/33554432 2662777790625/33554432 303539840625/2097152 2005730746875/33554432
843513684375/33554432 -3413606859375/33554432 -5080235240625/33554432 2920978040625/16777216
-7115155959375/33554432 4692810609375/33554432 2603375653125/33554432 85088690625/16777216
5497316821875/33554432 -4434412115625/33554432 -6011702596875/33554432 -2166025903125/8388608
12088490625/1048576 -6474205303125/33554432 510838340625/2097152 811724784375/33554432
384467596875/4194304 -6958918809375/33554432 -9609386278125/33554432 -2703235715625/16777216
9446305490625/33554432 -2281729921875/33554432 122998434375/4194304 -4041042534375/16777216
-6471893071875/33554432 -6469939265625/33554432 1560415828125/8388608 -888423759375/4194304
-3613361821875/16777216 967143215625/16777216 495930328125/8388608 472520803125/4194304
-5770815703125/33554432 4885080365625/16777216 1077670209375/8388608 -361801678125/2097152
-4528685821875/16777216 4776732796875/33554432 2494072415625/16777216 -5697747065625/33554432
2479970296875/16777216 765153534375/33554432 -7009540678125/33554432 -73377984375/4194304
9666400040625/33554432 3274850765625/33554432 -339556490625/4194304 -3109029815625/16777216
1072841765625/4194304 -786125821875/4194304 -2307711328125/33554432 -5538986709375/33554432
-3806634440625/33554432 -81290315625/1048576 -4697010590625/33554432 562154934375/16777216
-9954963909375/33554432 1326918046875/16777216 -1851213759375/8388608 -4914482709375/33554432
-2881900396875/16777216 -4065873721875/33554432 159965071875/33554432 5779639753125/33554432
-4655283403125/33554432 6241038290625/33554432 4686426740625/16777216 2105283421875/33554432
2053955821875/16777216 -322049521875/8388608 1106912409375/4194304 4239612478125/33554432
-5315065228125/33554432 -2230556803125/33554432 482887696875/8388608 -2316155859375/8388608
-2950943859375/16777216 88954003125/4194304 -1372999078125/33554432 1318452009375/8388608
-9891355809375/33554432 6895453959375/33554432 -9079879021875/33554432 -3314728509375/16777216
-844871840625/8388608 -4773344184375/16777216 -91405190625/8388608 1950617953125/16777216
-7266607078125/33554432 -6085717003125/33554432 -6127525584375/33554432 -20397215625/8388608
-206943384375/2097152 -913614759375/4194304 -27523303125/1048576 -6990265471875/33554432
7045253746875/33554432 1962515053125/33554432 -1280177503125/8388608 -5034307734375/33554432
-3506154084375/16777216 -3372863034375/33554432 -5690907065625/33554432 -4044306778125/33554432
-2613267496875/16777216 9135394415625/33554432 7774267209375/33554432 1139111859375/16777216
7431820321875/33554432 2456920284375/33554432 -6188781740625/33554432 8771473171875/33554432
-8409290671875/33554432 4621777921875/33554432 1496754796875/16777216 -812533734375/4194304
9710892384375/33554432 -90135740625/16777216 -26891071875/8388608 97928896875/8388608
-8065048134375/33554432 2903399071875/16777216 -6515097965625/33554432 891666628125/4194304
-4122600009375/16777216 8868034340625/33554432 8478230709375/33554432 1899974615625/16777216
3949002403125/33554432 -1112015625/262144 6952204884375/33554432 -502443628125/4194304
-702227015625/4194304 -2983095384375/33554432 -8185726809375/33554432 7002532171875/33554432
4636147490625/33554432 -3091192471875/16777216 -8971997128125/33554432 1053108046875/33554432
-3095494134375/33554432 141048703125/2097152 20664065625/1048576 654329446875/16777216
-7689533071875/33554432 -7715206621875/33554432 -444066346875/8388608 -4141662909375/16777216
86368003125/33554432 -55741153125/1048576 2054979140625/33554432 9025183171875/33554432
-8684383696875/33554432 -8831713753125/33554432 -4001825334375/33554432 -2444552128125/16777216
-7282348715625/33554432 -1179285553125/33554432 -2670986596875/16777216 2153367628125/16777216
-10029292078125/33554432 2594785996875/16777216 -1394169421875/8388608 9844915096875/33554432
453695728125/16777216 -2499914184375/33554432 501621309375/33554432 -2838606534375/16777216
-3776119696875/33554432 1077564421875/33554432 8946376696875/33554432 7077811771875/33554432
3064313840625/33554432 132550228125/16777216 -4254517340625/16777216 7886443884375/33554432
6797614490625/33554432 -467202290625/16777216 -2203824759375/33554432 -2256091303125/8388608
-238925315625/8388608 132878146875/524288 -84647728125/33554432 163524121875/16777216
9964901446875/33554432 2525169121875/16777216 -8345015034375/33554432 3524347903125/16777216
-5065085915625/33554432 3287683115625/33554432 -3301541709375/16777216 -5147047978125/33554432
2462722565625/8388608 9055599065625/33554432 -1275193565625/33554432 3775563403125/16777216
-9904794234375/33554432 2642073609375/16777216 -7064243840625/33554432 -6949672996875/33554432
-6430300471875/33554432 8577163903125/33554432 -18630178125/16777216 -673175765625/4194304
-2534542959375/33554432 508358334375/8388608 8648408315625/33554432 -239836284375/16777216
2120095603125/33554432 -4123932571875/33554432 699113746875/8388608 4731802434375/16777216
1384959046875/33554432 906425184375/8388608 2896971609375/33554432 -590037384375/33554432
3599786090625/33554432 4732432434375/16777216 -637181990625/16777216 -1120767478125/8388608
-2177309503125/8388608 2113990003125/8388608 191751028125/33554432 -3251221809375/16777216
-3619272440625/16777216 1477902028125/8388608 540510703125/16777216 -4611765759375/16777216
-68877309375/8388608 -1516176253125/33554432 -4547189334375/33554432 -4442825371875/33554432
-7701098203125/33554432 -2949533334375/16777216 -1228044084375/8388608 -9979543359375/33554432
3660884728125/33554432 9639535978125/33554432 2359553296875/33554432 -3788032696875/33554432
-1161650165625/33554432 -1439546371875/16777216 1367512509375/8388608 2810651915625/16777216
-7665838115625/33554432 2639893565625/16777216 620330128125/4194304 803359978125/16777216
731583365625/16777216 92318184375/2097152 267592284375/1048576 862452440625/4194304
2641939303125/33554432 2831318765625/33554432 76428346875/2097152 -3749507165625/16777216
4706876915625/16777216 2318222240625/33554432 -3145685934375/16777216 -1205863884375/16777216
3281241178125/33554432 -1333587684375/8388608 -136443590625/1048576 -2101793578125/33554432
1862119809375/16777216 -4587671953125/16777216 1029033103125/33554432 3680696896875/16777216
6239313721875/33554432 2427403378125/16777216 5850142584375/33554432 -1600615996875/16777216
-3344130253125/16777216 -1922061121875/33554432 4080224821875/33554432 -4412762259375/16777216
-4248097059375/16777216 6766495096875/33554432 -1356386484375/33554432 1078446534375/4194304
-141876834375/1048576 -3376054321875/33554432 6430242684375/33554432 -5860972715625/33554432
880448859375/4194304 -141167709375/16777216 4275821915625/33554432 5804327203125/33554432
7814948146875/33554432 636140203125/16777216 210027271875/8388608 -9114046528125/33554432
-3136269815625/33554432 -335989640625/16777216 -2197260309375/8388608 2522121459375/33554432
3651888346875/16777216 -1204179103125/16777216 -9093907903125/33554432 9473538684375/33554432
18255440625/8388608 -662597221875/8388608 -492097846875/2097152 -8516005378125/33554432
-5424440428125/33554432 -58346221875/1048576 -710175553125/33554432 3527796609375/16777216
-1080429871875/4194304 -3915182128125/33554432 -3107425190625/16777216 1476431165625/16777216
3871432921875/33554432 -8220141440625/33554432 241792490625/16777216 781398515625/4194304
-6871028878125/33554432 -2722766465625/16777216 2473203046875/16777216 804629334375/33554432
-5942782640625/33554432 4445048803125/16777216 -3508830928125/33554432 8061820471875/33554432
-7787596621875/33554432 438284296875/4194304 2752078040625/16777216 8770774921875/33554432
-1165932384375/8388608 -3053937103125/16777216 -190403953125/1048576 -460550765625/33554432
2654307290625/16777216 -714005296875/8388608 -281742421875/4194304 -4435902909375/33554432
-7924649184375/33554432 7272346284375/33554432 117499284375/524288 1174769165625/33554432
-4613556928125/33554432 -5642033578125/33554432 -495466603125/2097152 8905848928125/33554432
261309375/4096 -2704827553125/16777216 1823409440625/8388608 -1403271834375/33554432
-317035284375/2097152 2639953828125/33554432 -1295628459375/8388608 1639417021875/16777216
-2485497796875/33554432 3259030059375/16777216 1380303590625/16777216 -6765353709375/33554432
-3828792740625/33554432 3645831815625/16777216 2115684328125/16777216 -353791059375/8388608
4322651446875/33554432 -516940621875/8388608 6858915121875/33554432 -1124649515625/33554432
6343377740625/33554432 -2697527446875/16777216 -561064209375/33554432 2408003259375/33554432
-6113247065625/33554432 -921155371875/16777216 -1961020003125/33554432 6044193740625/33554432
-571014440625/33554432 435013809375/16777216 -4235823571875/33554432 4954171284375/16777216
886871896875/4194304 1748850440625/16777216 -6471826284375/33554432 -464881846875/8388608
-5064361096875/33554432 -4651570771875/16777216 702408740625/8388608 910524609375/4194304
2047776796875/16777216 2239546809375/16777216 -1107031584375/16777216 5975030390625/33554432
-679711996875/4194304 9680648015625/33554432 -2578916915625/16777216 -3640282865625/33554432
-5332723846875/33554432 -8836710478125/33554432 680617771875/8388608 -3270012459375/33554432
685177809375/16777216 4380266371875/16777216 -701181684375/16777216 -309210103125/1048576
4755184828125/16777216 7185285009375/33554432 9986342334375/33554432 -374014396875/16777216
-1668356071875/16777216 1145655909375/4194304 9796001203125/33554432 -3358325053125/16777216
993521728125/16777216 -1612787821875/16777216 406693321875/16777216 4444545534375/33554432
9407407584375/33554432 1018116740625/8388608 60364003125/16777216 4346723371875/16777216
-1348510453125/8388608 -643889934375/16777216 -252092746875/1048576 9799042528125/33554432
-2059619990625/8388608 4693872571875/33554432 4693292053125/33554432 6133347665625/33554432
6584348803125/33554432 -3559588528125/33554432 -7679421590625/33554432 277545046875/8388608
8668208896875/33554432 -4455980409375/33554432 1374287353125/33554432 2636900915625/16777216
443128940625/4194304 -181929328125/4194304 3055292671875/33554432 4199444015625/33554432
-3138924796875/33554432 3346014759375/33554432 -3539137040625/16777216 1240084134375/8388608
-6325177246875/33554432 -1361582671875/16777216 -2814014390625/33554432 2069416809375/16777216
2390763853125/16777216 6308962584375/33554432 -1135685334375/16777216 -4874072596875/33554432
-3775690453125/16777216 -1044243084375/8388608 6331749328125/33554432 4097570578125/16777216
2170086309375/16777216 -2601933496875/33554432 -9243059221875/33554432 -7263099665625/33554432
-2311654021875/8388608 8846381578125/33554432 -3333931415625/16777216 -2279210915625/16777216
-6577192846875/33554432 -112879321875/4194304 -2367664490625/33554432 -10033650271875/33554432
-6276409396875/33554432 339763696875/16777216 -169713946875/8388608 1853313403125/16777216
-542135259375/4194304 1535788884375/8388608 7010706984375/33554432 4386852403125/33554432
5005854778125/33554432 259457334375/8388608 1052288371875/33554432 -276358115625/8388608
-861482878125/4194304 4967903278125/16777216 -8737849790625/33554432 -426582140625/16777216
8495062996875/33554432 7310543971875/33554432 2302480340625/16777216 -3432913846875/33554432
-288251146875/1048576 1992115359375/33554432 4360232728125/33554432 2292534121875/8388608
-853912303125/4194304 -3826785740625/16777216 -558529659375/4194304 704545490625/16777216
-7228153696875/33554432 5791695571875/33554432 4780641178125/16777216 979767796875/8388608
620398696875/4194304 2314676165625/33554432 -616475053125/16777216 789084290625/33554432
-8687145328125/33554432 2541659540625/16777216 -2623635553125/16777216 -1961058290625/33554432
-413580796875/4194304 -516627140625/16777216 3887816165625/16777216 7757289665625/33554432
-322743965625/16777216 178295071875/16777216 -1399494890625/16777216 6837263896875/33554432
-2219604178125/8388608 396148340625/2097152 -36740915625/2097152 7989345196875/33554432
-350622478125/16777216 8144058834375/33554432 -3865237453125/16777216 -256081284375/33554432
-8015111615625/33554432 79389103125/16777216 -423946940625/33554432 -6747411159375/33554432
-70666921875/2097152 5133599653125/33554432 106064765625/2097152 -661590196875/33554432
5026797871875/16777216 332583496875/16777216 1913429784375/16777216 8952288496875/33554432
910709240625/33554432 -2825981409375/33554432 6706131440625/33554432 1182768928125/16777216
-192968128125/33554432 -8000888878125/33554432 -4394578125/1048576 11856234375/4194304
30557953125/2097152 2712804534375/16777216 927469153125/16777216 -658451840625/33554432
1934703215625/16777216 1064724553125/4194304 -3606503259375/33554432 1599150028125/8388608
3670759903125/33554432 644367890625/16777216 450455240625/4194304 2454186928125/33554432
-2369867184375/16777216 -2855495409375/16777216 4365950896875/16777216 -4410291571875/33554432
1796637421875/8388608 9363431240625/33554432 5563684603125/33554432 6436022184375/33554432
-276877678125/8388608 1264852265625/8388608 3621737784375/16777216 2665394240625/33554432
-1367774184375/33554432 -3716883590625/33554432 497834634375/4194304 4626414234375/33554432
-1222554121875/8388608 4499609821875/16777216 237296765625/16777216 3886083440625/16777216
-4029230184375/33554432 -950377340625/33554432 2202003496875/33554432 -367948209375/33554432
-1873780078125/16777216 -1371285365625/16777216 730533609375/16777216 -458761790625/16777216
-3998084296875/16777216 -1093412090625/8388608 -4303515740625/33554432 1357313390625/8388608
-688457840625/33554432 2421164240625/33554432 -967660509375/4194304 -4944759890625/16777216
9968734321875/33554432 -7425902128125/33554432 -214192340625/16777216 2277772659375/33554432
2306182865625/33554432 -5024262628125/16777216 -2001379453125/16777216 1295815546875/33554432
5980024209375/33554432 9827078296875/33554432 5207826909375/33554432 -1968603234375/33554432
-902701678125/8388608 -946448784375/33554432 2578455721875/16777216 190809375/1024
1185600271875/33554432 1686368278125/8388608 5885298346875/33554432 9117814603125/33554432
6655833459375/33554432 -4946602696875/33554432 5003262459375/16777216 4714804921875/33554432
-4507021078125/16777216 7222928184375/33554432 -8672471053125/33554432 -3189018721875/33554432
1891768471875/16777216 -449095284375/2097152 -6427679146875/33554432 -2860162453125/16777216
