1000
1300765553125/16777216 762230053125/8388608 -2497860696875/33554432 -571617940625/8388608
-2146663371875/33554432 -1362350946875/33554432 295523421875/16777216 -394644978125/8388608
-2260137296875/33554432 11870003125/131072 1233405159375/33554432 150979103125/33554432
881222521875/16777216 133078996875/2097152 -507218590625/8388608 736529440625/16777216
386077884375/8388608 -2498766134375/33554432 -196435653125/4194304 165109871875/33554432
1326641484375/33554432 792275228125/16777216 -856959540625/33554432 -1364671134375/33554432
-204134709375/8388608 -1359925890625/33554432 -114861534375/33554432 877547915625/33554432
-1353337428125/33554432 3244704771875/33554432 -29465040625/2097152 56338203125/1048576
1783256171875/33554432 -2553182684375/33554432 -1449704559375/33554432 1463206084375/33554432
651847565625/8388608 -102345234375/1048576 2239947971875/33554432 478480584375/16777216
-671351121875/16777216 170981340625/4194304 -703783659375/33554432 387031290625/4194304
-779793771875/33554432 308931153125/16777216 -1300871140625/16777216 134625746875/16777216
2124459403125/33554432 -1590554596875/16777216 2223980759375/33554432 337612640625/16777216
-2922001165625/33554432 131854153125/2097152 3101080596875/33554432 -310176615625/16777216
356972321875/8388608 1742159765625/33554432 -2324825409375/33554432 -544737028125/8388608
-1207974140625/16777216 -13454221875/8388608 -2013921078125/33554432 -19360209375/33554432
1380693153125/33554432 -61597709375/4194304 -897934434375/16777216 351844015625/4194304
2937975634375/33554432 110296140625/33554432 -1139224784375/33554432 2924000034375/33554432
-1492527196875/33554432 -1721914859375/33554432 -2244934840625/33554432 341367403125/4194304
143149709375/16777216 -160315728125/2097152 -203995728125/8388608 294865859375/33554432
-962477665625/33554432 736601696875/33554432 -232146040625/33554432 -465683159375/16777216
453182103125/33554432 -585571821875/16777216 -1861863515625/33554432 161737915625/33554432
2154351290625/33554432 921271459375/16777216 -391129234375/4194304 -1444021059375/33554432
98457703125/4194304 1265560303125/33554432 -904045528125/16777216 144746371875/33554432
100647709375/8388608 390929203125/8388608 -72332540625/4194304 -1993757665625/33554432
-3341200628125/33554432 -1306630359375/16777216 1369502696875/16777216 -1924258953125/33554432
1560478146875/33554432 2226736978125/33554432 133625090625/8388608 -1243854640625/16777216
-467917184375/33554432 2361261346875/33554432 782278521875/33554432 -521813059375/8388608
1606449896875/33554432 -3089756334375/33554432 -1543384971875/16777216 -1304029178125/33554432
790828940625/16777216 -3010232609375/33554432 287765190625/4194304 -873969178125/33554432
-119845146875/33554432 943814828125/16777216 -1580231484375/33554432 1869892115625/33554432
-413435690625/4194304 -2285552259375/33554432 2296843965625/33554432 44856578125/33554432
-80282384375/8388608 -661300971875/33554432 230133228125/33554432 220745828125/4194304
6655109375/8388608 45987046875/2097152 -29590490625/16777216 452956990625/8388608
1619572221875/33554432 710778665625/8388608 2363178621875/33554432 -139606478125/33554432
3162371740625/33554432 -527384834375/8388608 -1073365571875/33554432 -1144332140625/16777216
-1304001259375/33554432 415857384375/33554432 1582783746875/33554432 -803413959375/16777216
375093653125/8388608 2246899584375/33554432 42638190625/524288 169220565625/8388608
1619072853125/33554432 32196678125/524288 114746459375/4194304 805185653125/33554432
-969050103125/16777216 -99124353125/16777216 -2379822953125/33554432 107049665625/2097152
2163762134375/33554432 1570438040625/16777216 81484296875/16777216 96928040625/2097152
46220971875/33554432 1852542071875/33554432 -208481746875/16777216 -2976823353125/33554432
-1301677253125/33554432 1651279971875/33554432 -663498090625/16777216 -1204803015625/16777216
814652640625/16777216 2599724721875/33554432 900162821875/33554432 2573988721875/33554432
52371590625/8388608 86101090625/4194304 -1209984484375/16777216 338792490625/33554432
-155680784375/2097152 1238933078125/16777216 -2573684903125/33554432 2490857578125/33554432
-516728671875/33554432 -1783096034375/33554432 -257361340625/4194304 70915409375/8388608
538283890625/33554432 155099871875/8388608 -817674759375/8388608 3309919653125/33554432
-285039028125/4194304 -1012673184375/33554432 -109616528125/2097152 460598709375/16777216
168148971875/16777216 344627659375/8388608 1323962353125/33554432 -1549498903125/16777216
-921340871875/16777216 -1139518078125/33554432 -2069843265625/33554432 -593918165625/33554432
-971490265625/33554432 -10492609375/16777216 -605698165625/8388608 2031394740625/33554432
-913538378125/16777216 1552757628125/33554432 515453759375/16777216 111282471875/2097152
561066284375/33554432 1001025859375/33554432 -2399398128125/33554432 3042389396875/33554432
1123002303125/16777216 191473628125/4194304 -476905990625/8388608 185863646875/8388608
-2812015090625/33554432 -1205913140625/33554432 12978896875/524288 -2396978125/131072
140600428125/16777216 1594323546875/16777216 3242137909375/33554432 -48039471875/33554432
3318105984375/33554432 -127969365625/16777216 2072513334375/33554432 -1169562171875/16777216
361271428125/16777216 162500328125/4194304 -614790821875/16777216 482444946875/33554432
-1183497146875/33554432 2102581103125/33554432 -3182043590625/33554432 -991323946875/33554432
-2721758215625/33554432 1053812290625/16777216 -706964321875/8388608 1415083646875/33554432
1473509396875/33554432 -41860309375/16777216 2829152271875/33554432 7742765625/33554432
2878632853125/33554432 2898054796875/33554432 -2317924565625/33554432 78627703125/1048576
581373471875/33554432 1906605328125/33554432 302992540625/33554432 -463130440625/33554432
268896553125/33554432 1410621921875/16777216 2385584240625/33554432 -1622701840625/33554432
750288859375/8388608 -34475246875/524288 -601122246875/16777216 -1534995628125/16777216
412753540625/8388608 -413019621875/16777216 -1628021021875/16777216 947418709375/16777216
-346933759375/16777216 -474734921875/8388608 -1212581965625/16777216 2396208959375/33554432
1195259034375/16777216 303047734375/4194304 -132136421875/8388608 1228017271875/33554432
-68857046875/16777216 994870040625/16777216 -1120007446875/16777216 -450818953125/33554432
250301215625/33554432 -570720909375/33554432 -2057695028125/33554432 -3313346146875/33554432
2546301309375/33554432 -315649153125/4194304 273969365625/8388608 -293461853125/8388608
2342866678125/33554432 1110850740625/33554432 3136645740625/33554432 -693851684375/33554432
-2803979996875/33554432 -387917378125/33554432 -3186703125/8388608 -1500630321875/16777216
-1368475559375/33554432 489318959375/8388608 -1675015596875/33554432 -189595009375/2097152
1655189603125/16777216 1394931590625/16777216 688926171875/16777216 -160552503125/33554432
2554495184375/33554432 -795391778125/8388608 1487429246875/16777216 53103040625/33554432
1246252703125/16777216 -911269615625/33554432 22816453125/33554432 -1466855271875/16777216
-821047428125/33554432 1665043796875/16777216 -781799428125/8388608 -161052671875/4194304
13741540625/4194304 -2525920003125/33554432 -671964259375/33554432 -3340128959375/33554432
14777840625/33554432 -171797665625/16777216 -207485728125/16777216 651384609375/8388608
140956946875/4194304 -85548315625/4194304 -448469709375/8388608 89948009375/1048576
268654040625/8388608 1167033440625/16777216 -469242840625/8388608 -2237113240625/33554432
2251553403125/33554432 -1307824021875/33554432 -3313219159375/33554432 -1495090815625/16777216
229896890625/16777216 1328517665625/16777216 -2286711784375/33554432 2308790515625/33554432
-1225569396875/16777216 246598334375/8388608 37248365625/2097152 -1659543115625/16777216
-797814134375/33554432 365937615625/4194304 -2525887946875/33554432 1486608128125/33554432
-403881996875/4194304 -706295278125/8388608 -26599290625/16777216 139465946875/16777216
2236550371875/33554432 -28359828125/524288 861260409375/33554432 12883653125/8388608
1233242346875/16777216 1764802603125/33554432 2471916071875/33554432 42798403125/16777216
-2009052871875/33554432 -1417035659375/16777216 -65528228125/4194304 -1051674203125/16777216
-1519301465625/16777216 -106739740625/33554432 -2558084446875/33554432 -1024709271875/16777216
785484053125/8388608 574256271875/16777216 747749078125/8388608 -3063829378125/33554432
1375926790625/16777216 898415378125/33554432 -488574978125/8388608 8252540625/2097152
-10642096875/2097152 885861715625/33554432 1456408028125/16777216 -180722596875/16777216
2719459359375/33554432 -743539003125/33554432 -1808010971875/33554432 1628392859375/33554432
-444956959375/16777216 -2642973546875/33554432 -155893846875/8388608 -1037752403125/33554432
2463428984375/33554432 -234003015625/8388608 -2063612196875/33554432 -1058907178125/16777216
-859791565625/33554432 1628294040625/16777216 -5378509375/262144 -786398121875/16777216
2879994478125/33554432 424598215625/33554432 -269170990625/8388608 -1445136834375/16777216
1569563340625/16777216 -3307956853125/33554432 -2513261421875/33554432 -509837940625/33554432
-409240290625/16777216 -2499634090625/33554432 2039062603125/33554432 -459498221875/16777216
-1354056359375/33554432 -148170690625/4194304 -3062274296875/33554432 189985665625/33554432
2719579384375/33554432 -509200546875/16777216 -160828509375/8388608 801633709375/33554432
684175990625/33554432 666489959375/33554432 -592717478125/16777216 -7559221875/2097152
971571203125/33554432 -1537977478125/16777216 -2376699515625/33554432 703871046875/33554432
-2847798396875/33554432 342799709375/16777216 -810028540625/33554432 2954225615625/33554432
-663545390625/16777216 859674628125/16777216 -1277261084375/16777216 -72591803125/8388608
-1431292715625/16777216 -416618321875/8388608 2291576871875/33554432 -2646503065625/33554432
-296355746875/33554432 -298127384375/8388608 -1621460165625/16777216 -112556015625/4194304
-487792546875/33554432 1519294328125/16777216 33476103125/1048576 -1566044303125/33554432
-1763118515625/33554432 -576201003125/16777216 -1292077515625/33554432 -2848506815625/33554432
-552836178125/8388608 194592753125/33554432 -823805496875/33554432 -661008671875/33554432
-2127613928125/33554432 -172250490625/33554432 2306905490625/33554432 1092286315625/16777216
11093365625/4194304 -219046296875/4194304 2179925153125/33554432 592044765625/16777216
834061015625/16777216 -1062610228125/33554432 -1162865184375/33554432 -130704540625/2097152
-2102350996875/33554432 -19232484375/16777216 1576396603125/33554432 392426384375/16777216
-3275015284375/33554432 -510513265625/16777216 1936780196875/33554432 2255343228125/33554432
40494271875/16777216 1348937728125/33554432 2396200959375/33554432 32840321875/8388608
-282966396875/4194304 -3188637796875/33554432 -3176255890625/33554432 -346186359375/4194304
-1139954865625/16777216 -1455705190625/33554432 1099235784375/33554432 -1150301840625/16777216
601506771875/16777216 -23682621875/1048576 -1348946384375/33554432 -2661258690625/33554432
39330553125/8388608 -2179473528125/33554432 -1053349371875/33554432 -2068125128125/33554432
-197593415625/4194304 -217670346875/16777216 -370903178125/16777216 531359903125/16777216
3003987784375/33554432 -706312703125/16777216 -87417671875/4194304 -1464533078125/33554432
154548471875/4194304 3243803428125/33554432 -255369359375/4194304 5372771875/524288
-1086049034375/33554432 590200959375/8388608 -2003568503125/33554432 826448409375/8388608
-44655628125/524288 532199909375/16777216 1086354403125/16777216 91691046875/8388608
-778225128125/33554432 -683242465625/8388608 -79782021875/33554432 -30147334375/8388608
1034476009375/16777216 910882171875/16777216 1879000890625/33554432 1898884009375/33554432
608408784375/8388608 133997028125/16777216 938089440625/16777216 -333464684375/16777216
462702434375/8388608 -1317470240625/16777216 -32405346875/1048576 -831888546875/16777216
-322932509375/4194304 -1300755478125/16777216 848290371875/16777216 1499215903125/16777216
-406310703125/8388608 -390225140625/4194304 234844803125/8388608 -4871259375/2097152
-1159408353125/16777216 33175221875/8388608 193152453125/16777216 -298246153125/8388608
-1026232865625/16777216 -3341893978125/33554432 1001997296875/16777216 26290171875/2097152
-527540390625/8388608 -1793190625/8388608 211927190625/8388608 3109006753125/33554432
-1112881190625/33554432 -242379190625/4194304 -195452353125/2097152 -837360396875/33554432
-2686678828125/33554432 1292018528125/16777216 -1747636365625/33554432 3030122046875/33554432
253618328125/8388608 398096890625/8388608 -1452972040625/16777216 37881646875/16777216
-1309058690625/16777216 292299253125/33554432 -3207507215625/33554432 2787733315625/33554432
1237550328125/33554432 2716387153125/33554432 -2161141965625/33554432 618886828125/33554432
1378297784375/33554432 -2449959375/131072 934150434375/16777216 -1583000371875/33554432
30602753125/8388608 1089714334375/16777216 -2577732084375/33554432 -2467068946875/33554432
1302124315625/16777216 80687971875/33554432 -1788100496875/33554432 -2832156621875/33554432
-107408678125/4194304 2790030634375/33554432 500542928125/16777216 -35997796875/16777216
1782047140625/33554432 3134521003125/33554432 38532640625/2097152 -2070735578125/33554432
952525209375/16777216 144750359375/8388608 339132046875/4194304 412330821875/33554432
-835558521875/16777216 1269874096875/16777216 58426928125/8388608 -3325031565625/33554432
1310995846875/33554432 1149091178125/33554432 1255784571875/33554432 1853329709375/33554432
-1696215284375/33554432 -619795453125/8388608 353295021875/16777216 221360128125/33554432
3004065153125/33554432 2185154059375/33554432 737233015625/8388608 25516540625/1048576
-759190796875/16777216 -778847390625/8388608 -80694034375/16777216 -155513134375/4194304
-1043621834375/33554432 -1993118390625/33554432 836813865625/33554432 264022521875/33554432
-2586245246875/33554432 -3341636246875/33554432 77264609375/33554432 -831592965625/8388608
1676474028125/16777216 -233384909375/16777216 1529635859375/33554432 960403540625/16777216
-886501915625/33554432 -21485546875/524288 -476224021875/8388608 -184688971875/16777216
574944109375/33554432 195925809375/33554432 -1700347784375/33554432 1672155246875/16777216
-268549840625/16777216 2066195021875/33554432 -2551840625/33554432 1115028771875/16777216
98726603125/4194304 -1049347296875/33554432 1094618571875/16777216 1829932578125/33554432
80812140625/33554432 2981035028125/33554432 -704517571875/16777216 1901926203125/33554432
-2156902534375/33554432 -2821471178125/33554432 441282709375/8388608 -2181926265625/33554432
-1207416640625/33554432 -1113635321875/16777216 -793688390625/33554432 -269299078125/8388608
-119732153125/33554432 627554809375/16777216 69300121875/1048576 1487086946875/16777216
-812367859375/33554432 1380604921875/16777216 1250180284375/33554432 2667643809375/33554432
-640230790625/8388608 791432709375/16777216 151788540625/33554432 1011734134375/33554432
-2101124459375/33554432 -397008303125/33554432 -1577943490625/33554432 -995037553125/33554432
-1759609796875/33554432 -644549528125/8388608 1262851690625/33554432 1626493096875/16777216
783456290625/16777216 903400853125/16777216 1670598440625/33554432 977262459375/33554432
223669846875/33554432 -437735828125/8388608 983325715625/16777216 -1171394078125/16777216
-596449228125/8388608 -96761159375/4194304 -185508184375/8388608 -474627465625/16777216
634071078125/33554432 1076402671875/16777216 -798291665625/33554432 2505538659375/33554432
-2835117984375/33554432 -25987221875/262144 2747822534375/33554432 -1138238365625/16777216
51096746875/2097152 -1763607740625/33554432 -2539803271875/33554432 983802459375/33554432
-1181806809375/16777216 -1318563496875/33554432 -984486778125/16777216 2529565625/16777216
2147330146875/33554432 -179046484375/2097152 253844646875/33554432 380483240625/8388608
398739171875/4194304 -189110890625/4194304 -1066324690625/33554432 -436147096875/16777216
36741928125/524288 -1990104215625/33554432 -2160228121875/33554432 1269303090625/16777216
-2738484815625/33554432 -20279790625/1048576 692189096875/8388608 3329992434375/33554432
2746177346875/33554432 2790801278125/33554432 -1310017146875/16777216 279572515625/8388608
1836535065625/33554432 -240859821875/8388608 -3258630521875/33554432 -1011488209375/16777216
-921170590625/16777216 2959522428125/33554432 1972354528125/33554432 -88757515625/33554432
-108003271875/4194304 2637071096875/33554432 -950968865625/16777216 2598077446875/33554432
-112084353125/33554432 948423140625/33554432 -685449359375/8388608 -2772573840625/33554432
29830040625/33554432 -1609026159375/33554432 -1532293978125/16777216 -831218584375/16777216
222596971875/4194304 -1989946875/4194304 -478195296875/16777216 -1126093634375/16777216
1783039571875/33554432 -3345604884375/33554432 1044261946875/16777216 -1044582915625/33554432
-1395865625/131072 -1181377078125/16777216 859232471875/33554432 174387246875/8388608
617786890625/33554432 -2409193128125/33554432 -114614984375/4194304 2804565478125/33554432
63596046875/1048576 -2425682553125/33554432 -3080365121875/33554432 -893673034375/16777216
-49128496875/16777216 -1186759615625/16777216 187800465625/16777216 130652303125/16777216
-2804289928125/33554432 -1759263603125/33554432 1377365796875/16777216 -1409112784375/33554432
87615721875/8388608 436574121875/8388608 -348499871875/16777216 521733853125/8388608
1395775721875/16777216 536732715625/16777216 1445331209375/33554432 1185758034375/33554432
817976771875/33554432 253074540625/16777216 -16485909375/33554432 452835646875/16777216
-2980531215625/33554432 -14179665625/8388608 -1474018215625/33554432 -158084140625/8388608
-154121609375/2097152 1500140334375/16777216 -296828603125/4194304 38100178125/1048576
441666784375/33554432 2443022221875/33554432 -2705301515625/33554432 1450873553125/33554432
-2641319271875/33554432 8454378125/8388608 -1671213078125/33554432 -2623110990625/33554432
-1901553390625/33554432 218345928125/8388608 -2552393315625/33554432 337706521875/16777216
-1505682434375/33554432 -456567728125/16777216 2452776503125/33554432 42530171875/2097152
-227016534375/16777216 87076721875/8388608 153286865625/2097152 -451020071875/33554432
177717065625/33554432 1244644440625/33554432 584758184375/16777216 711981071875/16777216
94877321875/8388608 -1027902709375/33554432 483333340625/16777216 -751047865625/16777216
295893303125/4194304 -27915559375/16777216 383606228125/8388608 2292587409375/33554432
-894282965625/33554432 -3233040984375/33554432 -482307984375/33554432 -211137078125/16777216
932314115625/16777216 -1551212459375/16777216 2707667159375/33554432 -1394031140625/33554432
820822453125/16777216 309049203125/33554432 2330750371875/33554432 -475740321875/16777216
-712299990625/16777216 708018621875/16777216 681208978125/33554432 557792090625/16777216
-364746371875/16777216 2304480521875/33554432 2584633059375/33554432 -149970284375/2097152
-34376784375/16777216 -651371190625/8388608 -355642146875/16777216 1672350915625/33554432
1347302384375/33554432 2477599040625/33554432 1940152896875/33554432 2951113684375/33554432
183359334375/2097152 -810151934375/16777216 619693353125/16777216 883497809375/33554432
1076981440625/33554432 2480739015625/33554432 2102874303125/33554432 331371365625/33554432
-448601278125/33554432 -958247959375/16777216 -478864253125/16777216 2836121584375/33554432
-926020940625/16777216 -664488828125/33554432 -91166453125/4194304 3225206390625/33554432
-803886984375/33554432 -374448546875/8388608 -1474107009375/33554432 -1543850815625/33554432
-786026409375/16777216 1423281671875/33554432 717065978125/8388608 -13663234375/33554432
283821921875/8388608 788953796875/16777216 44553296875/2097152 541773334375/33554432
-1033235365625/16777216 911667503125/33554432 -1233206184375/16777216 -143718678125/4194304
240175284375/16777216 1654356953125/33554432 2634227290625/33554432 52650721875/4194304
1160525653125/33554432 -2792147703125/33554432 787916865625/16777216 698310365625/8388608
3276716515625/33554432 -1489052890625/16777216 -3021853203125/33554432 -120208621875/2097152
1855667953125/33554432 -450519828125/8388608 1484279590625/33554432 170987153125/8388608
-85919053125/1048576 -386691440625/16777216 -3072782328125/33554432 1619441021875/33554432
1334236628125/16777216 86736928125/2097152 -2120036553125/33554432 211218278125/33554432
-2024205559375/33554432 -2931168028125/33554432 817928709375/33554432 -377522515625/16777216
739625928125/8388608 2563670940625/33554432 -1956042828125/33554432 1914429421875/33554432
-92084759375/8388608 -1987737728125/33554432 -745250665625/16777216 -3258161346875/33554432
1466904628125/33554432 1469981803125/33554432 -222956296875/4194304 549450890625/16777216
-3281905409375/33554432 -1584222621875/33554432 -3243796153125/33554432 -1090735215625/33554432
1157959703125/33554432 2679012140625/33554432 -724667359375/16777216 325154628125/16777216
143413365625/16777216 3017599753125/33554432 763183871875/33554432 -542955915625/8388608
1820024259375/33554432 -376855940625/16777216 -105446584375/16777216 2875930953125/33554432
391918909375/16777216 -9268134375/2097152 2950487065625/33554432 140521065625/8388608
-555714896875/33554432 326745390625/4194304 685443715625/8388608 352671215625/16777216
3070888509375/33554432 282123665625/8388608 12407046875/262144 -3220166509375/33554432
1484953878125/33554432 1081010903125/33554432 366072053125/33554432 1906044590625/33554432
41648921875/33554432 206944146875/16777216 -154121540625/8388608 -3091753796875/33554432
-2754546875/16777216 -488786684375/16777216 -259731015625/4194304 258048209375/16777216
186695640625/33554432 1844498096875/33554432 105451421875/16777216 -228977603125/16777216
-465190178125/16777216 898273328125/16777216 1551828384375/33554432 702949921875/16777216
948375634375/33554432 -179504053125/4194304 947372846875/33554432 837367946875/33554432
-676255709375/33554432 -1945633690625/33554432 376946478125/8388608 -76873390625/8388608
-3265454384375/33554432 2186262821875/33554432 -190785296875/33554432 -342277134375/8388608
1236502753125/16777216 220277171875/4194304 260128303125/4194304 -1737190103125/33554432
666672015625/16777216 2492056403125/33554432 -821989984375/8388608 -1953083590625/33554432
-1401310809375/16777216 -935117140625/16777216 711395678125/16777216 91408003125/16777216
-2984997846875/33554432 -1381696821875/33554432 3050884534375/33554432 -784638865625/16777216
-352386103125/4194304 406029778125/8388608 777199346875/33554432 3093281590625/33554432
1596214303125/33554432 -297797271875/16777216 -1421217634375/16777216 -1456989571875/16777216
336107109375/16777216 -1641890596875/33554432 -785487509375/16777216 1027216228125/33554432
-418536328125/33554432 976868034375/33554432 -477824859375/33554432 -446174265625/16777216
1518338128125/16777216 -7414140625/2097152 161560515625/8388608 1208505765625/33554432
-180345084375/4194304 -2920183859375/33554432 1046578415625/33554432 -135209121875/4194304
-697151528125/33554432 -2044362009375/33554432 890552865625/33554432 599245421875/33554432
64003484375/2097152 -216546040625/33554432 2603421090625/33554432 1109299296875/33554432
2285916190625/33554432 699180009375/33554432 703406440625/16777216 -298996909375/8388608
-137453896875/8388608 -2880235590625/33554432 2177305546875/33554432 116964140625/8388608
622685384375/33554432 -386312534375/16777216 995474890625/16777216 99290134375/16777216
3050638778125/33554432 183929965625/2097152 369904428125/8388608 -2044659428125/33554432
-1180718040625/33554432 -2599561090625/33554432 2491896828125/33554432 -1781464159375/33554432
197298015625/2097152 1416389790625/16777216 175372534375/16777216 158280615625/33554432
7123284375/33554432 711341228125/16777216 -1012480115625/33554432 125438828125/8388608
-282890803125/33554432 -2613431009375/33554432 1378575953125/33554432 -1250467328125/33554432
79322815625/33554432 -603218328125/33554432 -430418921875/33554432 1337651753125/33554432
-326422278125/16777216 -3111156159375/33554432 2866825546875/33554432 1180765165625/33554432
-305500540625/4194304 1588933003125/16777216 1881881065625/33554432 -3349986790625/33554432
-296950821875/8388608 2922534146875/33554432 623566990625/8388608 -807544896875/8388608
56686365625/33554432 1460743234375/33554432 372564040625/16777216 -1421751371875/16777216
-1020132490625/16777216 358349128125/33554432 -480918215625/33554432 -578224778125/8388608
-1287694928125/16777216 -2839700121875/33554432 1525305828125/33554432 896451271875/33554432
1222017509375/33554432 -845169753125/16777216 1317269734375/33554432 1187434540625/16777216
79632421875/16777216 -922157771875/33554432 540332734375/33554432 -1929718071875/33554432
1746078534375/33554432 -696379721875/8388608 -2283949478125/33554432 -3304872053125/33554432
-97248346875/8388608 -3094774696875/33554432 -715780584375/33554432 -412768096875/8388608
849953853125/33554432 569546596875/16777216 -466663146875/33554432 -2274770384375/33554432
-634212403125/33554432 1292976178125/33554432 33333590625/1048576 -854965115625/16777216
1023652084375/16777216 1428501884375/16777216 -1471128596875/16777216 1373030934375/33554432
1594551028125/33554432 1460692178125/33554432 515825653125/33554432 135567890625/8388608
-166831990625/4194304 -2247138790625/33554432 359302465625/4194304 -104361328125/1048576
975724540625/33554432 173608778125/16777216 -1730524046875/33554432 876941909375/33554432
1159499003125/16777216 -3354309790625/33554432 747288284375/33554432 -1947605640625/33554432
-1296517803125/16777216 1203181009375/16777216 1380835653125/33554432 297819909375/4194304
2503951734375/33554432 -354538334375/16777216 2895762278125/33554432 -816291378125/33554432
400044296875/16777216 -362799078125/16777216 2434239465625/33554432 747592415625/8388608
102388815625/1048576 -99126165625/2097152 -2572643059375/33554432 3147749034375/33554432
-744807590625/16777216 -46428978125/4194304 -1922554165625/33554432 -1865503165625/33554432
18934665625/262144 870203284375/33554432 -3013985415625/33554432 1796282440625/33554432
-46810759375/4194304 -1351955534375/33554432 61849784375/8388608 664617921875/33554432
-140701434375/4194304 1652749403125/16777216 -639251009375/8388608 -1489042540625/33554432
-633679059375/33554432 365053021875/16777216 354173103125/8388608 1082097465625/16777216
3074795584375/33554432 -284562965625/33554432 -160319165625/8388608 597700928125/8388608
2250021953125/33554432 399440140625/33554432 -206069321875/2097152 2623043678125/33554432
