1600
450698253125/4194304 157585206875/1048576 82633855625/524288 -139397885625/2097152
419033543125/4194304 -491464375/131072 13460553125/262144 -45607575625/1048576
-61396909375/2097152 -498885624375/4194304 -20926825625/1048576 22547144375/1048576
250255388125/2097152 6995483125/2097152 -155750350625/2097152 218926311875/2097152
-327640848125/4194304 -159722964375/2097152 255465474375/4194304 392754063125/4194304
278607133125/2097152 -55479371875/2097152 16507254375/1048576 -123732525625/2097152
-290387679375/2097152 -59609506875/1048576 -390930193125/4194304 232038990625/4194304
-233753273125/4194304 251483599375/2097152 -436042436875/4194304 -147416496875/2097152
-245242210625/4194304 96672028125/1048576 -967934375/1048576 -151892713125/2097152
-69908513125/524288 -47195250625/4194304 195523659375/4194304 -58416334375/4194304
396580535625/4194304 -56399038125/1048576 117972869375/1048576 76473551875/524288
81223618125/2097152 560223721875/4194304 398595619375/4194304 -223757123125/4194304
80562436875/1048576 -312016858125/2097152 -94999530625/4194304 68584673125/1048576
-507083759375/4194304 -289892405625/4194304 88820799375/2097152 -583140258125/4194304
-139959308125/4194304 -582021724375/4194304 350084561875/4194304 -69788029375/4194304
-56206529375/1048576 -119085676875/2097152 98048693125/2097152 -553539116875/4194304
-227221090625/2097152 -22510706875/2097152 -55198664375/2097152 -641080636875/4194304
492943606875/4194304 -229106920625/4194304 -40109294375/1048576 -12917524375/1048576
-197012174375/4194304 415071485625/4194304 -374182395625/4194304 -63882076875/4194304
-229804813125/4194304 332165370625/2097152 -76481400625/524288 86407025625/4194304
-388674549375/4194304 234104668125/2097152 3164160625/2097152 133263260625/1048576
63785314375/524288 -107366705625/4194304 432768056875/4194304 -244764590625/4194304
456282563125/4194304 -11615276875/4194304 -657494600625/4194304 -483875683125/4194304
-508358516875/4194304 -160262065625/4194304 -646004263125/4194304 -568573281875/4194304
-369229075625/4194304 -43297279375/524288 73801465625/4194304 322148189375/4194304
477444705625/4194304 31892776875/262144 -144770960625/4194304 78558591875/1048576
-280909140625/4194304 592276511875/4194304 18264034375/131072 264656874375/4194304
57185848125/2097152 -296988194375/2097152 -346610496875/4194304 4612861875/1048576
38547495625/4194304 53028315625/2097152 -79935123125/2097152 336926136875/4194304
-167599843125/1048576 -48341948125/1048576 81495025625/2097152 486128204375/4194304
-63385298125/524288 -18092989375/4194304 -414516786875/4194304 -145269358125/1048576
-151242216875/2097152 537883126875/4194304 571135243125/4194304 453397045625/4194304
-149311656875/2097152 498148995625/4194304 209017014375/2097152 104405818125/2097152
-220419825625/2097152 -19957405625/2097152 -48840391875/524288 102750894375/2097152
37092135625/262144 -638620188125/4194304 -334798610625/2097152 94541890625/4194304
137568105625/4194304 -20196774375/524288 -180205674375/4194304 -323708798125/2097152
278773939375/4194304 161182144375/2097152 326977529375/4194304 -117151095625/4194304
44240660625/1048576 -574092498125/4194304 -82809845625/2097152 41324253125/262144
57357999375/524288 202185156875/2097152 334704963125/2097152 242368966875/4194304
-15253144375/4194304 -80806389375/2097152 -7121853125/1048576 -14325504375/524288
-124075930625/4194304 13728476875/131072 2449888125/16384 -113306484375/1048576
485119094375/4194304 21124461875/1048576 -236980429375/4194304 -53617686875/2097152
71810581875/4194304 154160085625/2097152 -164525955625/4194304 116855096875/2097152
202421059375/4194304 308316249375/2097152 585719929375/4194304 42504923125/2097152
-82928851875/4194304 152953990625/2097152 46913525625/524288 7527319375/65536
17719204375/131072 -360878323125/4194304 382522678125/4194304 -224498808125/2097152
236128164375/2097152 -391866315625/4194304 -161089293125/2097152 323129768125/4194304
5572911875/4194304 -354628754375/4194304 -565286755625/4194304 172961114375/2097152
-88543371875/1048576 87045529375/4194304 -125007763125/2097152 -319842613125/4194304
-9524421875/262144 -33432073125/524288 460002558125/4194304 70427369375/1048576
-596472856875/4194304 -374154933125/4194304 -203331414375/2097152 -418550735625/4194304
142039851875/4194304 160592711875/2097152 -130107555625/4194304 -219846631875/2097152
260534246875/4194304 -369831273125/4194304 -119057374375/2097152 -596399808125/4194304
347747041875/4194304 -287764873125/2097152 270923775625/2097152 445319603125/4194304
-129907896875/2097152 -620166595625/4194304 -23754615625/1048576 -8048304375/4194304
69124190625/1048576 260591906875/4194304 397349583125/4194304 360645625/4096
-16100953125/131072 79148639375/1048576 -268322041875/2097152 143122675625/2097152
201576340625/4194304 291904629375/4194304 281471271875/2097152 -6107930625/1048576
596044650625/4194304 -385331338125/4194304 10820669375/131072 157859146875/1048576
282312019375/4194304 -3490069375/65536 21349780625/2097152 -186919148125/4194304
-54245308125/1048576 -175731716875/4194304 2859965625/2097152 -521971538125/4194304
70831941875/2097152 135721071875/4194304 -239454679375/2097152 -53275436875/524288
-47221305625/524288 572533856875/4194304 189396054375/2097152 43629365625/2097152
-205811955625/2097152 -220939494375/2097152 -135749059375/1048576 -668084776875/4194304
236992844375/4194304 59243594375/524288 526325368125/4194304 159071571875/2097152
5682849375/2097152 70590206875/524288 351636813125/4194304 -248618491875/4194304
-324714819375/4194304 -9515391875/65536 -548499400625/4194304 111783538125/2097152
-8500353125/4194304 256142790625/4194304 475707111875/4194304 -27342471875/1048576
623299339375/4194304 180664190625/2097152 -3944989375/131072 -128123649375/4194304
326556961875/4194304 98896475625/1048576 -135882439375/2097152 641042533125/4194304
-130340959375/1048576 360796003125/4194304 643577243125/4194304 10423271875/524288
458798335625/4194304 415258313125/4194304 -26175505625/262144 25409190625/2097152
-81305354375/1048576 327218780625/4194304 229274919375/4194304 12312408125/524288
481822011875/4194304 -327132753125/2097152 -38318718125/4194304 -92015884375/4194304
-304313983125/4194304 -139931601875/4194304 52490831875/2097152 -347814545625/4194304
-77873281875/2097152 -41846255625/524288 84112543125/2097152 -86174965625/1048576
-311237064375/4194304 204943719375/4194304 105057870625/1048576 8990583125/4194304
-85289029375/1048576 -254793538125/4194304 659545764375/4194304 12928055625/131072
468057290625/4194304 49356771875/524288 -95693349375/1048576 -29418121875/1048576
-207168020625/4194304 -234254989375/4194304 9377978125/524288 -327667135625/4194304
73229474375/1048576 320088620625/4194304 326616294375/2097152 -114263971875/4194304
-250734168125/4194304 283497878125/4194304 -464382806875/4194304 -3886358125/32768
267394710625/2097152 17416875/32768 15068030625/4194304 319451923125/4194304
65518846875/524288 -624680856875/4194304 249630506875/2097152 66734574375/1048576
-74672574375/524288 -85747443125/4194304 22311756875/2097152 -139641075625/2097152
399264389375/4194304 216737891875/2097152 670908199375/4194304 -583351888125/4194304
633559121875/4194304 -55006623125/1048576 -27362924375/2097152 -192039923125/2097152
-19288230625/1048576 46808859375/2097152 -24063853125/262144 -111786909375/4194304
378383013125/4194304 521445775625/4194304 35657520625/524288 -425574174375/4194304
-131714839375/1048576 107599848125/4194304 70425974375/1048576 93968486875/2097152
259455319375/2097152 492018331875/4194304 55013165625/1048576 -181220249375/2097152
-117432295625/2097152 163896954375/2097152 -654046180625/4194304 39099544375/262144
65214875625/4194304 140321493125/2097152 462822854375/4194304 159678006875/1048576
667596795625/4194304 -158434804375/4194304 299364493125/4194304 47444065625/2097152
509545648125/4194304 -36862738125/524288 -193117963125/4194304 139596075625/1048576
-8393941875/4194304 -363261556875/4194304 -637184443125/4194304 227215911875/4194304
33811398125/4194304 141155939375/4194304 284049401875/2097152 -225676128125/4194304
-124398594375/2097152 -50950558125/4194304 -134274288125/4194304 -7172054375/2097152
29008919375/262144 -486339186875/4194304 236814610625/2097152 402407850625/4194304
499495183125/4194304 -247233395625/4194304 -463130396875/4194304 114460050625/4194304
641352050625/4194304 -32821749375/262144 1332776875/2097152 266300386875/2097152
-580228311875/4194304 -315790468125/4194304 233883765625/4194304 -336511698125/4194304
563140999375/4194304 -213725338125/4194304 -513524491875/4194304 -61954451875/2097152
-32463746875/524288 456347435625/4194304 8968311875/65536 -75793918125/524288
395355258125/4194304 622275910625/4194304 -226345886875/2097152 -120051286875/2097152
11964521875/524288 -227285484375/2097152 325984535625/4194304 -354729034375/4194304
52754679375/1048576 -87289126875/4194304 -237759904375/2097152 -589347059375/4194304
-117539560625/4194304 22366513125/4194304 100938860625/4194304 521674150625/4194304
-29823270625/4194304 189960545625/2097152 -28894729375/524288 8061263125/131072
556940680625/4194304 171886264375/4194304 -112054356875/1048576 -64688164375/2097152
318877646875/2097152 -373196240625/4194304 -246580086875/4194304 77997455625/2097152
35633975625/2097152 48523545625/524288 -478256900625/4194304 293387624375/2097152
-299689938125/4194304 9326613125/2097152 455899516875/4194304 71140549375/2097152
-39764285625/2097152 148616095625/4194304 -2283283125/2097152 -650852860625/4194304
-293316364375/4194304 116109611875/2097152 48656064375/524288 -33094595625/262144
457653439375/4194304 -609039056875/4194304 -321542750625/2097152 -41140514375/524288
-116212194375/1048576 -32120328125/262144 383424865625/4194304 -131997880625/1048576
-304519320625/4194304 425777201875/4194304 -60554079375/4194304 -569817405625/4194304
-180112555625/4194304 -147920561875/4194304 179022849375/2097152 82545628125/524288
-23706746875/524288 -170663333125/2097152 25212514375/4194304 -69834866875/524288
175302271875/4194304 97632689375/1048576 153040363125/2097152 306116475625/2097152
-105620180625/1048576 269361793125/4194304 -47414654375/2097152 41588760625/1048576
-594725980625/4194304 -27309114375/2097152 -528611886875/4194304 142351623125/1048576
293658274375/4194304 -354043996875/4194304 -184333183125/4194304 -523613585625/4194304
288747598125/4194304 -255319221875/2097152 -317639271875/2097152 -334907526875/2097152
-422520726875/4194304 21150498125/4194304 -5759051875/262144 214622979375/4194304
516306049375/4194304 114556760625/4194304 301734050625/4194304 -304468796875/4194304
128265479375/4194304 306252824375/2097152 234679884375/2097152 157301763125/4194304
17539576875/2097152 423908580625/4194304 38246464375/4194304 160376204375/4194304
-501387458125/4194304 96851169375/2097152 -286834924375/4194304 285619740625/2097152
-44480708125/4194304 296242806875/2097152 11064484375/4194304 -356945240625/4194304
72807266875/524288 218658926875/2097152 356133364375/4194304 229253174375/2097152
-67462255625/2097152 -105396839375/2097152 89493259375/1048576 -95140476875/1048576
-187183238125/4194304 40817686875/262144 25540408125/4194304 -91480695625/2097152
57924520625/4194304 -41267570625/1048576 -19663168125/1048576 132887039375/2097152
-484614460625/4194304 145334756875/4194304 136742063125/4194304 22643736875/524288
80124410625/2097152 76708263125/1048576 -214038408125/2097152 -256013941875/4194304
572155308125/4194304 -411008666875/4194304 207565665625/2097152 -223901161875/2097152
638640475625/4194304 14815511875/4194304 -8812269375/2097152 -271007216875/4194304
5986393125/131072 -27462229375/1048576 580549280625/4194304 187691855625/2097152
310727831875/2097152 -10984413125/524288 612652493125/4194304 378221755625/4194304
79461443125/524288 -36237471875/4194304 182018496875/2097152 -298605094375/4194304
-275409334375/2097152 616750898125/4194304 190961106875/4194304 14840900625/131072
410976133125/4194304 19229344375/131072 230819858125/4194304 -141215806875/2097152
-5841081875/262144 -275639716875/4194304 -267749731875/2097152 -100747110625/1048576
-318617161875/2097152 -379590619375/4194304 247202921875/2097152 -53099261875/1048576
273424539375/2097152 80549324375/4194304 412358691875/4194304 293540783125/4194304
-534670635625/4194304 -265036741875/2097152 -254483504375/2097152 -484708016875/4194304
-227470244375/4194304 -147964001875/4194304 21237340625/1048576 46539851875/4194304
-167882364375/2097152 -34662701875/1048576 -180557514375/2097152 43659646875/524288
158858826875/4194304 -144256448125/1048576 408401176875/4194304 -508038568125/4194304
561142759375/4194304 -415646074375/4194304 490715291875/4194304 -52013668125/2097152
183985440625/2097152 -168920868125/4194304 162726565625/2097152 -568900465625/4194304
-31107083125/262144 -276025469375/2097152 143929626875/2097152 -149144095625/1048576
-26493408125/2097152 29096159375/4194304 -103159561875/2097152 -227788013125/4194304
-544649493125/4194304 -162919603125/4194304 505014375/262144 -31873301875/524288
-300231725625/2097152 -261530984375/4194304 65784780625/524288 85944638125/4194304
142707753125/2097152 -257244934375/4194304 -18201796875/1048576 811518125/262144
110970990625/4194304 -263010421875/4194304 -479086180625/4194304 -405475099375/4194304
-151535523125/4194304 154960435625/1048576 33061636875/4194304 210708615625/4194304
446390275625/4194304 30556539375/2097152 252702508125/2097152 -10447844375/4194304
-616436935625/4194304 -620678976875/4194304 -146024410625/1048576 -178993191875/4194304
222920729375/2097152 -380492028125/4194304 553402366875/4194304 -191078613125/2097152
-4147718125/4194304 55031994375/524288 -251762251875/2097152 -503588635625/4194304
-627733490625/4194304 538788110625/4194304 308246555625/4194304 155187223125/1048576
-170223519375/2097152 76860563125/2097152 141275234375/4194304 -126263486875/1048576
-303815183125/4194304 -37842889375/524288 -641839913125/4194304 -68287383125/4194304
305701625625/2097152 -180204585625/4194304 -83388689375/1048576 -15449601875/2097152
-485235443125/4194304 141582164375/1048576 136657796875/2097152 -336521139375/4194304
-36201623125/524288 -609897201875/4194304 -213130076875/2097152 70910731875/524288
-308678338125/2097152 -73934065625/524288 -589903833125/4194304 18215781875/4194304
-507962154375/4194304 -333032459375/4194304 -334644724375/2097152 281936234375/4194304
-615196966875/4194304 -251031061875/4194304 -397150995625/4194304 -385387335625/4194304
-459970396875/4194304 568280223125/4194304 -543380823125/4194304 -3860420625/32768
-117596523125/2097152 158462524375/1048576 -623134396875/4194304 494476120625/4194304
115363133125/2097152 38386613125/4194304 593481229375/4194304 -423646409375/4194304
242228905625/4194304 201711866875/2097152 -66137549375/2097152 292556790625/4194304
254407203125/2097152 -569720864375/4194304 -31291694375/524288 -362257956875/4194304
-122213119375/4194304 633137014375/4194304 -218103311875/4194304 -274019055625/2097152
-125917386875/2097152 263623320625/4194304 -390742198125/4194304 -284150778125/4194304
-186907344375/4194304 1191916875/32768 73151118125/2097152 -514765188125/4194304
-407450118125/4194304 -54137415625/2097152 -108793268125/2097152 -31496708125/1048576
-301670740625/2097152 -206745925625/4194304 -239159561875/4194304 -105565889375/1048576
552530951875/4194304 221874336875/2097152 -197376566875/4194304 325347578125/4194304
-641688996875/4194304 -491888706875/4194304 37174000625/262144 -10511515625/2097152
-309268078125/4194304 -24095348125/524288 24910260625/262144 -190853530625/2097152
416503881875/4194304 3995265625/32768 39475135625/2097152 -144641621875/2097152
247411575625/2097152 41099665625/2097152 6892794375/4194304 363008790625/4194304
-92196580625/4194304 -151336621875/2097152 16309906875/1048576 3388754375/2097152
-9759151875/65536 166358008125/1048576 156101338125/4194304 50303293125/4194304
-50818889375/2097152 20960759375/2097152 252476591875/4194304 -205609874375/2097152
-191451154375/2097152 157602243125/2097152 -417080541875/4194304 -163683304375/4194304
44033585625/524288 274356179375/2097152 -668278576875/4194304 1639790625/524288
27155236875/262144 -14883936875/131072 121356096875/1048576 -144800444375/2097152
154870538125/4194304 -35561975625/4194304 94980451875/2097152 214133326875/2097152
274801278125/4194304 -17201554375/262144 425748076875/4194304 -182498999375/2097152
305803241875/4194304 -373023859375/4194304 39687121875/1048576 -587953251875/4194304
310260510625/2097152 297667238125/2097152 -233123176875/2097152 -207131510625/2097152
-167218131875/2097152 -236541431875/4194304 607061308125/4194304 181965594375/4194304
575904931875/4194304 630300950625/4194304 -188099450625/2097152 -92372678125/4194304
59965908125/524288 -20158206875/524288 -5154463125/2097152 -30780579375/2097152
-42148344375/4194304 439500993125/4194304 13124234375/524288 515120456875/4194304
599586569375/4194304 -124044908125/4194304 -421540063125/4194304 59342410625/1048576
-333590779375/4194304 -55755636875/1048576 -173010471875/2097152 -239958719375/4194304
-523449871875/4194304 -143916204375/4194304 -9767673125/524288 -58869416875/2097152
75978049375/2097152 416078566875/4194304 -615527430625/4194304 180656736875/4194304
112685709375/4194304 -133906886875/4194304 -102614721875/4194304 -165971609375/1048576
-514084828125/4194304 -249439929375/4194304 -214152460625/2097152 -262760559375/4194304
-171560525625/2097152 60616551875/1048576 370756485625/4194304 -644582586875/4194304
290635864375/2097152 -116134671875/4194304 89407958125/2097152 -486838515625/4194304
-26386249375/262144 -3537508125/524288 -108820671875/4194304 -9530050625/65536
18671756875/131072 213394411875/2097152 -44428575625/1048576 292060625/4194304
154475986875/2097152 101225890625/2097152 -343221463125/4194304 -183949008125/2097152
-34800546875/524288 76051754375/2097152 283626569375/4194304 70882271875/4194304
64015681875/1048576 -30469326875/2097152 345025874375/4194304 -132760045625/4194304
-34858481875/1048576 -9075393125/4194304 -331729250625/4194304 -12995538125/2097152
138543159375/1048576 72100000625/1048576 25452513125/262144 -492038525625/4194304
150093565625/2097152 -96346975625/4194304 30321221875/2097152 -61940821875/2097152
211040810625/2097152 -312465353125/4194304 -73098780625/1048576 108081560625/2097152
-86709296875/1048576 -168200713125/2097152 139920780625/4194304 -285035254375/4194304
-15476350625/131072 27554166875/524288 -169506685625/2097152 -119969366875/4194304
-323211430625/2097152 17376209375/131072 -55909098125/2097152 305570723125/2097152
483357088125/4194304 3449391875/32768 -59857766875/4194304 -563453700625/4194304
-193136838125/4194304 258244850625/4194304 99859973125/2097152 -18140585625/1048576
328040510625/2097152 -130836101875/2097152 -98207533125/4194304 -5272289375/2097152
-91734516875/2097152 522495141875/4194304 95499646875/2097152 35706361875/524288
68898818125/4194304 108704915625/4194304 -177615653125/4194304 156582633125/2097152
-22158795625/1048576 11582955625/262144 243906441875/2097152 -417554126875/4194304
-29792983125/4194304 410862021875/4194304 -315242643125/2097152 77314060625/4194304
220162755625/4194304 -123493848125/2097152 450720103125/4194304 -35929129375/1048576
-534797114375/4194304 -40133595625/1048576 -278068274375/2097152 191592801875/4194304
545512388125/4194304 309604859375/2097152 -166274349375/4194304 309065991875/2097152
14947798125/524288 -2563839375/131072 15737513125/131072 -56563925625/4194304
104097228125/4194304 10874051875/4194304 49467334375/2097152 281401304375/4194304
-205242081875/4194304 36542369375/2097152 -142930465625/1048576 -269413980625/4194304
-473957711875/4194304 26280184375/262144 -135343881875/2097152 705530625/8192
289805318125/2097152 -168332551875/4194304 36007394375/1048576 90201414375/2097152
80582838125/2097152 47130118125/524288 -53761900625/524288 524225766875/4194304
-296429416875/4194304 -352692013125/4194304 219086793125/2097152 193830601875/2097152
-161791013125/4194304 -296949194375/4194304 -7221555625/2097152 -2106375625/4194304
-120768075625/1048576 -302746568125/2097152 230054809375/2097152 -3698646875/2097152
-324642304375/2097152 -75039265625/4194304 -116353083125/2097152 28903134375/4194304
-200756404375/2097152 6141421875/524288 92434093125/1048576 -87217440625/1048576
293326698125/4194304 -1832261875/131072 628735463125/4194304 -437046974375/4194304
645192876875/4194304 -68437151875/2097152 -225085988125/4194304 7217543125/4194304
-440501866875/4194304 298836200625/4194304 -70613330625/1048576 571792015625/4194304
-36696741875/4194304 87364134375/1048576 -330242546875/4194304 -88587174375/2097152
-96134293125/4194304 -128905660625/2097152 -221968186875/2097152 377464205625/4194304
49352821875/4194304 -261122244375/2097152 523480635625/4194304 -267358379375/4194304
340504195625/4194304 258258434375/2097152 29091446875/524288 648592805625/4194304
486736065625/4194304 605554059375/4194304 39154058125/262144 -12728565625/262144
185563905625/2097152 -611357938125/4194304 -217984440625/2097152 245267436875/2097152
-533676723125/4194304 -323560720625/2097152 461160170625/4194304 -206030923125/2097152
-242977455625/4194304 -472541383125/4194304 -628458799375/4194304 -25625663125/2097152
-24142613125/524288 -84025990625/4194304 -241485574375/4194304 617437475625/4194304
305198644375/4194304 253711505625/2097152 76484438125/1048576 -399316938125/4194304
306247440625/2097152 600276171875/4194304 222134933125/2097152 700818125/4194304
-1496875625/16384 -54843855625/2097152 116385450625/2097152 580396653125/4194304
-87164429375/2097152 -547732321875/4194304 -313640353125/4194304 302907825625/4194304
-232712764375/2097152 -302172528125/4194304 475076429375/4194304 49294289375/2097152
-66255880625/4194304 278648785625/2097152 -251695495625/2097152 507080778125/4194304
-76654088125/524288 -205722700625/2097152 246334261875/2097152 -44181235625/4194304
-246683385625/2097152 133165810625/4194304 -305249526875/4194304 -1469971875/2097152
-405928693125/4194304 647551995625/4194304 -471805305625/4194304 34863239375/2097152
-234918568125/4194304 -20679621875/2097152 2786930625/524288 -97067634375/1048576
-233333911875/4194304 35789249375/1048576 -260458101875/4194304 641905646875/4194304
654858274375/4194304 -193837720625/4194304 443200674375/4194304 -40194783125/2097152
510052348125/4194304 112625446875/2097152 400549869375/4194304 -16844875625/2097152
-255677116875/4194304 -36793074375/4194304 -46199649375/1048576 -21119695625/2097152
-594400665625/4194304 -23509968125/262144 206082308125/2097152 56726289375/4194304
-589641521875/4194304 350579849375/4194304 207918139375/2097152 -47551350625/4194304
602621565625/4194304 60445559375/2097152 -620361440625/4194304 423087256875/4194304
-42866173125/1048576 259981546875/4194304 541663008125/4194304 -323297650625/2097152
35024334375/1048576 -90510770625/2097152 7503255625/2097152 4842813125/65536
-11450693125/4194304 270898029375/4194304 -7359453125/65536 355427749375/4194304
-215425350625/4194304 36233884375/262144 174451581875/4194304 -116330845625/2097152
503776370625/4194304 -109972246875/2097152 181347825625/4194304 -459249826875/4194304
235838698125/2097152 -205976780625/2097152 -309230063125/2097152 -209157203125/2097152
241826396875/2097152 -300052255625/2097152 -591198158125/4194304 629838525625/4194304
-205774119375/4194304 433924573125/4194304 31891804375/262144 589305155625/4194304
32990326875/262144 -377782764375/4194304 22261404375/2097152 118487460625/1048576
20745164375/2097152 64183803125/1048576 494357243125/4194304 186942045625/2097152
483202238125/4194304 -447925274375/4194304 -173583918125/4194304 -37732263125/4194304
83392646875/1048576 -266480261875/4194304 -248488044375/4194304 387868824375/4194304
-19519244375/4194304 5641836875/65536 58815175625/2097152 143235919375/2097152
-161566285625/4194304 -128009620625/4194304 -7076715625/131072 147448561875/1048576
-150951928125/2097152 150756339375/4194304 -325816144375/2097152 33997758125/4194304
24897763125/1048576 -294906543125/2097152 -342693333125/4194304 -122078610625/2097152
-303466460625/4194304 -81191924375/4194304 8431949375/1048576 4786568125/32768
655216174375/4194304 325738924375/2097152 456261131875/4194304 336404305625/4194304
-15387983125/262144 -617171329375/4194304 -389148989375/4194304 31132466875/2097152
162889381875/1048576 -20335819375/1048576 228094445625/4194304 -125085974375/4194304
299154754375/4194304 107839086875/2097152 -139645718125/1048576 -54341100625/1048576
-661770191875/4194304 193976720625/4194304 540055081875/4194304 -663357585625/4194304
219299703125/2097152 648762893125/4194304 237696674375/2097152 173867364375/4194304
383809010625/4194304 -298193690625/4194304 -259819538125/2097152 -84745113125/2097152
211775625/32768 -478341925625/4194304 570106580625/4194304 134396334375/4194304
56820456875/1048576 96804109375/2097152 622400209375/4194304 36808920625/1048576
-300766261875/4194304 61652993125/524288 -429934570625/4194304 -221147485625/4194304
-89186150625/2097152 174140390625/4194304 125127995625/2097152 280091551875/4194304
519958313125/4194304 -293332134375/4194304 -59217061875/4194304 178262184375/2097152
-170633009375/4194304 357919061875/4194304 182830725625/2097152 -20873111875/262144
-141752651875/2097152 -11318390625/1048576 -502981234375/4194304 -323211829375/4194304
-126097039375/4194304 -67642921875/4194304 172504764375/2097152 309750960625/2097152
314606085625/2097152 17681024375/262144 9396936875/131072 -25757658125/1048576
-17897918125/262144 102385503125/1048576 98767960625/4194304 245730298125/2097152
-490531561875/4194304 263929601875/4194304 -280112513125/4194304 54833871875/4194304
-237367978125/4194304 243709071875/2097152 188118953125/4194304 166007453125/4194304
-492107423125/4194304 465360059375/4194304 -248451678125/4194304 463775783125/4194304
1043613125/32768 -471460014375/4194304 240988901875/4194304 -325122770625/4194304
103522686875/2097152 -625428229375/4194304 -151217219375/1048576 -433189924375/4194304
-204072705625/4194304 -556767300625/4194304 151864901875/4194304 -27833893125/2097152
54039215625/4194304 9707520625/4194304 -524204650625/4194304 -193917658125/2097152
-597128418125/4194304 -36951201875/262144 55886331875/2097152 286560003125/4194304
616436038125/4194304 -293847809375/2097152 34936541875/2097152 19540115625/524288
-331037951875/2097152 -301046943125/2097152 57842601875/524288 272595678125/2097152
-489046383125/4194304 240985839375/4194304 334664544375/2097152 -201300656875/2097152
205545153125/2097152 496536113125/4194304 -1689216875/262144 546812228125/4194304
-167134345625/4194304 455059271875/4194304 -153264096875/2097152 -29027743125/2097152
133061634375/1048576 323705014375/2097152 -24340348125/524288 -85135954375/1048576
447150986875/4194304 -466303616875/4194304 -4698498125/524288 200410316875/4194304
-223955269375/4194304 200910775625/4194304 89749846875/4194304 -491463519375/4194304
-332082638125/2097152 307041270625/2097152 -5046335625/4194304 -324814909375/2097152
298559071875/4194304 653372494375/4194304 29680340625/2097152 -467305625/2097152
-14968979375/1048576 -88995584375/1048576 120740880625/4194304 41819930625/1048576
-442326100625/4194304 -377645625/524288 1799138125/262144 -217496871875/4194304
