1800
1817479569375/16777216 -3153824499375/33554432 -3820530909375/33554432 -3403712503125/33554432
-2181599038125/16777216 5775736055625/33554432 1019301564375/16777216 726965814375/4194304
-248537053125/8388608 83534506875/33554432 -4492480179375/33554432 222680694375/4194304
-18409955625/262144 -1394455033125/16777216 -1337865069375/8388608 223487263125/2097152
-697011204375/8388608 2897398074375/16777216 -792791893125/8388608 369928546875/33554432
-1194147196875/8388608 709904019375/33554432 468531838125/8388608 3943014103125/33554432
-502495430625/4194304 -1506604910625/16777216 -804896938125/16777216 5115655479375/33554432
2779261498125/16777216 -1842482728125/16777216 -127924385625/1048576 -1043924113125/16777216
-725120724375/16777216 4456670135625/33554432 4831117711875/33554432 2032545864375/16777216
-2815013773125/33554432 -2186964331875/33554432 -5172179585625/33554432 4562254828125/33554432
4569429391875/33554432 1356618988125/33554432 233012593125/8388608 -1180968316875/33554432
-591928385625/4194304 -4989149791875/33554432 3410440104375/33554432 5254560680625/33554432
-1682286451875/16777216 -4264215373125/33554432 2203241180625/16777216 116493485625/4194304
-460377984375/8388608 1877948431875/16777216 -1229491310625/16777216 27690024375/33554432
1992707893125/33554432 -4117205503125/33554432 -3892364184375/33554432 5058743833125/33554432
-1358733346875/8388608 2989003561875/16777216 -5117852941875/33554432 4317563379375/33554432
-3957493033125/33554432 -2516453848125/33554432 219032038125/2097152 -641931091875/33554432
1717677748125/16777216 2687430808125/16777216 5780088455625/33554432 -2059262431875/16777216
-127809365625/16777216 2948766564375/33554432 -626128610625/16777216 -368481684375/16777216
95130095625/16777216 -2183128700625/16777216 5357132150625/33554432 594869596875/33554432
2434384985625/16777216 323273480625/16777216 -447611608125/16777216 4530770161875/33554432
-3379971425625/33554432 33605139375/2097152 -1529234949375/16777216 4084875871875/33554432
-1117569549375/16777216 1719781565625/33554432 1250061586875/33554432 2023606164375/16777216
2132659884375/33554432 2583305420625/16777216 -3811961221875/33554432 -1977467653125/33554432
-3178651888125/33554432 -164325594375/16777216 -236935378125/2097152 -5826646985625/33554432
139213884375/1048576 -2357446921875/33554432 -5535989870625/33554432 -652682064375/4194304
1973982763125/33554432 505932181875/4194304 2915989531875/33554432 878657056875/8388608
-1743479454375/33554432 -3824678874375/33554432 1684731751875/33554432 1050103816875/16777216
-2189420881875/33554432 1423672273125/33554432 -599077929375/33554432 -3666159950625/33554432
5876494070625/33554432 -2382409636875/16777216 4701604786875/33554432 -1292777184375/16777216
-749747728125/16777216 -385964780625/33554432 3141797821875/33554432 -30575356875/16777216
3846646816875/33554432 680314100625/4194304 81117579375/2097152 -140602303125/16777216
112181450625/1048576 469622638125/33554432 -3283421709375/33554432 -1406499845625/16777216
1298266509375/8388608 -5694700989375/33554432 -974729345625/8388608 3183434623125/33554432
2491770369375/16777216 2345945934375/16777216 -2411502035625/16777216 -2282111960625/33554432
61363434375/524288 -615305401875/8388608 -2508325801875/33554432 187307690625/4194304
973163818125/8388608 1125593296875/16777216 418747010625/8388608 -605662306875/8388608
-259623208125/4194304 -2826884604375/16777216 3689528180625/33554432 -523038886875/8388608
-973637499375/33554432 1990061375625/33554432 3569960255625/33554432 2744188408125/16777216
2322101030625/16777216 -29069915625/1048576 568793368125/16777216 -2012326948125/16777216
-97209883125/2097152 2492114293125/16777216 2095278733125/33554432 237066676875/33554432
917148695625/33554432 750036313125/4194304 646286101875/33554432 17796931875/524288
1235938663125/33554432 -4860106036875/33554432 851430290625/8388608 -1389338589375/8388608
1271432030625/16777216 -2812012216875/33554432 4067293685625/33554432 2378829020625/33554432
-5133812765625/33554432 748749043125/16777216 -5754969736875/33554432 2397611503125/16777216
-5855246443125/33554432 3224094530625/33554432 -3136392421875/33554432 -1448910928125/8388608
-2901913993125/33554432 -1283258143125/33554432 55842508125/1048576 -501283659375/33554432
1182445723125/33554432 -235353256875/16777216 1253289650625/33554432 -59246870625/33554432
2170978813125/33554432 -4203759448125/33554432 -589739923125/33554432 -2543213908125/33554432
894220565625/16777216 3754702074375/33554432 -66148891875/1048576 -566556980625/33554432
338377764375/2097152 -370633989375/8388608 -2055364813125/33554432 -5284970139375/33554432
837955164375/16777216 -5015915274375/33554432 -1028193856875/16777216 -3898898521875/33554432
4608701690625/33554432 1301925538125/8388608 -396156875625/8388608 4875083881875/33554432
2253041375625/16777216 -3460327453125/33554432 711508111875/16777216 4683009144375/33554432
5233760611875/33554432 3841981509375/33554432 -1606269538125/33554432 2133749401875/16777216
-1520348191875/16777216 5968657771875/33554432 -738814876875/8388608 -2113403113125/33554432
271921381875/2097152 -1276985086875/8388608 -5474665985625/33554432 -917320370625/8388608
-657430723125/16777216 4034650078125/33554432 4041924496875/33554432 -512095460625/8388608
998419539375/16777216 398175429375/8388608 -2736456980625/33554432 -278303045625/16777216
-1859843154375/16777216 1690585396875/33554432 -1136169151875/33554432 2840672334375/33554432
1549639895625/16777216 -226879621875/8388608 -2463745235625/33554432 -375799573125/33554432
653041569375/4194304 1166291398125/33554432 -603032394375/16777216 2617769356875/16777216
4281572750625/33554432 3934273561875/33554432 6517546875/2097152 -1740661464375/33554432
-666674881875/4194304 -3894897065625/33554432 5762236505625/33554432 -3977644258125/33554432
5201515513125/33554432 -341062374375/33554432 995184523125/16777216 -9172029375/4194304
980692340625/16777216 -753461848125/4194304 1012225494375/8388608 -25161474375/16777216
-2092702303125/16777216 269771124375/8388608 70465685625/16777216 -483416578125/33554432
1443968713125/16777216 -184226461875/2097152 33076085625/16777216 827785423125/33554432
-83765750625/4194304 -510607231875/33554432 -3216447691875/33554432 3514973788125/33554432
1114050133125/8388608 -6036566383125/33554432 3353560790625/33554432 3698109016875/33554432
3958433656875/33554432 255807511875/2097152 -609623308125/16777216 -741719030625/4194304
3760608020625/33554432 -4169121654375/33554432 -5224942344375/33554432 -2859883970625/33554432
-3781174145625/33554432 -130744423125/8388608 -4909661071875/33554432 4271306956875/33554432
988705254375/16777216 -375770863125/8388608 507097018125/4194304 3865140084375/33554432
5366810086875/33554432 -2757260233125/33554432 -2301726740625/33554432 -447497881875/8388608
319208090625/8388608 4405448604375/33554432 -2642371723125/16777216 1870126543125/33554432
2740857114375/33554432 -504005979375/8388608 24465324375/524288 2623176973125/16777216
3437524794375/33554432 648385464375/16777216 702051283125/16777216 -669016738125/4194304
1196451399375/8388608 -661557425625/4194304 -4786823919375/33554432 -2288215310625/33554432
-1427907796875/8388608 -1476079790625/16777216 184935976875/33554432 1053782983125/33554432
315872735625/4194304 -1850037406875/16777216 158717953125/1048576 -532710410625/4194304
-5820041649375/33554432 5589016171875/33554432 -5881055304375/33554432 891262321875/33554432
1954053095625/16777216 -490366220625/4194304 -2552238466875/33554432 -179584093125/8388608
2802053401875/33554432 714063909375/16777216 2077926969375/16777216 -1554544771875/16777216
2643224011875/33554432 -2946591939375/16777216 5658731893125/33554432 4341153133125/33554432
-596192630625/4194304 -163678134375/1048576 3468219654375/33554432 -4235096548125/33554432
-5285339836875/33554432 -1257368923125/33554432 1335464476875/16777216 -186836101875/8388608
4588413373125/33554432 690403066875/33554432 -2396612829375/33554432 -2363182959375/33554432
-661976296875/16777216 1171368444375/8388608 -3387956473125/33554432 1017665983125/8388608
-4905982265625/33554432 753069763125/33554432 -1915669074375/16777216 1424788273125/33554432
-165948946875/16777216 5787027849375/33554432 2775876811875/16777216 94834704375/8388608
-3244802900625/33554432 -717040884375/33554432 -682989226875/16777216 -3317019373125/33554432
-353901965625/33554432 -652735074375/16777216 5873853200625/33554432 313671459375/8388608
1910641595625/16777216 429358449375/16777216 -172921528125/8388608 -2057269696875/33554432
658062376875/8388608 4461230233125/33554432 -4099804093125/33554432 -4310865455625/33554432
2234353291875/33554432 -2059677151875/33554432 -5537874414375/33554432 -1564908204375/33554432
4767979663125/33554432 -4609902279375/33554432 -2659920035625/16777216 -3831557191875/33554432
-1129655424375/16777216 -230132806875/33554432 -131251629375/1048576 -3359711716875/33554432
886587215625/16777216 -2408827494375/16777216 -753076209375/8388608 215489165625/4194304
-2517447751875/33554432 -101862725625/33554432 5869264471875/33554432 -2362163934375/33554432
-5355472730625/33554432 -389887779375/8388608 -5168049800625/33554432 -5588038423125/33554432
-34725594375/4194304 -2187783354375/16777216 3017227303125/16777216 1989083435625/33554432
-3971731224375/33554432 1857122724375/16777216 4222151173125/33554432 3949769143125/33554432
-3730701256875/33554432 -3324131330625/33554432 1226856628125/16777216 -1264085656875/16777216
569836693125/8388608 -1976713565625/33554432 -1043533771875/8388608 4068523378125/33554432
1622109729375/16777216 2362729235625/33554432 -1921163776875/33554432 989075356875/8388608
1028039315625/8388608 251007136875/4194304 -258282984375/2097152 -590277526875/4194304
1525131275625/33554432 173802245625/2097152 5334374615625/33554432 4363538731875/33554432
-325359050625/16777216 1237848249375/33554432 -1823355073125/16777216 1039858104375/8388608
-36275045625/1048576 -837161690625/8388608 44357664375/4194304 99615605625/33554432
1413769314375/8388608 -4979512321875/33554432 2126549851875/16777216 -195381601875/16777216
-2710578144375/16777216 -2023164534375/16777216 408144256875/4194304 1047067588125/8388608
3406815556875/33554432 325571911875/2097152 1218007389375/16777216 30624733125/33554432
1837273764375/16777216 289605661875/8388608 4514072293125/33554432 4830061989375/33554432
-5300772710625/33554432 -150881855625/8388608 -2744197734375/16777216 -1606576201875/16777216
-1753875208125/16777216 1420693453125/16777216 856061544375/8388608 -3341203914375/33554432
-2163100921875/33554432 -682622251875/8388608 3825300650625/33554432 -1550185756875/33554432
-4445304541875/33554432 -3322820266875/33554432 5502596810625/33554432 -1730818693125/33554432
3002373770625/33554432 2402447529375/33554432 1025741941875/16777216 5941197286875/33554432
744928756875/8388608 1342021921875/16777216 302145046875/8388608 -1405617643125/16777216
-2697918148125/16777216 910749504375/33554432 5210992288125/33554432 -1855283270625/16777216
-615170041875/8388608 625884046875/8388608 -473788524375/16777216 983757256875/33554432
3254082114375/33554432 -1171966910625/8388608 -2501699214375/33554432 -146654668125/8388608
-2454595700625/33554432 921726185625/16777216 5288337106875/33554432 266563490625/33554432
345781985625/8388608 -203042930625/8388608 -5838109599375/33554432 2552512966875/33554432
322138850625/4194304 440609428125/16777216 4747949004375/33554432 30740675625/16777216
-1883858281875/16777216 -2520849375/131072 368193178125/33554432 -217577086875/4194304
4659349280625/33554432 -183035874375/4194304 4262400601875/33554432 2462200914375/33554432
-5715787280625/33554432 1438789595625/33554432 -2351522694375/16777216 -3281439313125/33554432
-3462021185625/33554432 992842273125/8388608 4610420611875/33554432 -1840277176875/16777216
-871661255625/8388608 305818565625/33554432 4741490424375/33554432 10467151875/33554432
1535778826875/16777216 167009000625/4194304 1919347284375/16777216 1229717525625/33554432
2513068216875/16777216 -2198011989375/33554432 3937913364375/33554432 2226149476875/16777216
765046074375/16777216 -3006418089375/16777216 -4039754326875/33554432 -4616141945625/33554432
-4514874778125/33554432 -1446088348125/8388608 -727546888125/8388608 -5810802991875/33554432
-3733416860625/33554432 -626518355625/16777216 3109425215625/33554432 -2958086739375/16777216
2496584705625/33554432 -4622218160625/33554432 2703453980625/33554432 -144683960625/16777216
1324417494375/33554432 225245615625/2097152 344609724375/16777216 2610182041875/33554432
-2344741340625/33554432 -2846604785625/33554432 -1379066045625/16777216 -1020068701875/33554432
-43535660625/33554432 -1034832976875/8388608 819780496875/33554432 -502104189375/33554432
6006096151875/33554432 514876606875/4194304 4833952059375/33554432 -301114614375/2097152
-5694562096875/33554432 -1335470113125/16777216 1433808433125/8388608 -2675791355625/33554432
-1306772578125/16777216 399813215625/4194304 34202885625/262144 1948128238125/33554432
1688372971875/33554432 -4679178845625/33554432 1219813970625/33554432 2593621366875/33554432
195370036875/8388608 1583004864375/33554432 -2732582176875/33554432 -796087963125/33554432
134165761875/8388608 382844964375/8388608 3807905833125/33554432 -519901689375/4194304
2536654494375/16777216 -2386711974375/33554432 -5866898203125/33554432 -2002936134375/16777216
-233342398125/4194304 -3095393360625/33554432 1209769666875/16777216 -683565373125/33554432
1007937005625/33554432 3538368691875/33554432 5266764860625/33554432 -935071875/524288
3459878780625/33554432 -5626663846875/33554432 -651992236875/16777216 -2617075580625/33554432
-1433039675625/8388608 -905155824375/16777216 2958735358125/33554432 5089010293125/33554432
-2311685893125/16777216 -2043301145625/33554432 -3407414923125/33554432 1274902993125/16777216
-1453182373125/8388608 -92228889375/1048576 187572054375/4194304 770575258125/16777216
48167263125/33554432 -2888081656875/16777216 -2743012816875/33554432 -1376474034375/33554432
3597971979375/33554432 2741817549375/33554432 -2067930106875/33554432 692375810625/16777216
4883382770625/33554432 5935573648125/33554432 1429602800625/33554432 2942192705625/16777216
-4717794650625/33554432 137366420625/8388608 1502697031875/8388608 463033591875/16777216
-3723861301875/33554432 317054030625/33554432 -2601402530625/33554432 4793029441875/33554432
-848649268125/33554432 -223184705625/2097152 -1475997699375/8388608 1138177321875/33554432
1047591793125/33554432 -337941073125/2097152 -1455922040625/33554432 255686979375/8388608
2764566253125/33554432 -1318686328125/33554432 -1430874185625/8388608 -1373417398125/33554432
708177886875/8388608 -1776867710625/33554432 -192573241875/4194304 -3050221831875/33554432
128021574375/4194304 1645643986875/16777216 -5851431196875/33554432 5027102285625/33554432
-5418454258125/33554432 680611190625/4194304 311890066875/33554432 1079219165625/8388608
732865348125/33554432 5353727506875/33554432 520514353125/33554432 -1554937014375/16777216
-456559306875/33554432 -1358733369375/8388608 2916539060625/16777216 -176907166875/33554432
-166324764375/16777216 2332998106875/16777216 295373413125/8388608 -4162881481875/33554432
-963247708125/8388608 -2103914480625/16777216 4457854186875/33554432 1534707230625/33554432
837080285625/8388608 225796303125/8388608 2709609924375/16777216 -800735416875/33554432
-235220045625/33554432 4660566665625/33554432 3430647961875/33554432 8669233125/65536
-1114763776875/16777216 1338649070625/16777216 -446493290625/8388608 5145497893125/33554432
-22071223125/1048576 3307916390625/33554432 -32001429375/4194304 1457149573125/8388608
1452867845625/33554432 1653983026875/16777216 -2546011760625/33554432 7755778125/1048576
-605022260625/4194304 -773086966875/16777216 5284656343125/33554432 4835125850625/33554432
-675934790625/33554432 2977197114375/33554432 -5881902778125/33554432 425989513125/8388608
3178721874375/33554432 2161074121875/33554432 1906596208125/33554432 -210115366875/33554432
-2524295908125/33554432 -2795504540625/33554432 675405781875/33554432 1952911805625/16777216
-527136778125/33554432 886352090625/16777216 -690013209375/16777216 2661572131875/16777216
-1043990713125/33554432 -208764601875/2097152 1355858769375/16777216 -2672470636875/16777216
623915431875/4194304 -1872852159375/16777216 -479391305625/8388608 201065844375/4194304
-3564052430625/33554432 1665410979375/33554432 -4217478541875/33554432 1918038920625/33554432
2277883130625/16777216 5652730141875/33554432 -286968414375/4194304 2155726828125/33554432
3194439294375/33554432 -5137213246875/33554432 -1493873521875/16777216 1026652438125/8388608
-1191027740625/33554432 -2163572983125/33554432 5759213743125/33554432 -5939799395625/33554432
-2357652875625/33554432 3444800563125/33554432 -1055641505625/8388608 1406940339375/33554432
2790849493125/16777216 647929411875/33554432 1728693669375/33554432 -2441714180625/33554432
2154216470625/33554432 -531647386875/8388608 2999132938125/16777216 2765469279375/16777216
1450501914375/8388608 591258313125/4194304 -1021121915625/8388608 -2789963128125/33554432
-2483509291875/16777216 -3339431150625/33554432 -477547295625/8388608 1638375744375/16777216
74652980625/1048576 -754956489375/4194304 2308283083125/16777216 1009700173125/33554432
-1005875409375/8388608 729743079375/33554432 1490036844375/8388608 -248152134375/8388608
4243707073125/33554432 -2169722154375/16777216 -1744025371875/16777216 -2212766960625/33554432
906155184375/16777216 358871945625/8388608 -4554044015625/33554432 -1194139344375/16777216
2354396731875/16777216 -26203280625/4194304 -5730065544375/33554432 -253092684375/8388608
618207463125/4194304 -5993494779375/33554432 254667875625/33554432 2104518099375/16777216
617996480625/16777216 -1156241716875/33554432 5987761295625/33554432 1475707944375/33554432
2167866005625/33554432 5195406954375/33554432 -1064029325625/16777216 379205240625/4194304
1550222881875/16777216 4464906305625/33554432 2203332305625/16777216 633514168125/8388608
1649498911875/16777216 -2826941281875/33554432 -520823773125/33554432 -363834309375/2097152
194903679375/16777216 -5316065319375/33554432 -889435051875/33554432 -4682540840625/33554432
-1199949980625/33554432 -780661411875/8388608 5172211220625/33554432 -1092567290625/16777216
-301960873125/16777216 326969026875/4194304 1023699099375/16777216 1220835909375/33554432
3041815741875/33554432 -2825852439375/33554432 -1723413774375/33554432 2325745603125/33554432
-900707619375/8388608 -3268000648125/33554432 -76062853125/4194304 1216024070625/33554432
-564866184375/4194304 -403997776875/33554432 417212758125/8388608 -1264520041875/33554432
-237236540625/8388608 2055676910625/16777216 -2252432559375/16777216 -2152465115625/33554432
2325987793125/16777216 -24207946875/1048576 -1564869459375/33554432 9642099375/524288
1617588511875/33554432 825876208125/16777216 5569421068125/33554432 -1112066139375/16777216
1186531588125/8388608 5951438116875/33554432 -65444956875/1048576 -1078826923125/8388608
3395997163125/33554432 3034218324375/33554432 3755466601875/33554432 -1269767570625/33554432
-5822838736875/33554432 1889995460625/16777216 1048933119375/16777216 -1287981219375/33554432
-990023900625/33554432 219731518125/33554432 -1588942906875/16777216 -1675197354375/33554432
1828733281875/16777216 -61863249375/16777216 1552964214375/16777216 2010119799375/33554432
657325614375/4194304 767997500625/16777216 -5259736693125/33554432 -2334490093125/33554432
-1538961080625/33554432 -61621509375/1048576 -3131566509375/33554432 1839203713125/16777216
4632116248125/33554432 234575150625/16777216 4955276649375/33554432 1410040220625/33554432
467386014375/16777216 -377146423125/2097152 668568639375/16777216 -2831376605625/33554432
2302983511875/33554432 1302142235625/16777216 513485285625/16777216 -1878053844375/33554432
-1972898443125/16777216 -4813596590625/33554432 -153317548125/16777216 -1445319500625/8388608
-853564775625/16777216 -3029869333125/33554432 3401815111875/33554432 -527197460625/16777216
500020846875/4194304 366161664375/33554432 2650844784375/16777216 47259264375/524288
201022093125/33554432 -187392133125/1048576 3194038051875/33554432 381682681875/16777216
-1981280593125/33554432 2703153898125/16777216 1158529955625/16777216 -3896680899375/33554432
-4205216548125/33554432 2380418803125/33554432 -662684664375/33554432 5740068774375/33554432
1367835463125/8388608 -4455677941875/33554432 1536925348125/16777216 750469640625/4194304
327960568125/8388608 287474281875/4194304 155026468125/4194304 1034383471875/33554432
4215871490625/33554432 -5266747074375/33554432 1233964783125/16777216 1383622509375/33554432
-4474096734375/33554432 -1793050396875/33554432 -121250120625/4194304 2261587595625/16777216
1942550195625/33554432 -658382563125/16777216 516747661875/8388608 -1356130704375/8388608
1616352350625/33554432 -1417988593125/33554432 -1083170424375/16777216 4295007601875/33554432
-1332728409375/16777216 577343334375/8388608 2458046255625/16777216 3143995126875/33554432
-327159759375/33554432 -21455116875/2097152 1830841858125/16777216 -1573363749375/16777216
428394774375/16777216 835125631875/8388608 -289879453125/8388608 -762772021875/16777216
-971446190625/33554432 5902693036875/33554432 -40446073125/524288 1677664153125/16777216
-3959308704375/33554432 -5711295099375/33554432 -718770155625/33554432 -1327928855625/33554432
-1817605693125/16777216 -52896920625/2097152 754460904375/4194304 -353679755625/2097152
4284478805625/33554432 1170293248125/8388608 1658710321875/33554432 -77415204375/33554432
-3685552711875/33554432 2905607626875/16777216 -4873549348125/33554432 674317704375/16777216
-514811289375/8388608 137303859375/16777216 -3007977181875/33554432 -4186544675625/33554432
-3670700540625/33554432 -2995969539375/33554432 -1109430995625/33554432 5190999541875/33554432
1079544110625/33554432 2098061398125/16777216 -1836063264375/33554432 913643825625/33554432
-3955486404375/33554432 5950462055625/33554432 -2894052144375/33554432 757695459375/8388608
-1393860504375/33554432 -205341991875/4194304 -294180800625/4194304 -3001196525625/33554432
2049139276875/33554432 2604109899375/33554432 1153320406875/16777216 -2495654915625/16777216
-5062552295625/33554432 -1586507979375/16777216 -784964109375/8388608 -53706943125/33554432
-4839420875625/33554432 123646595625/4194304 -465170203125/16777216 2074459921875/16777216
-4945885261875/33554432 749313163125/33554432 5263530755625/33554432 -1980357789375/33554432
4719438556875/33554432 3081728311875/33554432 5619998491875/33554432 4581429541875/33554432
582646876875/16777216 57629278125/1048576 505788361875/16777216 -4824829580625/33554432
380571676875/4194304 -245388065625/8388608 -3908362528125/33554432 3618992469375/33554432
870272229375/16777216 -4138639003125/33554432 -724592896875/16777216 -2786035213125/33554432
3693170469375/33554432 513412138125/16777216 24440540625/1048576 20980141875/2097152
5236002613125/33554432 526630235625/16777216 194102578125/8388608 1142438079375/16777216
-5327738398125/33554432 -5282192671875/33554432 2010498710625/33554432 1944585860625/16777216
76308350625/8388608 -5057422948125/33554432 -4467819189375/33554432 410807109375/16777216
-1424587123125/16777216 2273180664375/16777216 13118608125/16777216 3787875511875/33554432
-523872388125/16777216 -1145927953125/33554432 -2198081469375/33554432 350690158125/16777216
-865747726875/33554432 4993639126875/33554432 -273841970625/2097152 585393665625/4194304
-2502870643125/16777216 1878068143125/33554432 3952839358125/33554432 -214204854375/4194304
-3813706726875/33554432 -562874596875/33554432 -5832336661875/33554432 3483169351875/33554432
817180880625/33554432 -4751009836875/33554432 -2854475769375/33554432 2836120674375/16777216
28612918125/262144 3188183743125/33554432 3534368788125/33554432 -1960131403125/33554432
3729781693125/33554432 -2825462075625/16777216 -1800770563125/16777216 2734363400625/33554432
3090114039375/33554432 -2517586216875/33554432 -3468734184375/33554432 -627470071875/4194304
-527263678125/8388608 4870472776875/33554432 -3417511291875/33554432 -2409407533125/33554432
1739452145625/16777216 1932464413125/33554432 -10475904375/8388608 -4804470995625/33554432
-4318350564375/33554432 539352275625/33554432 -5099312581875/33554432 255844558125/4194304
327862985625/8388608 -5223517858125/33554432 -209527385625/4194304 2407995838125/16777216
-3001338466875/33554432 97866376875/1048576 -895604776875/8388608 512772868125/8388608
369572214375/4194304 -116339686875/4194304 -54594646875/33554432 -127664386875/2097152
-149307091875/4194304 -983529489375/33554432 3813131109375/33554432 898964330625/16777216
1354800819375/33554432 -2422043769375/16777216 1059379498125/33554432 62908194375/1048576
2226068578125/33554432 9812874375/33554432 41916054375/262144 -3414629548125/33554432
4596183736875/33554432 -3521242513125/33554432 -4919404246875/33554432 16556158125/2097152
932546446875/8388608 -5251861344375/33554432 4380785173125/33554432 -358067536875/4194304
-324192358125/16777216 -3748846539375/33554432 5064120466875/33554432 983556140625/33554432
906373884375/8388608 -2429789788125/33554432 3510709385625/33554432 447364400625/8388608
4685325519375/33554432 3702475153125/33554432 1875759260625/33554432 -1515501815625/33554432
1682757838125/33554432 1183974665625/16777216 -1203612946875/33554432 5751074581875/33554432
-2134485849375/16777216 796654006875/16777216 2382206023125/33554432 -1018828501875/8388608
-2669560565625/16777216 1732720809375/16777216 -20099120625/33554432 4518784355625/33554432
656420625/33554432 -364549426875/2097152 -5268873166875/33554432 -783252478125/8388608
5433693091875/33554432 1465552321875/16777216 131824198125/16777216 -1042049300625/33554432
-529166795625/8388608 -90801545625/2097152 2459404265625/33554432 3199118686875/33554432
-312749308125/33554432 -1658773524375/16777216 831415291875/8388608 3698332318125/33554432
-1673747218125/16777216 -261952239375/4194304 -2039523485625/33554432 5401000659375/33554432
5451910025625/33554432 -754689763125/4194304 -352534393125/2097152 933320255625/16777216
410420559375/33554432 -4044898276875/33554432 378957931875/8388608 2714219510625/16777216
-4797234230625/33554432 -525139205625/33554432 -4924427833125/33554432 1740570440625/16777216
-1732646964375/33554432 -3320622354375/33554432 -3620759833125/33554432 1381708468125/33554432
5398657126875/33554432 -5979528478125/33554432 5345399390625/33554432 -238793630625/16777216
-1097109061875/8388608 -1352072818125/8388608 -2659574863125/33554432 1498627040625/16777216
-1267928701875/16777216 -399934636875/8388608 4866375729375/33554432 -5589662968125/33554432
-2666459424375/16777216 3982088683125/33554432 2283264950625/33554432 1579255441875/33554432
-1836140889375/33554432 -1440823381875/33554432 -319205368125/2097152 274061019375/4194304
4656998503125/33554432 961648779375/33554432 5216980798125/33554432 2906932348125/33554432
-5238932765625/33554432 252164311875/4194304 -1316830415625/16777216 2944596358125/16777216
-82475814375/8388608 5498181883125/33554432 -813849541875/16777216 565236286875/4194304
1175386134375/8388608 -3554720296875/33554432 -4407759455625/33554432 -667469221875/16777216
-5033737389375/33554432 -3646357858125/33554432 485973613125/8388608 -2812107459375/33554432
1840600951875/16777216 -627338435625/33554432 -4236525894375/33554432 4088941520625/33554432
2447245288125/33554432 -1148203220625/33554432 -3534839409375/33554432 -1069064566875/16777216
-2109909414375/16777216 -1935037726875/33554432 1351062005625/8388608 4163866678125/33554432
-35718418125/33554432 -1083011338125/8388608 450721963125/8388608 681759928125/8388608
-2144620243125/33554432 1399527455625/16777216 3436069820625/33554432 -2367027579375/16777216
-255975519375/33554432 2860449328125/16777216 3956172744375/33554432 -1280087420625/8388608
-1791495556875/16777216 414833968125/16777216 4483630423125/33554432 -299623618125/8388608
-3015894628125/16777216 -4463528259375/33554432 -4966085694375/33554432 -40422268125/4194304
-2408902554375/33554432 -241623860625/8388608 -1570453228125/33554432 3633506623125/33554432
1338110274375/33554432 -3960309375/262144 -228134064375/2097152 -1500692686875/16777216
5629818245625/33554432 2098557388125/16777216 -4091459281875/33554432 -1126001199375/8388608
-1330620913125/8388608 -160719890625/4194304 2518108543125/33554432 -5004464776875/33554432
988324790625/33554432 -2220037779375/33554432 2399186255625/16777216 -1079417953125/8388608
369120639375/16777216 3801240928125/33554432 -949487866875/33554432 5206789625625/33554432
-5554267633125/33554432 -1086041761875/16777216 5656842759375/33554432 -12518386875/4194304
