106
-3318143302281789/1125899906842624 5331717442982703/562949953421312 -7416192081595621/562949953421312 6210883617091553/1125899906842624
5062295550917087/562949953421312 -3828626887248217/562949953421312 8451339351110879/1125899906842624 -8337898554451673/1125899906842624
581384082878433/70368744177664 -8337898554451673/1125899906842624 7855775168650045/1125899906842624 -6381044812080361/1125899906842624
5019755252169885/562949953421312 -2353896530678533/1125899906842624 5104835849664289/562949953421312 -6806447799552385/2251799813685248
1357744535014877/140737488355328 -4764513459686669/2251799813685248 687734829746439/70368744177664 -7203490587859607/2251799813685248
4892134355928277/562949953421312 -1503090555734485/562949953421312 723185078702441/70368744177664 -2779299518150557/1125899906842624
-3112531858336977/281474976710656 -829535825570447/140737488355328 -7288571185354015/1125899906842624 -1290389061998473/281474976710656
-5090655750081889/562949953421312 -3545024895600201/562949953421312 -719640053806841/140737488355328 -13238452344507/2199023255552
-3821536837457017/281474976710656 4821233858016275/2251799813685248 -3077081609380975/281474976710656 5672039832960323/1125899906842624
-932341547542853/70368744177664 6806447799552393/9007199254740992 -2906920414392165/281474976710656 4622712463862663/1125899906842624
-5927281625443537/562949953421312 8451339351110881/1125899906842624 -8876742338582905/1125899906842624 6352684612915561/1125899906842624
-3289783103116987/562949953421312 650512068342637/70368744177664 -2750939318985757/1125899906842624 8422979151946079/1125899906842624
3630105493094603/4503599627370496 1318749261163275/140737488355328 -4537631866368283/36028797018963968 7572173177002031/1125899906842624
2524057725667343/281474976710656 4523451766785857/562949953421312 7855775168650045/1125899906842624 3289783103116987/562949953421312
4353290571797047/281474976710656 2268815933184129/562949953421312 7104229890782803/562949953421312 8791661741088501/2251799813685248
8692401044011693/562949953421312 -7827414969485241/4503599627370496 3580475144556203/281474976710656 -6806447799552383/4503599627370496
8649860745264491/562949953421312 -6097442820432345/1125899906842624 7033329392870799/562949953421312 -723185078702441/140737488355328
3332323401864189/281474976710656 -1215943539190869/140737488355328 1708701999679297/140737488355328 -6437765210409965/1125899906842624
6040722422102743/562949953421312 -5161556247993891/2251799813685248 6934068695793993/562949953421312 -1786692547382501/562949953421312
2807659717315359/562949953421312 6579566206233975/2251799813685248 8111016961133259/2251799813685248 4707793061357069/2251799813685248
2921100513974565/1125899906842624 -1758332348217699/1125899906842624 1361289559910477/562949953421312 4537631866368283/36028797018963968
-8734941342758899/4503599627370496 -2382256729843335/562949953421312 -368682589142421/140737488355328 -88625622390005/35184372088832
-6125803019597151/4503599627370496 -5246636845488297/1125899906842624 6579566206233967/9007199254740992 -4651072663027463/1125899906842624
-4537631866368261/4503599627370496 -194090113034111/35184372088832 3062901509798571/4503599627370496 -2098654738195319/281474976710656
-14180099582401/281474976710656 -8196097558627665/1125899906842624 124075871346007/70368744177664 -7175130388694807/1125899906842624
5672039832960319/4503599627370496 -6863168197881989/1125899906842624 4027148281401827/2251799813685248 -8451339351110879/1125899906842624
5785480629619525/4503599627370496 -8167737359462863/1125899906842624 5898921426278733/2251799813685248 -3757726389336213/562949953421312
2921100513974565/1125899906842624 -1006787070350457/140737488355328 8734941342758893/4503599627370496 -3545024895600201/562949953421312
-7146770189530009/4503599627370496 -1467640306778483/281474976710656 -7770694571155643/2251799813685248 -6863168197881989/1125899906842624
-2297176132348931/562949953421312 1488910456152085/562949953421312 -2368076630260935/562949953421312 -4083868679731419/18014398509481984
-5104835849664291/1125899906842624 7260210986189225/18014398509481984 -6863168197881991/2251799813685248 -5445158239641883/36028797018963968
-1914313443624109/562949953421312 7713974172826051/18014398509481984 -8791661741088501/2251799813685248 -2438977128172937/2251799813685248
-2580778123996947/562949953421312 -7033329392870793/9007199254740992 -6409405011245165/2251799813685248 -6125803019597141/9007199254740992
-4906314455510679/1125899906842624 467943286219227/562949953421312 -4906314455510679/1125899906842624 -5672039832960319/4503599627370496
4041328380984229/562949953421312 7543812977837229/1125899906842624 35228684900027/4398046511104 5189916447158695/1125899906842624
2346806480887333/281474976710656 6381044812080363/1125899906842624 3233062704787383/562949953421312 2793479617732959/562949953421312
13238452344507/2199023255552 7373651782848419/1125899906842624 1006787070350457/140737488355328 4651072663027465/1125899906842624
6437765210409965/1125899906842624 404132838098423/70368744177664 2169555236107323/281474976710656 7515452778672427/1125899906842624
-8167737359462889/36028797018963968 4239849775137841/562949953421312 4537631866368251/9007199254740992 3672645791841809/562949953421312
482123385801627/562949953421312 7969215965309253/1125899906842624 -3062901509798577/4503599627370496 6664646803728379/1125899906842624
-6806447799552393/9007199254740992 7260210986189213/1125899906842624 8621500546099677/18014398509481984 5984002023773141/1125899906842624
8621500546099677/18014398509481984 3289783103116987/562949953421312 -8167737359462889/36028797018963968 2438977128172939/562949953421312
-7260210986189225/18014398509481984 2722579119820955/562949953421312 4764513459686667/4503599627370496 4055508480566631/1125899906842624
397042788307221/2251799813685248 7146770189530007/2251799813685248 7940855766144445/9007199254740992 1212398514295269/281474976710656
4991395053005077/9007199254740992 1212398514295269/281474976710656 2353896530678533/1125899906842624 6749727401222785/2251799813685248
8394618952781273/4503599627370496 8508059749440485/2251799813685248 2722579119820953/2251799813685248 5161556247993895/2251799813685248
7487092579507619/9007199254740992 6182523417926753/2251799813685248 5161556247993891/2251799813685248 4821233858016275/2251799813685248
2353896530678533/1125899906842624 2892740314809765/1125899906842624 3459944298105795/2251799813685248 7033329392870803/4503599627370496
6125803019597145/4503599627370496 4424191069709053/2251799813685248 5785480629619527/2251799813685248 1588171153228891/1125899906842624
7373651782848415/4503599627370496 3516664696435403/4503599627370496 5615319434630717/2251799813685248 4254029874720243/2251799813685248
6806447799552383/4503599627370496 6012362222937945/4503599627370496 6636286604563575/2251799813685248 7260210986189219/9007199254740992
2495697526502541/1125899906842624 3062901509798577/4503599627370496 1432190057822481/562949953421312 122303358898207/70368744177664
6267604015421155/562949953421312 8394618952781283/9007199254740992 7288571185354013/1125899906842624 5104835849664293/4503599627370496
4254029874720241/562949953421312 7146770189530009/4503599627370496 5870561227113933/1125899906842624 -8848382139418099/4503599627370496
5870561227113933/1125899906842624 -1644891551558493/562949953421312 441355599502225/70368744177664 -194090113034111/35184372088832
194090113034111/35184372088832 -5360077642147503/1125899906842624 1637801501767293/140737488355328 -5104835849664289/1125899906842624
-7713974172826041/4503599627370496 623924381625637/2251799813685248 -8394618952781283/9007199254740992 -7713974172826035/4503599627370496
8309538355286871/1125899906842624 -595564182460833/1125899906842624 229540361990113/35184372088832 -5501878637971511/2251799813685248
1712247024574897/140737488355328 1460550256987283/281474976710656 3225972654996183/281474976710656 5104835849664291/2251799813685248
-6409405011245165/1125899906842624 8422979151946079/1125899906842624 -5643679633795521/1125899906842624 6551206007069173/1125899906842624
-6097442820432347/1125899906842624 -2637498522326549/1125899906842624 -3006181111468971/562949953421312 -1432190057822481/281474976710656
-3147982107292979/562949953421312 -5133196048829091/1125899906842624 -7430372181178023/2251799813685248 -8309538355286871/1125899906842624
1701611949888095/2251799813685248 -8734941342758893/4503599627370496 3516664696435399/1125899906842624 -7288571185354013/1125899906842624
