81
38654471875/16777216 -27102895625/16777216 -186168828125/67108864 -20519815625/33554432
-1786455041185/268435456 -91631426695/67108864 -1395881452705/268435456 -135386406023/67108864
-1402592339105/268435456 -88275983495/67108864 -1577880691873/268435456 -243968547975/67108864
-1631567783073/268435456 -176658357383/67108864 -1217371874465/268435456 -241485520007/67108864
-1432925545633/268435456 -282690362503/67108864 -1207439762593/268435456 -193502682247/67108864
-1416282547361/268435456 -249068821639/67108864 -1254415967393/268435456 -295306828935/67108864
-1389170566305/268435456 -307990404231/67108864 -1251194741921/268435456 -266718452871/67108864
-1877320443041/268435456 197070906233/67108864 -1867388331169/268435456 160026813305/67108864
-1762966938785/268435456 194587878265/67108864 -1789810484385/268435456 161771643769/67108864
-1897721537697/268435456 187004576633/67108864 -1715722298529/268435456 172710388601/67108864
-1887520990369/268435456 177743553401/67108864 -1725922845857/268435456 164254671737/67108864
1546842233695/268435456 -143842122887/67108864 1654484851551/268435456 -178336078983/67108864
1573685779295/268435456 -190147239047/67108864 1631130966879/268435456 -157263895687/67108864
1536641686367/268435456 -160686447751/67108864 1657974512479/268435456 -187597102215/67108864
1540131347295/268435456 -177463663751/67108864 1600797760351/268435456 -153908452487/67108864
1873528183647/268435456 207204344697/67108864 1890171181919/268435456 176871138169/67108864
1849905863519/268435456 187004576633/67108864 1940905483103/268435456 196265599865/67108864
